Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2022-2023,Group stage,1,2022-09-08,Hearts,Başakşehir,sct,tr,0,4,0.0
2022-2023,Group stage,1,2022-09-08,Slovácko,Partizan,cz,rs,3,3,0.5
2022-2023,Group stage,1,2022-09-08,Anderlecht,Silkeborg,be,dk,1,0,1.0
2022-2023,Group stage,1,2022-09-08,Austria Wien,Be'er Sheva,at,il,0,0,0.5
2022-2023,Group stage,1,2022-09-08,Villarreal,Lech Poznań,es,pl,4,3,1.0
2022-2023,Group stage,1,2022-09-08,KF Ballkani Therandë,CFR Cluj,xk,ro,1,1,0.5
2022-2023,Group stage,1,2022-09-08,Fiorentina,FK Rīgas FS,it,lv,1,1,0.5
2022-2023,Group stage,1,2022-09-08,Nice,Köln,fr,de,1,1,0.5
2022-2023,Group stage,1,2022-09-08,West Ham,FCSB,eng,ro,3,1,1.0
2022-2023,Group stage,1,2022-09-08,Shamrock Rov,Djurgården,ie,se,0,0,0.5
2022-2023,Group stage,1,2022-09-08,Vaduz,Apollon,li,cy,0,0,0.5
2022-2023,Group stage,1,2022-09-08,Slovan Bratislava,Žalgiris,sk,lt,0,0,0.5
2022-2023,Group stage,1,2022-09-08,Basel,Pyunik,ch,am,3,1,1.0
2022-2023,Group stage,1,2022-09-08,Molde,Gent,no,be,0,0,0.5
2022-2023,Group stage,1,2022-09-08,SK Dnipro-1,AZ Alkmaar,ua,nl,0,1,0.0
2022-2023,Group stage,1,2022-09-08,Sivasspor,Slavia Prague,tr,cz,1,1,0.5
2022-2023,Group stage,2,2022-09-15,AZ Alkmaar,Vaduz,nl,li,4,1,1.0
2022-2023,Group stage,2,2022-09-15,Slavia Prague,KF Ballkani Therandë,cz,xk,3,2,1.0
2022-2023,Group stage,2,2022-09-15,Djurgården,Molde,se,no,3,2,1.0
2022-2023,Group stage,2,2022-09-15,Gent,Shamrock Rov,be,ie,3,0,1.0
2022-2023,Group stage,2,2022-09-15,Apollon,SK Dnipro-1,cy,ua,1,3,0.0
2022-2023,Group stage,2,2022-09-15,Žalgiris,Basel,lt,ch,0,1,0.0
2022-2023,Group stage,2,2022-09-15,CFR Cluj,Sivasspor,ro,tr,0,1,0.0
2022-2023,Group stage,2,2022-09-15,Pyunik,Slovan Bratislava,am,sk,2,0,1.0
2022-2023,Group stage,2,2022-09-15,Partizan,Nice,rs,fr,1,1,0.5
2022-2023,Group stage,2,2022-09-15,Silkeborg,West Ham,dk,eng,2,3,0.0
2022-2023,Group stage,2,2022-09-15,Köln,Slovácko,de,cz,4,2,1.0
2022-2023,Group stage,2,2022-09-15,Lech Poznań,Austria Wien,pl,at,4,1,1.0
2022-2023,Group stage,2,2022-09-15,Başakşehir,Fiorentina,tr,it,3,0,1.0
2022-2023,Group stage,2,2022-09-15,FCSB,Anderlecht,ro,be,0,0,0.5
2022-2023,Group stage,2,2022-09-15,Be'er Sheva,Villarreal,il,es,1,2,0.0
2022-2023,Group stage,2,2022-09-15,FK Rīgas FS,Hearts,lv,sct,0,2,0.0
2022-2023,Group stage,3,2022-10-06,Slovácko,Nice,cz,fr,0,1,0.0
2022-2023,Group stage,3,2022-10-06,Lech Poznań,Be'er Sheva,pl,il,0,0,0.5
2022-2023,Group stage,3,2022-10-06,Molde,Shamrock Rov,no,ie,3,0,1.0
2022-2023,Group stage,3,2022-10-06,Anderlecht,West Ham,be,eng,0,1,0.0
2022-2023,Group stage,3,2022-10-06,Silkeborg,FCSB,dk,ro,5,0,1.0
2022-2023,Group stage,3,2022-10-06,Sivasspor,KF Ballkani Therandë,tr,xk,3,4,0.0
2022-2023,Group stage,3,2022-10-06,SK Dnipro-1,Vaduz,ua,li,2,2,0.5
2022-2023,Group stage,3,2022-10-06,Hearts,Fiorentina,sct,it,0,3,0.0
2022-2023,Group stage,3,2022-10-06,Pyunik,Žalgiris,am,lt,2,0,1.0
2022-2023,Group stage,3,2022-10-06,Slavia Prague,CFR Cluj,cz,ro,0,1,0.0
2022-2023,Group stage,3,2022-10-06,AZ Alkmaar,Apollon,nl,cy,3,2,1.0
2022-2023,Group stage,3,2022-10-06,Köln,Partizan,de,rs,0,1,0.0
2022-2023,Group stage,3,2022-10-06,Gent,Djurgården,be,se,0,1,0.0
2022-2023,Group stage,3,2022-10-06,Villarreal,Austria Wien,es,at,5,0,1.0
2022-2023,Group stage,3,2022-10-06,Basel,Slovan Bratislava,ch,sk,0,2,0.0
2022-2023,Group stage,3,2022-10-06,FK Rīgas FS,Başakşehir,lv,tr,0,0,0.5
2022-2023,Group stage,4,2022-10-13,Slovan Bratislava,Basel,sk,ch,3,3,0.5
2022-2023,Group stage,4,2022-10-13,Partizan,Köln,rs,de,2,0,1.0
2022-2023,Group stage,4,2022-10-13,Fiorentina,Hearts,it,sct,5,1,1.0
2022-2023,Group stage,4,2022-10-13,Austria Wien,Villarreal,at,es,0,1,0.0
