Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2023-2024,Group stage,1,2023-09-20,Lille,Olimpija,fr,si,2,0,1.0
2023-2024,Group stage,1,2023-09-21,Legia Warsaw,Aston Villa,pl,eng,3,2,1.0
2023-2024,Group stage,1,2023-09-21,Zrinjski Mostar,AZ Alkmaar,ba,nl,4,3,1.0
2023-2024,Group stage,1,2023-09-21,Genk,Fiorentina,be,it,2,2,0.5
2023-2024,Group stage,1,2023-09-21,Ferencváros,Čukarički,hu,rs,3,1,1.0
2023-2024,Group stage,1,2023-09-21,Eint Frankfurt,Aberdeen,de,sct,2,1,1.0
2023-2024,Group stage,1,2023-09-21,HJK,PAOK,fi,gr,2,3,0.0
2023-2024,Group stage,1,2023-09-21,Ludogorets,Spartak Trnava,bg,sk,4,0,1.0
2023-2024,Group stage,1,2023-09-21,Fenerbahçe,Nordsjælland,tr,dk,3,1,1.0
2023-2024,Group stage,1,2023-09-21,Club Brugge,Beşiktaş,be,tr,1,1,0.5
2023-2024,Group stage,1,2023-09-21,Dinamo Zagreb,Astana FK,hr,kz,5,1,1.0
2023-2024,Group stage,1,2023-09-21,Lugano,Bodø/Glimt,ch,no,0,0,0.5
2023-2024,Group stage,1,2023-09-21,Viktoria Plzeň,KF Ballkani Therandë,cz,xk,1,0,1.0
2023-2024,Group stage,1,2023-09-21,Slovan Bratislava,KÍ,sk,fo,2,1,1.0
2023-2024,Group stage,1,2023-09-21,Zorya Luhansk,Gent,ua,be,1,1,0.5
2023-2024,Group stage,1,2023-09-21,Maccabi Tel Aviv,Breiðablik,il,is,3,2,1.0
2023-2024,Group stage,2,2023-10-05,Breiðablik,Zorya Luhansk,is,ua,0,1,0.0
2023-2024,Group stage,2,2023-10-05,KÍ,Lille,fo,fr,0,0,0.5
2023-2024,Group stage,2,2023-10-05,Gent,Maccabi Tel Aviv,be,il,2,0,1.0
2023-2024,Group stage,2,2023-10-05,KF Ballkani Therandë,Dinamo Zagreb,xk,hr,2,0,1.0
2023-2024,Group stage,2,2023-10-05,Bodø/Glimt,Club Brugge,no,be,0,1,0.0
2023-2024,Group stage,2,2023-10-05,Olimpija,Slovan Bratislava,si,sk,0,1,0.0
2023-2024,Group stage,2,2023-10-05,Beşiktaş,Lugano,tr,ch,2,3,0.0
