Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
1957-1958,1,1957-08-24,Sunderland,Arsenal,0,1,0.0
1957-1958,1,1957-08-24,Blackpool,Leeds United,3,0,1.0
1957-1958,1,1957-08-24,Birmingham City,Aston Villa,3,1,1.0
1957-1958,1,1957-08-24,Everton,Wolves,1,0,1.0
1957-1958,1,1957-08-24,West Brom,Newcastle Utd,2,1,1.0
1957-1958,1,1957-08-24,Luton Town,Bolton,1,0,1.0
1957-1958,1,1957-08-24,Tottenham,Chelsea,1,1,0.5
1957-1958,1,1957-08-24,Portsmouth,Burnley,0,0,0.5
1957-1958,1,1957-08-24,Leicester City,Manchester Utd,0,3,0.0
1957-1958,1,1957-08-24,Nott'ham Forest,Preston,2,1,1.0
1957-1958,2,1957-08-26,Aston Villa,Leeds United,2,0,1.0
1957-1958,2,1957-08-26,Blackpool,Luton Town,1,2,0.0
1957-1958,2,1957-08-27,Arsenal,West Brom,2,2,0.5
1957-1958,2,1957-08-27,Burnley,Preston,2,0,1.0
1957-1958,2,1957-08-28,Portsmouth,Tottenham,5,1,1.0
1957-1958,2,1957-08-28,Leicester City,Sunderland,4,1,1.0
1957-1958,2,1957-08-28,Wolves,Bolton,6,1,1.0
1957-1958,2,1957-08-28,Chelsea,Manchester City,2,3,0.0
1957-1958,2,1957-08-28,Manchester Utd,Everton,3,0,1.0
1957-1958,2,1957-08-28,Nott'ham Forest,Birmingham City,1,1,0.5
1957-1958,3,1957-08-31,Leeds United,Leicester City,2,1,1.0
1957-1958,3,1957-08-31,Arsenal,Luton Town,2,0,1.0
1957-1958,3,1957-08-31,Burnley,West Brom,2,2,0.5
1957-1958,3,1957-08-31,Newcastle Utd,Tottenham,3,1,1.0
1957-1958,3,1957-08-31,Wolves,Sunderland,5,0,1.0
1957-1958,3,1957-08-31,Sheffield Weds,Nott'ham Forest,1,2,0.0
1957-1958,3,1957-08-31,Manchester Utd,Manchester City,4,1,1.0
1957-1958,3,1957-08-31,Bolton,Blackpool,3,0,1.0
1957-1958,3,1957-08-31,Aston Villa,Everton,0,1,0.0
1957-1958,3,1957-08-31,Chelsea,Birmingham City,5,1,1.0
1957-1958,3,1957-08-31,Preston,Portsmouth,4,0,1.0
1957-1958,4,1957-09-04,Leeds United,Aston Villa,4,0,1.0
1957-1958,4,1957-09-04,Luton Town,Blackpool,2,0,1.0
