Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
1920-1921,1,1920-08-28,Burnley,Bradford City,1,4,0.0
1920-1921,1,1920-08-28,Sheffield Utd,Sunderland,1,1,0.5
1920-1921,1,1920-08-28,Aston Villa,Arsenal,5,0,1.0
1920-1921,1,1920-08-28,Newcastle Utd,West Brom,1,1,0.5
1920-1921,1,1920-08-28,Derby County,Chelsea,0,0,0.5
1920-1921,1,1920-08-28,Liverpool,Manchester City,4,2,1.0
1920-1921,1,1920-08-28,Middlesbrough,Oldham Athletic,1,2,0.0
1920-1921,1,1920-08-28,Manchester Utd,Bolton,2,3,0.0
1920-1921,1,1920-08-28,Bradford PA,Everton,3,3,0.5
1920-1921,1,1920-08-28,Preston,Huddersfield,0,1,0.0
1920-1921,1,1920-08-28,Tottenham,Blackburn,1,2,0.0
1920-1921,2,1920-08-30,Bradford City,Sheffield Utd,4,0,1.0
1920-1921,2,1920-08-30,Oldham Athletic,Blackburn,1,0,1.0
1920-1921,2,1920-08-30,Derby County,Tottenham,2,2,0.5
1920-1921,2,1920-08-30,Manchester City,Aston Villa,3,1,1.0
1920-1921,2,1920-08-30,Arsenal,Manchester Utd,2,0,1.0
1920-1921,2,1920-08-30,Huddersfield,Burnley,1,0,1.0
1920-1921,2,1920-08-30,Middlesbrough,Preston,0,0,0.5
1920-1921,2,1920-09-01,Chelsea,Bolton,1,0,1.0
1920-1921,2,1920-09-01,West Brom,Liverpool,1,1,0.5
1920-1921,2,1920-09-01,Sunderland,Bradford PA,5,1,1.0
1920-1921,2,1920-09-01,Everton,Newcastle Utd,3,1,1.0
1920-1921,3,1920-09-04,Manchester City,Liverpool,3,2,1.0
1920-1921,3,1920-09-04,Bolton,Manchester Utd,1,1,0.5
1920-1921,3,1920-09-04,Blackburn,Tottenham,1,1,0.5
1920-1921,3,1920-09-04,Oldham Athletic,Middlesbrough,3,3,0.5
1920-1921,3,1920-09-04,Chelsea,Derby County,1,1,0.5
1920-1921,3,1920-09-04,Arsenal,Aston Villa,0,1,0.0
1920-1921,3,1920-09-04,Bradford City,Burnley,2,0,1.0
1920-1921,3,1920-09-04,Huddersfield,Preston,1,0,1.0
1920-1921,3,1920-09-04,Sunderland,Sheffield Utd,3,1,1.0
1920-1921,3,1920-09-04,Everton,Bradford PA,1,1,0.5
1920-1921,3,1920-09-04,West Brom,Newcastle Utd,0,0,0.5
1920-1921,4,1920-09-06,Tottenham,Derby County,2,0,1.0
1920-1921,4,1920-09-06,Liverpool,West Brom,0,0,0.5
1920-1921,4,1920-09-06,Preston,Middlesbrough,2,0,1.0
1920-1921,4,1920-09-06,Aston Villa,Manchester City,3,1,1.0
1920-1921,4,1920-09-06,Burnley,Huddersfield,3,0,1.0
1920-1921,4,1920-09-06,Bolton,Chelsea,3,1,1.0
1920-1921,4,1920-09-06,Sheffield Utd,Bradford City,4,1,1.0
1920-1921,4,1920-09-06,Manchester Utd,Arsenal,1,1,0.5
1920-1921,4,1920-09-08,Bradford PA,Sunderland,1,1,0.5
1920-1921,4,1920-09-08,Newcastle Utd,Everton,2,0,1.0
1920-1921,5,1920-09-11,Aston Villa,Tottenham,4,2,1.0
1920-1921,5,1920-09-11,Derby County,Everton,2,4,0.0
1920-1921,5,1920-09-11,Blackburn,Sunderland,2,0,1.0
1920-1921,5,1920-09-11,Manchester Utd,Chelsea,3,1,1.0
1920-1921,5,1920-09-11,Bradford PA,Sheffield Utd,2,0,1.0
1920-1921,5,1920-09-11,Bolton,West Brom,3,0,1.0
1920-1921,5,1920-09-11,Arsenal,Manchester City,2,1,1.0
1920-1921,5,1920-09-11,Liverpool,Oldham Athletic,5,2,1.0
1920-1921,5,1920-09-11,Huddersfield,Bradford City,1,0,1.0
1920-1921,5,1920-09-11,Newcastle Utd,Preston,4,2,1.0
1920-1921,5,1920-09-11,Burnley,Middlesbrough,2,1,1.0
1920-1921,6,1920-09-15,Bolton,Aston Villa,5,0,1.0
1920-1921,6,1920-09-18,Middlesbrough,Burnley,0,0,0.5
1920-1921,6,1920-09-18,Sunderland,Blackburn,2,0,1.0
1920-1921,6,1920-09-18,Everton,Derby County,3,1,1.0
1920-1921,6,1920-09-18,Bradford City,Huddersfield,0,2,0.0
1920-1921,6,1920-09-18,Oldham Athletic,Liverpool,0,0,0.5
1920-1921,6,1920-09-18,Manchester City,Arsenal,3,1,1.0
1920-1921,6,1920-09-18,Sheffield Utd,Bradford PA,2,0,1.0
1920-1921,6,1920-09-18,West Brom,Bolton,2,1,1.0
1920-1921,6,1920-09-18,Chelsea,Manchester Utd,1,2,0.0
1920-1921,6,1920-09-18,Preston,Newcastle Utd,3,2,1.0
1920-1921,7,1920-09-18,Tottenham,Aston Villa,1,2,0.0
1920-1921,6,1920-09-20,Blackburn,Oldham Athletic,5,1,1.0
1920-1921,7,1920-09-22,Everton,Sheffield Utd,3,0,1.0
1920-1921,7,1920-09-25,Bradford PA,Bradford City,1,2,0.0
