Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Regular season,9,2016-09-17,Wisła Kraków,Piast Gliwice,1,0,1.0
2016-2017,Regular season,9,2016-09-18,Lechia Gdańsk,Lech Poznań,2,1,1.0
2016-2017,Regular season,9,2016-09-18,Legia Warsaw,Zagłębie Lubin,2,3,0.0
2016-2017,Regular season,9,2016-09-19,Arka Gdynia,Cracovia,1,0,1.0
2016-2017,Regular season,10,2016-09-23,Nieciecza,Wisła Płock,0,0,0.5
2016-2017,Regular season,10,2016-09-23,Wisła Kraków,Legia Warsaw,0,0,0.5
2016-2017,Regular season,10,2016-09-24,Pogoń Szczecin,Górnik Łęczna,1,1,0.5
2016-2017,Regular season,10,2016-09-24,Lechia Gdańsk,Ruch Chorzów,2,1,1.0
2016-2017,Regular season,10,2016-09-24,Zagłębie Lubin,Cracovia,1,1,0.5
2016-2017,Regular season,10,2016-09-25,Korona Kielce,Jagiellonia,1,2,0.0
2016-2017,Regular season,10,2016-09-25,Lech Poznań,Arka Gdynia,0,0,0.5
2016-2017,Regular season,10,2016-09-26,Piast Gliwice,Śląsk Wrocław,1,1,0.5
2016-2017,Regular season,11,2016-09-30,Ruch Chorzów,Zagłębie Lubin,1,2,0.0
2016-2017,Regular season,11,2016-09-30,Górnik Łęczna,Lech Poznań,1,2,0.0
2016-2017,Regular season,11,2016-10-01,Arka Gdynia,Piast Gliwice,1,2,0.0
2016-2017,Regular season,11,2016-10-01,Wisła Płock,Wisła Kraków,2,3,0.0
2016-2017,Regular season,11,2016-10-01,Legia Warsaw,Lechia Gdańsk,3,0,1.0
2016-2017,Regular season,11,2016-10-02,Cracovia,Korona Kielce,6,0,1.0
2016-2017,Regular season,11,2016-10-02,Śląsk Wrocław,Nieciecza,1,2,0.0
2016-2017,Regular season,11,2016-10-02,Jagiellonia,Pogoń Szczecin,0,0,0.5
2016-2017,Regular season,12,2016-10-14,Cracovia,Wisła Płock,1,0,1.0
2016-2017,Regular season,12,2016-10-14,Pogoń Szczecin,Legia Warsaw,3,2,1.0
2016-2017,Regular season,12,2016-10-15,Górnik Łęczna,Arka Gdynia,0,0,0.5
2016-2017,Regular season,12,2016-10-15,Piast Gliwice,Ruch Chorzów,2,1,1.0
2016-2017,Regular season,12,2016-10-15,Zagłębie Lubin,Lechia Gdańsk,1,2,0.0
2016-2017,Regular season,12,2016-10-16,Nieciecza,Jagiellonia,0,0,0.5
2016-2017,Regular season,12,2016-10-16,Lech Poznań,Wisła Kraków,1,1,0.5
2016-2017,Regular season,12,2016-10-17,Korona Kielce,Śląsk Wrocław,1,2,0.0
2016-2017,Regular season,13,2016-10-21,Arka Gdynia,Pogoń Szczecin,0,3,0.0
2016-2017,Regular season,13,2016-10-21,Wisła Kraków,Nieciecza,2,0,1.0
2016-2017,Regular season,13,2016-10-22,Wisła Płock,Górnik Łęczna,1,2,0.0
2016-2017,Regular season,13,2016-10-22,Śląsk Wrocław,Cracovia,2,2,0.5
2016-2017,Regular season,13,2016-10-22,Legia Warsaw,Lech Poznań,2,1,1.0
2016-2017,Regular season,13,2016-10-23,Lechia Gdańsk,Piast Gliwice,3,2,1.0
2016-2017,Regular season,13,2016-10-23,Jagiellonia,Zagłębie Lubin,1,2,0.0
2016-2017,Regular season,13,2016-10-24,Ruch Chorzów,Korona Kielce,4,0,1.0
2016-2017,Regular season,14,2016-10-28,Piast Gliwice,Nieciecza,2,1,1.0
2016-2017,Regular season,14,2016-10-28,Korona Kielce,Legia Warsaw,2,4,0.0
2016-2017,Regular season,14,2016-10-29,Górnik Łęczna,Śląsk Wrocław,0,3,0.0
2016-2017,Regular season,14,2016-10-29,Pogoń Szczecin,Ruch Chorzów,2,1,1.0
2016-2017,Regular season,14,2016-10-29,Lech Poznań,Wisła Płock,2,0,1.0
2016-2017,Regular season,14,2016-10-30,Cracovia,Jagiellonia,1,3,0.0
2016-2017,Regular season,14,2016-10-30,Arka Gdynia,Lechia Gdańsk,1,1,0.5
2016-2017,Regular season,14,2016-10-31,Zagłębie Lubin,Wisła Kraków,2,2,0.5
2016-2017,Regular season,15,2016-11-04,Wisła Płock,Arka Gdynia,0,0,0.5
2016-2017,Regular season,15,2016-11-04,Ruch Chorzów,Lech Poznań,0,5,0.0
2016-2017,Regular season,15,2016-11-05,Nieciecza,Korona Kielce,1,3,0.0
2016-2017,Regular season,15,2016-11-05,Jagiellonia,Piast Gliwice,2,0,1.0
2016-2017,Regular season,15,2016-11-05,Lechia Gdańsk,Pogoń Szczecin,1,1,0.5
2016-2017,Regular season,15,2016-11-06,Wisła Kraków,Górnik Łęczna,3,2,1.0
2016-2017,Regular season,15,2016-11-06,Śląsk Wrocław,Zagłębie Lubin,2,1,1.0
2016-2017,Regular season,15,2016-11-06,Legia Warsaw,Cracovia,2,0,1.0
2016-2017,Regular season,16,2016-11-18,Piast Gliwice,Cracovia,2,2,0.5
2016-2017,Regular season,16,2016-11-18,Jagiellonia,Legia Warsaw,1,4,0.0
2016-2017,Regular season,16,2016-11-19,Górnik Łęczna,Ruch Chorzów,0,4,0.0
2016-2017,Regular season,16,2016-11-19,Pogoń Szczecin,Wisła Kraków,6,2,1.0
2016-2017,Regular season,16,2016-11-19,Lechia Gdańsk,Wisła Płock,2,1,1.0
2016-2017,Regular season,16,2016-11-20,Arka Gdynia,Nieciecza,1,3,0.0
2016-2017,Regular season,16,2016-11-20,Lech Poznań,Śląsk Wrocław,3,0,1.0
2016-2017,Regular season,16,2016-11-21,Korona Kielce,Zagłębie Lubin,2,1,1.0
2016-2017,Regular season,17,2016-11-25,Cracovia,Nieciecza,1,3,0.0
2016-2017,Regular season,17,2016-11-25,Zagłębie Lubin,Lech Poznań,0,3,0.0
2016-2017,Regular season,17,2016-11-26,Korona Kielce,Pogoń Szczecin,4,1,1.0
2016-2017,Regular season,17,2016-11-26,Ruch Chorzów,Jagiellonia,1,2,0.0
2016-2017,Regular season,17,2016-11-26,Wisła Kraków,Arka Gdynia,5,1,1.0
