,Jugadores,F. Nacim./Edad,Valor de mercado,Temporada,Valor de mercado (num),League,Team
0,Marc-André ter Stegen Portero,30/04/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
3,Jasper Cillessen Portero,22/04/1989 (29),"9,00 mill. €",2017/2018,9000000.0,laliga,fc-barcelona
6,Adrián Ortolá Portero,20/08/1993 (24),"1,50 mill. €",2017/2018,1500000.0,laliga,fc-barcelona
9,Samuel Umtiti Defensa central,14/11/1993 (24),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
12,Gerard Piqué Defensa central,02/02/1987 (31),"50,00 mill. €",2017/2018,50000000.0,laliga,fc-barcelona
15,Yerry Mina Defensa central,23/09/1994 (23),"9,00 mill. €",2017/2018,9000000.0,laliga,fc-barcelona
18,Thomas Vermaelen Defensa central,14/11/1985 (32),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
21,David Costas Defensa central,26/03/1995 (23),"3,50 mill. €",2017/2018,3500000.0,laliga,fc-barcelona
24,Jordi Alba Lateral izquierdo,21/03/1989 (29),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
27,Lucas Digne Lateral izquierdo,20/07/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
30,Marc Cucurella Lateral izquierdo,22/07/1998 (19),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
33,Nélson Semedo Lateral derecho,16/11/1993 (24),"30,00 mill. €",2017/2018,30000000.0,laliga,fc-barcelona
36,Sergio Busquets Pivote,16/07/1988 (29),"80,00 mill. €",2017/2018,80000000.0,laliga,fc-barcelona
39,Javier Mascherano Pivote,08/06/1984 (34),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
42,Uri Busquets Pivote,20/01/1999 (19),"2,50 mill. €",2017/2018,2500000.0,laliga,fc-barcelona
45,Sergi Roberto Mediocentro,07/02/1992 (26),"55,00 mill. €",2017/2018,55000000.0,laliga,fc-barcelona
48,Ivan Rakitic Mediocentro,10/03/1988 (30),"50,00 mill. €",2017/2018,50000000.0,laliga,fc-barcelona
51,Paulinho Mediocentro,25/07/1988 (29),"40,00 mill. €",2017/2018,40000000.0,laliga,fc-barcelona
54,André Gomes Mediocentro,30/07/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
57,Andrés Iniesta Mediocentro,11/05/1984 (34),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-barcelona
60,Carles Aleñá Mediocentro,05/01/1998 (20),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-barcelona
63,Philippe Coutinho Mediocentro ofensivo,12/06/1992 (26),"100,00 mill. €",2017/2018,100000000.0,laliga,fc-barcelona
66,Rafinha Mediocentro ofensivo,12/02/1993 (25),"28,00 mill. €",2017/2018,28000000.0,laliga,fc-barcelona
69,Denis Suárez Mediocentro ofensivo,06/01/1994 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
72,José Manuel Arnáiz Extremo izquierdo,15/04/1995 (23),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
75,Arda Turan Extremo izquierdo,30/01/1987 (31),"4,00 mill. €",2017/2018,4000000.0,laliga,fc-barcelona
78,Lionel Messi Extremo derecho,24/06/1987 (31),"180,00 mill. €",2017/2018,180000000.0,laliga,fc-barcelona
81,Ousmane Dembélé Extremo derecho,15/05/1997 (21),"80,00 mill. €",2017/2018,80000000.0,laliga,fc-barcelona
84,Aleix Vidal Extremo derecho,21/08/1989 (28),"7,50 mill. €",2017/2018,7500000.0,laliga,fc-barcelona
87,Luis Suárez Delantero centro,24/01/1987 (31),"70,00 mill. €",2017/2018,70000000.0,laliga,fc-barcelona
90,Paco Alcácer Delantero centro,30/08/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
93,Gerard Deulofeu Delantero centro,13/03/1994 (24),"14,00 mill. €",2017/2018,14000000.0,laliga,fc-barcelona
0,Keylor Navas Portero,15/12/1986 (31),"18,00 mill. €",2017/2018,18000000.0,laliga,real-madrid
3,Kiko Casilla Portero,02/10/1986 (31),"6,00 mill. €",2017/2018,6000000.0,laliga,real-madrid
6,Luca Zidane Portero,13/05/1998 (20),300 mil €,2017/2018,300000.0,laliga,real-madrid
9,Moha Ramos Portero,13/04/2000 (18),-,2017/2018,0.0,laliga,real-madrid
12,Raphaël Varane Defensa central,25/04/1993 (25),"70,00 mill. €",2017/2018,70000000.0,laliga,real-madrid
15,Sergio Ramos Defensa central,30/03/1986 (32),"45,00 mill. €",2017/2018,45000000.0,laliga,real-madrid
18,Nacho Fernández Defensa central,18/01/1990 (28),"30,00 mill. €",2017/2018,30000000.0,laliga,real-madrid
21,Jesús Vallejo Defensa central,05/01/1997 (21),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
24,Manu Hernando Defensa central,19/07/1998 (19),200 mil €,2017/2018,200000.0,laliga,real-madrid
27,Marcelo Lateral izquierdo,12/05/1988 (30),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
30,Theo Hernández Lateral izquierdo,06/10/1997 (20),"15,00 mill. €",2017/2018,15000000.0,laliga,real-madrid
33,Luismi Quezada Lateral izquierdo,11/02/1996 (22),300 mil €,2017/2018,300000.0,laliga,real-madrid
36,Daniel Carvajal Lateral derecho,11/01/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
39,Lucas Vázquez Lateral derecho,01/07/1991 (26),"25,00 mill. €",2017/2018,25000000.0,laliga,real-madrid
42,Achraf Hakimi Lateral derecho,04/11/1998 (19),"5,00 mill. €",2017/2018,5000000.0,laliga,real-madrid
45,Álvaro Tejero Lateral derecho,20/07/1996 (21),300 mil €,2017/2018,300000.0,laliga,real-madrid
48,Casemiro Pivote,23/02/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
51,Toni Kroos Mediocentro,04/01/1990 (28),"80,00 mill. €",2017/2018,80000000.0,laliga,real-madrid
54,Mateo Kovacic Mediocentro,06/05/1994 (24),"30,00 mill. €",2017/2018,30000000.0,laliga,real-madrid
57,Luka Modric Mediocentro,09/09/1985 (32),"25,00 mill. €",2017/2018,25000000.0,laliga,real-madrid
60,Dani Ceballos Mediocentro,07/08/1996 (21),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
63,Jaime Seoane Mediocentro,22/01/1997 (21),250 mil €,2017/2018,250000.0,laliga,real-madrid
66,Marcos Llorente Interior derecho,30/01/1995 (23),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
69,Isco Mediocentro ofensivo,21/04/1992 (26),"75,00 mill. €",2017/2018,75000000.0,laliga,real-madrid
72,Óscar Rodríguez Mediocentro ofensivo,28/06/1998 (20),800 mil €,2017/2018,800000.0,laliga,real-madrid
75,Gareth Bale Extremo derecho,16/07/1989 (28),"90,00 mill. €",2017/2018,90000000.0,laliga,real-madrid
78,Marco Asensio Extremo derecho,21/01/1996 (22),"75,00 mill. €",2017/2018,75000000.0,laliga,real-madrid
81,Franchu Extremo derecho,12/05/1998 (20),200 mil €,2017/2018,200000.0,laliga,real-madrid
84,Cristo Mediapunta,24/10/1997 (20),500 mil €,2017/2018,500000.0,laliga,real-madrid
87,Cristiano Ronaldo Delantero centro,05/02/1985 (33),"100,00 mill. €",2017/2018,100000000.0,laliga,real-madrid
90,Karim Benzema Delantero centro,19/12/1987 (30),"40,00 mill. €",2017/2018,40000000.0,laliga,real-madrid
93,Borja Mayoral Delantero centro,05/04/1997 (21),"7,50 mill. €",2017/2018,7500000.0,laliga,real-madrid
0,Jan Oblak Portero,07/01/1993 (25),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
3,Miguel Ángel Moyá Portero,02/04/1984 (34),"2,00 mill. €",2017/2018,2000000.0,laliga,atletico-madrid
6,Axel Werner Portero,28/02/1996 (22),"1,00 mill. €",2017/2018,1000000.0,laliga,atletico-madrid
9,Miguel San Román Portero,14/07/1997 (20),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
12,Álex dos Santos Portero,15/01/1999 (19),-,2017/2018,0.0,laliga,atletico-madrid
15,José María Giménez Defensa central,20/01/1995 (23),"45,00 mill. €",2017/2018,45000000.0,laliga,atletico-madrid
18,Stefan Savic Defensa central,08/01/1991 (27),"40,00 mill. €",2017/2018,40000000.0,laliga,atletico-madrid
21,Diego Godín Defensa central,16/02/1986 (32),"35,00 mill. €",2017/2018,35000000.0,laliga,atletico-madrid
24,Antonio Montoro Defensa central,10/05/1997 (21),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
27,Lucas Hernández Lateral izquierdo,14/02/1996 (22),"35,00 mill. €",2017/2018,35000000.0,laliga,atletico-madrid
30,Filipe Luís Lateral izquierdo,09/08/1985 (32),"8,00 mill. €",2017/2018,8000000.0,laliga,atletico-madrid
33,Sergi González Lateral izquierdo,26/05/1995 (23),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
36,Sime Vrsaljko Lateral derecho,10/01/1992 (26),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
39,Juanfran Torres Lateral derecho,09/01/1985 (33),"5,00 mill. €",2017/2018,5000000.0,laliga,atletico-madrid
42,Carlos Isaac Lateral derecho,30/04/1998 (20),200 mil €,2017/2018,200000.0,laliga,atletico-madrid
45,Thomas Partey Pivote,13/06/1993 (25),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
48,Koke Mediocentro,08/01/1992 (26),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
51,Saúl Ñíguez Mediocentro,21/11/1994 (23),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
54,Gabi Mediocentro,10/07/1983 (34),"3,00 mill. €",2017/2018,3000000.0,laliga,atletico-madrid
57,Augusto Fernández Mediocentro,10/04/1986 (32),"2,50 mill. €",2017/2018,2500000.0,laliga,atletico-madrid
60,Keidi Bare Mediocentro,28/08/1997 (20),500 mil €,2017/2018,500000.0,laliga,atletico-madrid
63,Toni Moya Mediocentro,20/03/1998 (20),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
66,Roberto Olabe Mediocentro,05/05/1996 (22),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
69,Nico Gaitán Mediocentro ofensivo,23/02/1988 (30),"8,00 mill. €",2017/2018,8000000.0,laliga,atletico-madrid
72,Yannick Carrasco Extremo izquierdo,04/09/1993 (24),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
75,Vitolo Extremo izquierdo,02/11/1989 (28),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
78,Ángel Correa Extremo derecho,09/03/1995 (23),"24,00 mill. €",2017/2018,24000000.0,laliga,atletico-madrid
81,Arona Sané Extremo derecho,21/06/1995 (23),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
84,Juan Moreno Extremo derecho,11/05/1997 (21),100 mil €,2017/2018,100000.0,laliga,atletico-madrid
87,Juan Agüero Extremo derecho,27/05/1999 (19),-,2017/2018,0.0,laliga,atletico-madrid
90,Antoine Griezmann Delantero centro,21/03/1991 (27),"100,00 mill. €",2017/2018,100000000.0,laliga,atletico-madrid
93,Diego Costa Delantero centro,07/10/1988 (29),"60,00 mill. €",2017/2018,60000000.0,laliga,atletico-madrid
96,Kévin Gameiro Delantero centro,09/05/1987 (31),"20,00 mill. €",2017/2018,20000000.0,laliga,atletico-madrid
99,Luciano Vietto Delantero centro,05/12/1993 (24),"6,00 mill. €",2017/2018,6000000.0,laliga,atletico-madrid
102,Fernando Torres Delantero centro,20/03/1984 (34),"4,00 mill. €",2017/2018,4000000.0,laliga,atletico-madrid
105,Alberto Ródenas Delantero centro,26/09/1998 (19),200 mil €,2017/2018,200000.0,laliga,atletico-madrid
0,Neto Portero,19/07/1989 (28),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-valencia
3,Jaume Doménech Portero,05/11/1990 (27),"2,50 mill. €",2017/2018,2500000.0,laliga,fc-valencia
6,Cristian Rivero Portero,21/03/1998 (20),250 mil €,2017/2018,250000.0,laliga,fc-valencia
9,Gabriel Paulista Defensa central,26/11/1990 (27),"20,00 mill. €",2017/2018,20000000.0,laliga,fc-valencia
12,Jeison Murillo Defensa central,27/05/1992 (26),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-valencia
15,Ezequiel Garay Defensa central,10/10/1986 (31),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-valencia
18,Rúben Vezo Defensa central,25/04/1994 (24),"6,00 mill. €",2017/2018,6000000.0,laliga,fc-valencia
21,Javi Jiménez Defensa central,11/03/1997 (21),300 mil €,2017/2018,300000.0,laliga,fc-valencia
24,José Gayà Lateral izquierdo,25/05/1995 (23),"35,00 mill. €",2017/2018,35000000.0,laliga,fc-valencia
27,Toni Lato Lateral izquierdo,21/11/1997 (20),"8,00 mill. €",2017/2018,8000000.0,laliga,fc-valencia
30,João Cancelo Lateral derecho,27/05/1994 (24),"35,00 mill. €",2017/2018,35000000.0,laliga,fc-valencia
33,Martín Montoya Lateral derecho,14/04/1991 (27),"8,00 mill. €",2017/2018,8000000.0,laliga,fc-valencia
36,Nacho Vidal Lateral derecho,24/01/1995 (23),"1,00 mill. €",2017/2018,1000000.0,laliga,fc-valencia
39,Geoffrey Kondogbia Pivote,15/02/1993 (25),"30,00 mill. €",2017/2018,30000000.0,laliga,fc-valencia
42,Francis Coquelin Pivote,13/05/1991 (27),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-valencia
45,Carlos Soler Mediocentro,02/01/1997 (21),"30,00 mill. €",2017/2018,30000000.0,laliga,fc-valencia
48,Dani Parejo Mediocentro,16/04/1989 (29),"20,00 mill. €",2017/2018,20000000.0,laliga,fc-valencia
51,Nemanja Maksimovic Mediocentro,26/01/1995 (23),"3,00 mill. €",2017/2018,3000000.0,laliga,fc-valencia
54,Álvaro Medrán Mediocentro,15/03/1994 (24),"1,80 mill. €",2017/2018,1800000.0,laliga,fc-valencia
57,Gonzalo Villar Mediocentro,23/03/1998 (20),200 mil €,2017/2018,200000.0,laliga,fc-valencia
60,Andreas Pereira Mediocentro ofensivo,01/01/1996 (22),"6,00 mill. €",2017/2018,6000000.0,laliga,fc-valencia
63,Gonçalo Guedes Extremo izquierdo,29/11/1996 (21),"40,00 mill. €",2017/2018,40000000.0,laliga,fc-valencia
66,Nacho Gil Extremo izquierdo,09/09/1995 (22),800 mil €,2017/2018,800000.0,laliga,fc-valencia
69,Ferran Torres Extremo derecho,29/02/2000 (18),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-valencia
72,Fabián Orellana Extremo derecho,27/01/1986 (32),"2,00 mill. €",2017/2018,2000000.0,laliga,fc-valencia
75,Rober Ibáñez Extremo derecho,22/03/1993 (25),"1,20 mill. €",2017/2018,1200000.0,laliga,fc-valencia
78,Rodrigo Delantero centro,06/03/1991 (27),"40,00 mill. €",2017/2018,40000000.0,laliga,fc-valencia
81,Simone Zaza Delantero centro,25/06/1991 (27),"22,00 mill. €",2017/2018,22000000.0,laliga,fc-valencia
84,Santi Mina Delantero centro,07/12/1995 (22),"20,00 mill. €",2017/2018,20000000.0,laliga,fc-valencia
87,Luciano Vietto Delantero centro,05/12/1993 (24),"6,00 mill. €",2017/2018,6000000.0,laliga,fc-valencia
0,Sergio Rico Portero,01/09/1993 (24),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-sevilla
3,David Soria Portero,04/04/1993 (25),"4,00 mill. €",2017/2018,4000000.0,laliga,fc-sevilla
6,Juan Soriano Portero,23/08/1997 (20),600 mil €,2017/2018,600000.0,laliga,fc-sevilla
9,Clément Lenglet Defensa central,17/06/1995 (23),"25,00 mill. €",2017/2018,25000000.0,laliga,fc-sevilla
12,Simon Kjær Defensa central,26/03/1989 (29),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-sevilla
15,Guido Pizarro Defensa central,26/02/1990 (28),"7,50 mill. €",2017/2018,7500000.0,laliga,fc-sevilla
18,Gabriel Mercado Defensa central,18/03/1987 (31),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
21,Daniel Carriço Defensa central,04/08/1988 (29),"1,00 mill. €",2017/2018,1000000.0,laliga,fc-sevilla
24,Nicolás Pareja Defensa central,19/01/1984 (34),800 mil €,2017/2018,800000.0,laliga,fc-sevilla
27,Sergio Escudero Lateral izquierdo,02/09/1989 (28),"7,50 mill. €",2017/2018,7500000.0,laliga,fc-sevilla
30,Guilherme Arana Lateral izquierdo,14/04/1997 (21),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
33,Lionel Carole Lateral izquierdo,12/04/1991 (27),"3,00 mill. €",2017/2018,3000000.0,laliga,fc-sevilla
36,Miguel Layún Lateral derecho,25/06/1988 (30),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
39,Jesús Navas Lateral derecho,21/11/1985 (32),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
42,Sébastien Corchia Lateral derecho,01/11/1990 (27),"4,00 mill. €",2017/2018,4000000.0,laliga,fc-sevilla
45,Álex Pozo Lateral derecho,22/02/1999 (19),"2,00 mill. €",2017/2018,2000000.0,laliga,fc-sevilla
48,Steven Nzonzi Pivote,15/12/1988 (29),"30,00 mill. €",2017/2018,30000000.0,laliga,fc-sevilla
51,Johannes Geis Pivote,17/08/1993 (24),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
54,Éver Banega Mediocentro,29/06/1988 (30),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-sevilla
57,Roque Mesa Mediocentro,07/06/1989 (29),"7,00 mill. €",2017/2018,7000000.0,laliga,fc-sevilla
60,Walter Montoya Mediocentro,21/07/1993 (24),"4,00 mill. €",2017/2018,4000000.0,laliga,fc-sevilla
63,Michael Krohn-Dehli Mediocentro,06/06/1983 (35),800 mil €,2017/2018,800000.0,laliga,fc-sevilla
66,Franco Vázquez Mediocentro ofensivo,22/02/1989 (29),"7,50 mill. €",2017/2018,7500000.0,laliga,fc-sevilla
69,Ganso Mediocentro ofensivo,12/10/1989 (28),"2,00 mill. €",2017/2018,2000000.0,laliga,fc-sevilla
72,Borja Lasso Mediocentro ofensivo,01/01/1994 (24),"1,00 mill. €",2017/2018,1000000.0,laliga,fc-sevilla
75,Nolito Extremo izquierdo,15/10/1986 (31),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-sevilla
78,José Alonso Lara Extremo izquierdo,07/03/2000 (18),500 mil €,2017/2018,500000.0,laliga,fc-sevilla
81,Pablo Sarabia Extremo derecho,11/05/1992 (26),"20,00 mill. €",2017/2018,20000000.0,laliga,fc-sevilla
84,Joaquín Correa Mediapunta,13/08/1994 (23),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-sevilla
87,Wissam Ben Yedder Delantero centro,12/08/1990 (27),"28,00 mill. €",2017/2018,28000000.0,laliga,fc-sevilla
90,Luis Muriel Delantero centro,16/04/1991 (27),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-sevilla
93,Sandro Ramírez Delantero centro,09/07/1995 (22),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-sevilla
96,Carlos Fernández Delantero centro,22/05/1996 (22),"1,00 mill. €",2017/2018,1000000.0,laliga,fc-sevilla
0,Kepa Arrizabalaga Portero,03/10/1994 (23),"20,00 mill. €",2017/2018,20000000.0,laliga,athletic-bilbao
3,Iago Herrerín Portero,25/01/1988 (30),"3,00 mill. €",2017/2018,3000000.0,laliga,athletic-bilbao
6,Unai Simón Portero,11/06/1997 (21),500 mil €,2017/2018,500000.0,laliga,athletic-bilbao
9,Aymeric Laporte Defensa central,27/05/1994 (24),"50,00 mill. €",2017/2018,50000000.0,laliga,athletic-bilbao
12,Iñigo Martínez Defensa central,17/05/1991 (27),"32,00 mill. €",2017/2018,32000000.0,laliga,athletic-bilbao
15,Yeray Álvarez Defensa central,24/01/1995 (23),"15,00 mill. €",2017/2018,15000000.0,laliga,athletic-bilbao
18,Unai Núñez Defensa central,30/01/1997 (21),"15,00 mill. €",2017/2018,15000000.0,laliga,athletic-bilbao
21,Xabi Etxeita Defensa central,31/10/1987 (30),"2,00 mill. €",2017/2018,2000000.0,laliga,athletic-bilbao
24,Enric Saborit Defensa central,27/04/1992 (26),800 mil €,2017/2018,800000.0,laliga,athletic-bilbao
27,Óscar Gil Defensa central,14/06/1995 (23),400 mil €,2017/2018,400000.0,laliga,athletic-bilbao
30,Dani Vivian Defensa central,05/07/1999 (18),50 mil €,2017/2018,50000.0,laliga,athletic-bilbao
33,Mikel Balenziaga Lateral izquierdo,29/02/1988 (30),"4,00 mill. €",2017/2018,4000000.0,laliga,athletic-bilbao
36,Andoni López Lateral izquierdo,05/04/1996 (22),600 mil €,2017/2018,600000.0,laliga,athletic-bilbao
39,Iñigo Lekue Lateral derecho,04/05/1993 (25),"7,50 mill. €",2017/2018,7500000.0,laliga,athletic-bilbao
42,Óscar de Marcos Lateral derecho,14/04/1989 (29),"6,00 mill. €",2017/2018,6000000.0,laliga,athletic-bilbao
45,Eneko Bóveda Lateral derecho,14/12/1988 (29),"1,50 mill. €",2017/2018,1500000.0,laliga,athletic-bilbao
48,Mikel San José Pivote,30/05/1989 (29),"9,00 mill. €",2017/2018,9000000.0,laliga,athletic-bilbao
51,Ander Iturraspe Pivote,08/03/1989 (29),"5,00 mill. €",2017/2018,5000000.0,laliga,athletic-bilbao
54,Mikel Vesga Pivote,08/04/1993 (25),"2,50 mill. €",2017/2018,2500000.0,laliga,athletic-bilbao
57,Peru Nolaskoain Pivote,25/10/1998 (19),300 mil €,2017/2018,300000.0,laliga,athletic-bilbao
60,Beñat Etxebarria Mediocentro,19/02/1987 (31),"4,00 mill. €",2017/2018,4000000.0,laliga,athletic-bilbao
63,Mikel Rico Mediocentro,04/11/1984 (33),"1,50 mill. €",2017/2018,1500000.0,laliga,athletic-bilbao
66,Víctor San Bartolomé Mediocentro,26/10/1999 (18),50 mil €,2017/2018,50000.0,laliga,athletic-bilbao
69,Iker Muniain Mediocentro ofensivo,19/12/1992 (25),"10,00 mill. €",2017/2018,10000000.0,laliga,athletic-bilbao
72,Raúl García Mediocentro ofensivo,11/07/1986 (31),"9,00 mill. €",2017/2018,9000000.0,laliga,athletic-bilbao
75,Iñigo Córdoba Extremo izquierdo,13/03/1997 (21),"5,00 mill. €",2017/2018,5000000.0,laliga,athletic-bilbao
78,Iñaki Williams Extremo derecho,15/06/1994 (24),"30,00 mill. €",2017/2018,30000000.0,laliga,athletic-bilbao
81,Markel Susaeta Extremo derecho,14/12/1987 (30),"9,00 mill. €",2017/2018,9000000.0,laliga,athletic-bilbao
84,Ager Aketxe Extremo derecho,30/12/1993 (24),"2,50 mill. €",2017/2018,2500000.0,laliga,athletic-bilbao
87,Iñigo Muñoz Extremo derecho,16/12/1996 (21),200 mil €,2017/2018,200000.0,laliga,athletic-bilbao
90,Sabin Merino Delantero centro,04/01/1992 (26),"1,50 mill. €",2017/2018,1500000.0,laliga,athletic-bilbao
93,Aritz Aduriz Delantero centro,11/02/1981 (37),"1,00 mill. €",2017/2018,1000000.0,laliga,athletic-bilbao
96,Kike Sola Delantero centro,25/02/1986 (32),500 mil €,2017/2018,500000.0,laliga,athletic-bilbao
0,Gerónimo Rulli Portero,20/05/1992 (26),"10,00 mill. €",2017/2018,10000000.0,laliga,real-sociedad-san-sebastian
3,Miguel Ángel Moyá Portero,02/04/1984 (34),"2,00 mill. €",2017/2018,2000000.0,laliga,real-sociedad-san-sebastian
6,Toño Portero,23/11/1986 (31),400 mil €,2017/2018,400000.0,laliga,real-sociedad-san-sebastian
9,Andoni Zubiaurre Portero,04/12/1996 (21),300 mil €,2017/2018,300000.0,laliga,real-sociedad-san-sebastian
12,Iñigo Martínez Defensa central,17/05/1991 (27),"32,00 mill. €",2017/2018,32000000.0,laliga,real-sociedad-san-sebastian
15,Diego Llorente Defensa central,16/08/1993 (24),"17,50 mill. €",2017/2018,17500000.0,laliga,real-sociedad-san-sebastian
18,Igor Zubeldia Defensa central,30/03/1997 (21),"5,00 mill. €",2017/2018,5000000.0,laliga,real-sociedad-san-sebastian
21,Aritz Elustondo Defensa central,28/03/1994 (24),"5,00 mill. €",2017/2018,5000000.0,laliga,real-sociedad-san-sebastian
24,Héctor Moreno Defensa central,17/01/1988 (30),"4,00 mill. €",2017/2018,4000000.0,laliga,real-sociedad-san-sebastian
27,Raúl Navas Defensa central,11/05/1988 (30),"3,00 mill. €",2017/2018,3000000.0,laliga,real-sociedad-san-sebastian
30,Kévin Rodrigues Lateral izquierdo,05/03/1994 (24),"2,00 mill. €",2017/2018,2000000.0,laliga,real-sociedad-san-sebastian
33,Alberto de la Bella Lateral izquierdo,02/12/1985 (32),"1,20 mill. €",2017/2018,1200000.0,laliga,real-sociedad-san-sebastian
36,Álvaro Odriozola Lateral derecho,14/12/1995 (22),"25,00 mill. €",2017/2018,25000000.0,laliga,real-sociedad-san-sebastian
39,Andoni Gorosabel Lateral derecho,04/08/1996 (21),"1,00 mill. €",2017/2018,1000000.0,laliga,real-sociedad-san-sebastian
42,Carlos Martínez Lateral derecho,09/04/1986 (32),500 mil €,2017/2018,500000.0,laliga,real-sociedad-san-sebastian
45,Asier Illarramendi Pivote,08/03/1990 (28),"20,00 mill. €",2017/2018,20000000.0,laliga,real-sociedad-san-sebastian
48,David Zurutuza Mediocentro,19/07/1986 (31),"3,00 mill. €",2017/2018,3000000.0,laliga,real-sociedad-san-sebastian
51,Rubén Pardo Mediocentro,22/10/1992 (25),"1,50 mill. €",2017/2018,1500000.0,laliga,real-sociedad-san-sebastian
54,Jon Guridi Mediocentro,28/02/1995 (23),300 mil €,2017/2018,300000.0,laliga,real-sociedad-san-sebastian
57,Ander Guevara Mediocentro,07/07/1997 (20),250 mil €,2017/2018,250000.0,laliga,real-sociedad-san-sebastian
60,Sergio Canales Mediocentro ofensivo,16/02/1991 (27),"5,00 mill. €",2017/2018,5000000.0,laliga,real-sociedad-san-sebastian
63,Xabi Prieto Mediocentro ofensivo,29/08/1983 (34),"3,00 mill. €",2017/2018,3000000.0,laliga,real-sociedad-san-sebastian
66,Juanmi Extremo izquierdo,20/05/1993 (25),"7,50 mill. €",2017/2018,7500000.0,laliga,real-sociedad-san-sebastian
69,Adnan Januzaj Extremo derecho,05/02/1995 (23),"12,00 mill. €",2017/2018,12000000.0,laliga,real-sociedad-san-sebastian
72,Carlos Vela Extremo derecho,01/03/1989 (29),"8,50 mill. €",2017/2018,8500000.0,laliga,real-sociedad-san-sebastian
75,Mikel Oyarzabal Delantero centro,21/04/1997 (21),"35,00 mill. €",2017/2018,35000000.0,laliga,real-sociedad-san-sebastian
78,Willian José Delantero centro,23/11/1991 (26),"25,00 mill. €",2017/2018,25000000.0,laliga,real-sociedad-san-sebastian
81,Jon Bautista Delantero centro,03/07/1995 (22),"2,00 mill. €",2017/2018,2000000.0,laliga,real-sociedad-san-sebastian
84,Imanol Agirretxe Delantero centro,24/02/1987 (31),"1,00 mill. €",2017/2018,1000000.0,laliga,real-sociedad-san-sebastian
0,Sergio Asenjo Portero,28/06/1989 (29),"8,00 mill. €",2017/2018,8000000.0,laliga,fc-villarreal
3,Andrés Fernández Portero,16/12/1986 (31),800 mil €,2017/2018,800000.0,laliga,fc-villarreal
6,Mariano Barbosa Portero,27/07/1984 (33),800 mil €,2017/2018,800000.0,laliga,fc-villarreal
9,Ander Cantero Portero,09/01/1995 (23),300 mil €,2017/2018,300000.0,laliga,fc-villarreal
12,Mario Gaspar Defensa central,24/11/1990 (27),"18,00 mill. €",2017/2018,18000000.0,laliga,fc-villarreal
15,Víctor Ruiz Defensa central,25/01/1989 (29),"12,00 mill. €",2017/2018,12000000.0,laliga,fc-villarreal
