Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,Regular season,14,2015-11-07,Motherwell,Inverness CT,1,3,0.0
2015-2016,Regular season,14,2015-11-07,Dundee,Partick Thistle,1,1,0.5
2015-2016,Regular season,14,2015-11-07,Hearts,Hamilton,2,0,1.0
2015-2016,Regular season,14,2015-11-07,Aberdeen,Dundee United,2,0,1.0
2015-2016,Regular season,14,2015-11-07,St Johnstone,Kilmarnock,2,1,1.0
2015-2016,Regular season,14,2015-11-08,Ross County,Celtic,1,4,0.0
2015-2016,Regular season,15,2015-11-21,Dundee United,St Johnstone,1,2,0.0
2015-2016,Regular season,15,2015-11-21,Hearts,Dundee,1,1,0.5
2015-2016,Regular season,15,2015-11-21,Celtic,Kilmarnock,0,0,0.5
2015-2016,Regular season,15,2015-11-21,Partick Thistle,Inverness CT,2,1,1.0
2015-2016,Regular season,15,2015-11-21,Ross County,Motherwell,3,0,1.0
2015-2016,Regular season,15,2015-11-22,Hamilton,Aberdeen,1,1,0.5
2015-2016,Regular season,16,2015-11-27,St Johnstone,Dundee,1,1,0.5
2015-2016,Regular season,16,2015-11-28,Dundee United,Hamilton,1,2,0.0
2015-2016,Regular season,16,2015-11-28,Kilmarnock,Partick Thistle,2,5,0.0
2015-2016,Regular season,16,2015-11-28,Motherwell,Hearts,2,2,0.5
2015-2016,Regular season,16,2015-11-28,Aberdeen,Ross County,3,1,1.0
2015-2016,Regular season,16,2015-11-29,Inverness CT,Celtic,1,3,0.0
2015-2016,Regular season,17,2015-12-05,Dundee,Aberdeen,0,2,0.0
2015-2016,Regular season,17,2015-12-05,Ross County,St Johnstone,2,3,0.0
2015-2016,Regular season,17,2015-12-05,Kilmarnock,Dundee United,1,1,0.5
2015-2016,Regular season,18,2015-12-12,Aberdeen,Hearts,1,0,1.0
2015-2016,Regular season,18,2015-12-12,Hamilton,Ross County,1,3,0.0
2015-2016,Regular season,18,2015-12-12,Inverness CT,Kilmarnock,2,1,1.0
2015-2016,Regular season,18,2015-12-12,Motherwell,Dundee,3,1,1.0
2015-2016,Regular season,18,2015-12-12,Dundee United,Partick Thistle,0,1,0.0
2015-2016,Regular season,18,2015-12-13,St Johnstone,Celtic,0,3,0.0
2015-2016,Regular season,19,2015-12-19,Partick Thistle,Ross County,1,0,1.0
2015-2016,Regular season,19,2015-12-19,Dundee,Hamilton,4,0,1.0
2015-2016,Regular season,19,2015-12-19,Inverness CT,Dundee United,2,2,0.5
2015-2016,Regular season,19,2015-12-19,Celtic,Motherwell,1,2,0.0
2015-2016,Regular season,19,2015-12-19,St Johnstone,Hearts,0,0,0.5
2015-2016,Regular season,19,2015-12-19,Kilmarnock,Aberdeen,0,4,0.0
2015-2016,Regular season,20,2015-12-26,Hamilton,Kilmarnock,0,1,0.0
2015-2016,Regular season,20,2015-12-26,Ross County,Dundee,5,2,1.0
2015-2016,Regular season,20,2015-12-26,Aberdeen,Inverness CT,2,2,0.5
2015-2016,Regular season,20,2015-12-27,Hearts,Celtic,2,2,0.5
2015-2016,Regular season,21,2015-12-29,Ross County,Kilmarnock,3,2,1.0
2015-2016,Regular season,21,2015-12-30,Hamilton,Inverness CT,3,4,0.0
2015-2016,Regular season,21,2015-12-30,Aberdeen,Partick Thistle,0,0,0.5
2015-2016,Regular season,21,2015-12-30,Motherwell,St Johnstone,2,0,1.0
2015-2016,Regular season,21,2015-12-30,Hearts,Dundee United,3,2,1.0
