Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
1997-1998,1,1997-08-01,Stuttgart,1860 Munich,1,1,0.5
1997-1998,1,1997-08-01,Schalke 04,Leverkusen,2,1,1.0
1997-1998,1,1997-08-02,Köln,MSV Duisburg,3,2,1.0
1997-1998,1,1997-08-02,Bayern Munich,Kaiserslautern,0,1,0.0
1997-1998,1,1997-08-02,Bochum,Arminia,1,0,1.0
1997-1998,1,1997-08-02,Hansa Rostock,Wolfsburg,0,1,0.0
1997-1998,1,1997-08-02,Karlsruher,Werder Bremen,3,1,1.0
1997-1998,1,1997-08-03,Hertha BSC,Dortmund,1,1,0.5
1997-1998,1,1997-08-03,Hamburger SV,Gladbach,2,2,0.5
1997-1998,2,1997-08-05,MSV Duisburg,Schalke 04,1,0,1.0
1997-1998,2,1997-08-05,1860 Munich,Karlsruher,2,2,0.5
1997-1998,2,1997-08-05,Leverkusen,Bochum,3,2,1.0
1997-1998,2,1997-08-05,Werder Bremen,Hansa Rostock,1,1,0.5
1997-1998,2,1997-08-05,Arminia,Stuttgart,2,1,1.0
1997-1998,2,1997-08-06,Wolfsburg,Hamburger SV,1,1,0.5
1997-1998,2,1997-08-06,Kaiserslautern,Hertha BSC,1,0,1.0
1997-1998,2,1997-08-06,Gladbach,Bayern Munich,1,1,0.5
1997-1998,2,1997-08-06,Dortmund,Köln,3,0,1.0
1997-1998,3,1997-08-08,Stuttgart,Leverkusen,1,0,1.0
1997-1998,3,1997-08-08,Bochum,MSV Duisburg,0,0,0.5
1997-1998,3,1997-08-09,Schalke 04,Dortmund,1,0,1.0
1997-1998,3,1997-08-09,Werder Bremen,1860 Munich,3,3,0.5
1997-1998,3,1997-08-09,Karlsruher,Arminia,3,1,1.0
1997-1998,3,1997-08-09,Hansa Rostock,Hamburger SV,2,1,1.0
1997-1998,3,1997-08-09,Bayern Munich,Wolfsburg,5,2,1.0
1997-1998,3,1997-08-09,Köln,Kaiserslautern,0,0,0.5
1997-1998,3,1997-08-10,Hertha BSC,Gladbach,2,2,0.5
1997-1998,4,1997-08-22,Wolfsburg,Hertha BSC,2,1,1.0
