Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2000-2001,First round,2000-09-11,Bohemian FC,Kaiserslautern,ie,de,1,3,0.0
2000-2001,First round,2000-09-12,Lierse,Bordeaux,be,fr,0,0,0.5
2000-2001,First round,2000-09-12,Košice,Grazer AK,sk,at,2,3,0.0
2000-2001,First round,2000-09-12,Vasas,AEK Athens,hu,gr,2,2,0.5
2000-2001,First round,2000-09-12,Basel,Brann,ch,no,3,2,1.0
2000-2001,First round,2000-09-12,Gent,Ajax,be,nl,0,6,0.0
2000-2001,First round,2000-09-12,Rapid Wien,Örgryte,at,se,3,0,1.0
2000-2001,First round,2000-09-12,Norrköping,Slovan Liberec,se,cz,2,2,0.5
2000-2001,First round,2000-09-12,FK Drnovice,1860 Munich,cz,de,0,0,0.5
2000-2001,First round,2000-09-14,FK Pobeda,Parma,mk,it,0,2,0.0
2000-2001,First round,2000-09-14,Kryvbas Kryvyi Rih,Nantes,ua,fr,0,1,0.0
2000-2001,First round,2000-09-14,Lillestrøm,Dynamo Moscow,no,ru,3,1,1.0
2000-2001,First round,2000-09-14,Stuttgart,Hearts,de,sct,1,0,1.0
2000-2001,First round,2000-09-14,Zaragoza,Wisła Kraków,es,pl,4,1,1.0
2000-2001,First round,2000-09-14,Club Brugge,APOEL FC,be,cy,2,0,1.0
2000-2001,First round,2000-09-14,Celtic,HJK Helsinki,sct,fi,2,0,1.0
2000-2001,First round,2000-09-14,Brøndby,Osijek,dk,hr,1,2,0.0
2000-2001,First round,2000-09-14,Tirol Innsbruck,Fiorentina,at,it,3,1,1.0
2000-2001,First round,2000-09-14,Slavia Prague,AB,cz,dk,3,0,1.0
2000-2001,First round,2000-09-14,CSKA Sofia,MTK Budapest,bg,hu,1,2,0.0
2000-2001,First round,2000-09-14,Leicester City,Red Star,eng,rs,1,1,0.5
2000-2001,First round,2000-09-14,Gueugnon,Iraklis,fr,gr,0,0,0.5
2000-2001,First round,2000-09-14,Napredak Kruševac,OFI Crete,rs,gr,0,0,0.5
2000-2001,First round,2000-09-14,AIK Stockholm,Herfølge BK,se,dk,0,1,0.0
2000-2001,First round,2000-09-14,Alavés,Gaziantepspor,es,tr,0,0,0.5
2000-2001,First round,2000-09-14,Rapid București,Liverpool,ro,eng,0,1,0.0
2000-2001,First round,2000-09-14,ND Gorica,Roma,si,it,1,4,0.0
2000-2001,First round,2000-09-14,Roda JC,Inter Bratislava,nl,sk,0,2,0.0
2000-2001,First round,2000-09-14,PAOK,Beitar Jerusalem,gr,il,3,1,1.0
2000-2001,First round,2000-09-14,Chelsea,St. Gallen,eng,ch,1,0,1.0
2000-2001,First round,2000-09-14,CSKA Moscow,Viborg,ru,dk,0,0,0.5
2000-2001,First round,2000-09-14,Molde,Rayo Vallecano,no,es,0,1,0.0
2000-2001,First round,2000-09-14,Partizan,Porto,rs,pt,1,1,0.5
2000-2001,First round,2000-09-14,Zimbru Chișinău,Hertha BSC,md,de,1,2,0.0
2000-2001,First round,2000-09-14,Alania,Amica Wronki,ru,pl,0,3,0.0
2000-2001,First round,2000-09-14,NK Olimpija Ljubljana,Espanyol,si,es,2,1,1.0
2000-2001,First round,2000-09-14,Lokomotiv Moscow,Naftex,ru,bg,4,2,1.0
2000-2001,First round,2000-09-14,KS Polonia Warsaw,Udinese,pl,it,0,1,0.0
2000-2001,First round,2000-09-14,ŠK Slovan Bratislava,Dinamo Zagreb,sk,hr,0,3,0.0
2000-2001,First round,2000-09-14,Ruch Chorzów,Inter,pl,it,0,3,0.0
2000-2001,First round,2000-09-14,Dunaújváros FC,Feyenoord,hu,nl,0,1,0.0
2000-2001,First round,2000-09-14,Zürich,Genk,ch,be,1,2,0.0
2000-2001,First round,2000-09-14,Celta Vigo,Rijeka,es,hr,0,0,0.5
2000-2001,First round,2000-09-14,Vorskla Poltava,Boavista,ua,pt,1,2,0.0
2000-2001,First round,2000-09-14,Lausanne-Sport,Torpedo Moscow,ch,ru,3,2,1.0
2000-2001,First round,2000-09-14,Antalyaspor,Werder Bremen,tr,de,2,0,1.0
2000-2001,First round,2000-09-14,Vitesse,Maccabi Haifa FC,nl,il,3,0,1.0
2000-2001,First round,2000-09-14,Halmstad,Benfica,se,pt,2,1,1.0
2000-2001,First round,2000-09-21,Kaiserslautern,Bohemian FC,de,ie,0,1,0.0
