Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1997-1998,First round,1997-09-16,Dep La Coruña,Auxerre,es,fr,1,2,0.0
1997-1998,First round,1997-09-16,Bordeaux,Aston Villa,fr,eng,0,0,0.5
1997-1998,First round,1997-09-16,Croatia Zagreb,Grasshopper,hr,ch,4,4,0.5
1997-1998,First round,1997-09-16,Rapid Wien,Hapoel Petah Tikva FC,at,il,1,0,1.0
1997-1998,First round,1997-09-16,Atlético Madrid,Leicester City,es,eng,2,1,1.0
1997-1998,First round,1997-09-16,Schalke 04,Hajduk Split,de,hr,2,0,1.0
1997-1998,First round,1997-09-16,Inter,Xamax,it,ch,2,0,1.0
1997-1998,First round,1997-09-16,Bastia,Benfica,fr,pt,1,0,1.0
1997-1998,First round,1997-09-16,Rotor Volgograd,Örebro,ru,se,2,0,1.0
1997-1998,First round,1997-09-16,Sion,Spartak Moscow,ch,ru,0,1,0.0
1997-1998,First round,1997-09-16,Widzew Łódź,Udinese,pl,it,1,0,1.0
1997-1998,First round,1997-09-16,MTK Budapest,Alania,hu,ru,3,0,1.0
1997-1998,First round,1997-09-16,AGF,Nantes,dk,fr,2,2,0.5
1997-1998,First round,1997-09-16,Lyon,Brøndby,fr,dk,4,1,1.0
1997-1998,First round,1997-09-16,Celtic,Liverpool,sct,eng,2,2,0.5
1997-1998,First round,1997-09-16,Strasbourg,Rangers,fr,sct,2,1,1.0
1997-1998,First round,1997-09-16,PAOK,Arsenal,gr,eng,1,0,1.0
1997-1998,First round,1997-09-16,Vitória Guimarães,Lazio,pt,it,0,4,0.0
1997-1998,First round,1997-09-16,Sampdoria,Athletic Club,it,es,1,2,0.0
1997-1998,First round,1997-09-16,Vitesse,Braga,nl,pt,2,1,1.0
1997-1998,First round,1997-09-16,FC Jazz,1860 Munich,fi,de,0,1,0.0
1997-1998,First round,1997-09-16,Steaua,Fenerbahçe,ro,tr,0,0,0.5
1997-1998,First round,1997-09-16,Beitar Jerusalem,Club Brugge,il,be,2,1,1.0
1997-1998,First round,1997-09-16,Trabzonspor,Bochum,tr,de,2,1,1.0
1997-1998,First round,1997-09-16,Valladolid,Skonto FC,es,lv,2,0,1.0
1997-1998,First round,1997-09-16,Twente,Lillestrøm,nl,no,0,1,0.0
1997-1998,First round,1997-09-16,Mouscron,Metz,be,fr,0,2,0.0
1997-1998,First round,1997-09-16,OFI Crete,Ferencváros,gr,hu,3,0,1.0
1997-1998,First round,1997-09-16,NK Maribor,Ajax,si,nl,1,1,0.5
1997-1998,First round,1997-09-16,Austria Salzburg,Anderlecht,at,be,4,3,1.0
1997-1998,First round,1997-09-16,Karlsruher,Anorthosis,de,cy,2,1,1.0
1997-1998,First round,1997-09-16,FC Slavia-Mozyr,FC Dinamo Tbilisi,by,ge,1,1,0.5
1997-1998,First round,1997-09-30,Anderlecht,Austria Salzburg,be,at,4,2,1.0
1997-1998,First round,1997-09-30,Fenerbahçe,Steaua,tr,ro,1,2,0.0
1997-1998,First round,1997-09-30,Grasshopper,Croatia Zagreb,ch,hr,0,5,0.0
1997-1998,First round,1997-09-30,Metz,Mouscron,fr,be,4,1,1.0
1997-1998,First round,1997-09-30,Athletic Club,Sampdoria,es,it,2,0,1.0
1997-1998,First round,1997-09-30,Arsenal,PAOK,eng,gr,1,1,0.5
1997-1998,First round,1997-09-30,Hapoel Petah Tikva FC,Rapid Wien,il,at,1,1,0.5
1997-1998,First round,1997-09-30,Club Brugge,Beitar Jerusalem,be,il,3,0,1.0
1997-1998,First round,1997-09-30,Braga,Vitesse,pt,nl,2,0,1.0
1997-1998,First round,1997-09-30,Örebro,Rotor Volgograd,se,ru,1,4,0.0
1997-1998,First round,1997-09-30,Xamax,Inter,ch,it,0,2,0.0
1997-1998,First round,1997-09-30,Lazio,Vitória Guimarães,it,pt,2,1,1.0
1997-1998,First round,1997-09-30,Ajax,NK Maribor,nl,si,9,1,1.0
1997-1998,First round,1997-09-30,Skonto FC,Valladolid,lv,es,1,0,1.0
1997-1998,First round,1997-09-30,Bochum,Trabzonspor,de,tr,5,3,1.0
1997-1998,First round,1997-09-30,Rangers,Strasbourg,sct,fr,1,2,0.0
1997-1998,First round,1997-09-30,Leicester City,Atlético Madrid,eng,es,0,2,0.0
