Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1991-1992,First round,1991-09-17,Hamburger SV,Górnik Zabrze,de,pl,1,1,0.5
1991-1992,First round,1991-09-17,Slavia Sofia,Osasuna,bg,es,1,0,1.0
1991-1992,First round,1991-09-17,Dinamo Zagreb,Trabzonspor,hr,tr,2,3,0.0
1991-1992,First round,1991-09-17,Ikast FS,Auxerre,dk,fr,0,1,0.0
1991-1992,First round,1991-09-17,Gent,Lausanne-Sport,be,ch,0,1,0.0
1991-1992,First round,1991-09-17,Anorthosis,Steaua,cy,ro,1,2,0.0
1991-1992,First round,1991-09-17,Xamax,Floriana FC,ch,mt,2,0,1.0
1991-1992,First round,1991-09-18,KF Vllaznia Shkodër,AEK Athens,al,gr,0,1,0.0
1991-1992,First round,1991-09-18,Sturm Graz,Utrecht,at,nl,0,1,0.0
1991-1992,First round,1991-09-18,Hallescher,Torpedo Moscow,de,ru,2,1,1.0
1991-1992,First round,1991-09-18,Celtic,Germinal Ekeren,sct,be,2,0,1.0
1991-1992,First round,1991-09-18,Stuttgart,Pecs,de,hu,4,1,1.0
1991-1992,First round,1991-09-18,PAOK,Mechelen,gr,be,1,1,0.5
1991-1992,First round,1991-09-18,Ajax,Örebro,nl,se,3,0,1.0
1991-1992,First round,1991-09-18,Eint Frankfurt,CA Spora Luxembourg,de,lu,6,1,1.0
1991-1992,First round,1991-09-18,Sporting CP,Dinamo București,pt,ro,1,0,1.0
1991-1992,First round,1991-09-18,Boavista,Inter,pt,it,2,1,1.0
1991-1992,First round,1991-09-18,Sporting Gijón,Partizan,es,rs,2,0,1.0
1991-1992,First round,1991-09-18,ŠK Slovan Bratislava,Real Madrid,sk,es,1,2,0.0
1991-1992,First round,1991-09-18,Groningen,Rot-Weiß Erfurt,nl,de,0,1,0.0
1991-1992,First round,1991-09-18,Vác,Dynamo Moscow,hu,ru,1,0,1.0
1991-1992,First round,1991-09-18,Liverpool,Lahti,eng,fi,6,1,1.0
1991-1992,First round,1991-09-18,Mikkelin Palloilijat,Spartak Moscow,fi,ru,0,2,0.0
1991-1992,First round,1991-09-18,Aberdeen,FC Copenhagen,sct,dk,0,1,0.0
1991-1992,First round,1991-09-18,Bangor FC,Sigma Olomouc,nir,cz,0,3,0.0
1991-1992,First round,1991-09-18,FC Tirol Innsbruck,Tromsø,at,no,2,1,1.0
1991-1992,First round,1991-09-18,Lyon,Öster,fr,se,1,0,1.0
1991-1992,First round,1991-09-18,Cork City FC,Bayern Munich,ie,de,1,1,0.5
1991-1992,First round,1991-09-19,KR,Torino,is,it,0,2,0.0
1991-1992,First round,1991-09-19,Oviedo,Genoa,es,it,1,0,1.0
1991-1992,First round,1991-09-19,CSKA Sofia,Parma,bg,it,0,0,0.5
1991-1992,First round,1991-09-19,SC Salgueiros,Cannes,pt,fr,1,0,1.0
1991-1992,First round,1991-10-01,Steaua,Anorthosis,ro,cy,2,2,0.5
1991-1992,First round,1991-10-01,Real Madrid,ŠK Slovan Bratislava,es,sk,1,1,0.5
1991-1992,First round,1991-10-01,Germinal Ekeren,Celtic,be,sct,1,1,0.5
1991-1992,First round,1991-10-01,CA Spora Luxembourg,Eint Frankfurt,lu,de,0,5,0.0
1991-1992,First round,1991-10-01,Floriana FC,Xamax,mt,ch,0,0,0.5
1991-1992,First round,1991-10-01,Bayern Munich,Cork City FC,de,ie,2,0,1.0
1991-1992,First round,1991-10-01,Torpedo Moscow,Hallescher,ru,de,3,0,1.0
1991-1992,First round,1991-10-02,Dinamo București,Sporting CP,ro,pt,2,0,1.0
1991-1992,First round,1991-10-02,Osasuna,Slavia Sofia,es,bg,4,0,1.0
1991-1992,First round,1991-10-02,Lahti,Liverpool,fi,eng,1,0,1.0
1991-1992,First round,1991-10-02,FC Copenhagen,Aberdeen,dk,sct,2,0,1.0
1991-1992,First round,1991-10-02,Inter,Boavista,it,pt,0,0,0.5
1991-1992,First round,1991-10-02,Mechelen,PAOK,be,gr,0,1,0.0
1991-1992,First round,1991-10-02,Tromsø,FC Tirol Innsbruck,no,at,1,1,0.5
1991-1992,First round,1991-10-02,Dynamo Moscow,Vác,ru,hu,4,1,1.0
1991-1992,First round,1991-10-02,Górnik Zabrze,Hamburger SV,pl,de,0,3,0.0
1991-1992,First round,1991-10-02,Trabzonspor,Dinamo Zagreb,tr,hr,1,1,0.5
1991-1992,First round,1991-10-02,Parma,CSKA Sofia,it,bg,1,1,0.5
1991-1992,First round,1991-10-02,Sigma Olomouc,Bangor FC,cz,nir,3,0,1.0
1991-1992,First round,1991-10-02,Auxerre,Ikast FS,fr,dk,5,1,1.0
1991-1992,First round,1991-10-02,Torino,KR,it,is,6,1,1.0
1991-1992,First round,1991-10-02,Örebro,Ajax,se,nl,0,1,0.0
1991-1992,First round,1991-10-02,Utrecht,Sturm Graz,nl,at,3,1,1.0
1991-1992,First round,1991-10-02,Pecs,Stuttgart,hu,de,2,2,0.5
1991-1992,First round,1991-10-02,Rot-Weiß Erfurt,Groningen,de,nl,1,0,1.0
1991-1992,First round,1991-10-02,Lausanne-Sport,Gent,ch,be,0,1,0.0
1991-1992,First round,1991-10-03,Öster,Lyon,se,fr,1,1,0.5
1991-1992,First round,1991-10-03,Cannes,SC Salgueiros,fr,pt,1,0,1.0
1991-1992,First round,1991-10-03,Spartak Moscow,Mikkelin Palloilijat,ru,fi,3,1,1.0
1991-1992,First round,1991-10-03,Genoa,Oviedo,it,es,3,1,1.0
1991-1992,First round,1991-10-03,Partizan,Sporting Gijón,rs,es,2,0,1.0
1991-1992,First round,1991-10-03,AEK Athens,KF Vllaznia Shkodër,gr,al,2,0,1.0
1991-1992,Second round,1991-10-22,Hamburger SV,CSKA Sofia,de,bg,2,0,1.0
1991-1992,Second round,1991-10-22,FC Copenhagen,Bayern Munich,dk,de,6,2,1.0
1991-1992,Second round,1991-10-22,Osasuna,Stuttgart,es,de,0,0,0.5
1991-1992,Second round,1991-10-22,Cannes,Dynamo Moscow,fr,ru,0,1,0.0
1991-1992,Second round,1991-10-22,Xamax,Celtic,ch,sct,5,1,1.0
1991-1992,Second round,1991-10-22,Gent,Eint Frankfurt,be,de,0,0,0.5
1991-1992,Second round,1991-10-23,Utrecht,Real Madrid,nl,es,1,3,0.0
1991-1992,Second round,1991-10-23,Genoa,Dinamo București,it,ro,3,1,1.0
1991-1992,Second round,1991-10-23,Auxerre,Liverpool,fr,eng,2,0,1.0
1991-1992,Second round,1991-10-23,Lyon,Trabzonspor,fr,tr,3,4,0.0
1991-1992,Second round,1991-10-23,Sigma Olomouc,Torpedo Moscow,cz,ru,2,0,1.0
1991-1992,Second round,1991-10-23,Spartak Moscow,AEK Athens,ru,gr,0,0,0.5
1991-1992,Second round,1991-10-23,PAOK,FC Tirol Innsbruck,gr,at,0,2,0.0
1991-1992,Second round,1991-10-23,Rot-Weiß Erfurt,Ajax,de,nl,1,2,0.0
1991-1992,Second round,1991-10-24,Sporting Gijón,Steaua,es,ro,2,2,0.5
1991-1992,Second round,1991-10-24,Torino,Boavista,it,pt,2,0,1.0
1991-1992,Second round,1991-11-05,Bayern Munich,FC Copenhagen,de,dk,1,0,1.0
1991-1992,Second round,1991-11-05,Stuttgart,Osasuna,de,es,2,3,0.0
1991-1992,Second round,1991-11-06,CSKA Sofia,Hamburger SV,bg,de,1,4,0.0
1991-1992,Second round,1991-11-06,Eint Frankfurt,Gent,de,be,0,1,0.0
1991-1992,Second round,1991-11-06,Trabzonspor,Lyon,tr,fr,4,1,1.0
1991-1992,Second round,1991-11-06,Boavista,Torino,pt,it,0,0,0.5
1991-1992,Second round,1991-11-06,Ajax,Rot-Weiß Erfurt,nl,de,3,0,1.0
1991-1992,Second round,1991-11-06,FC Tirol Innsbruck,PAOK,at,gr,2,0,1.0
1991-1992,Second round,1991-11-06,Dinamo București,Genoa,ro,it,2,2,0.5
1991-1992,Second round,1991-11-06,AEK Athens,Spartak Moscow,gr,ru,2,1,1.0
1991-1992,Second round,1991-11-06,Dynamo Moscow,Cannes,ru,fr,1,1,0.5
1991-1992,Second round,1991-11-06,Celtic,Xamax,sct,ch,1,0,1.0
1991-1992,Second round,1991-11-06,Liverpool,Auxerre,eng,fr,3,0,1.0
1991-1992,Second round,1991-11-06,Real Madrid,Utrecht,es,nl,1,0,1.0
1991-1992,Second round,1991-11-07,Torpedo Moscow,Sigma Olomouc,ru,cz,0,0,0.5
1991-1992,Second round,1991-11-07,Steaua,Sporting Gijón,ro,es,1,0,1.0
1991-1992,Third round,1991-11-27,FC Copenhagen,Trabzonspor,dk,tr,1,0,1.0
1991-1992,Third round,1991-11-27,FC Tirol Innsbruck,Liverpool,at,eng,0,2,0.0
1991-1992,Third round,1991-11-27,Steaua,Genoa,ro,it,0,1,0.0
1991-1992,Third round,1991-11-27,Xamax,Real Madrid,ch,es,1,0,1.0
1991-1992,Third round,1991-11-27,Hamburger SV,Sigma Olomouc,de,cz,1,2,0.0
1991-1992,Third round,1991-11-27,Gent,Dynamo Moscow,be,ru,2,0,1.0
1991-1992,Third round,1991-11-27,AEK Athens,Torino,gr,it,2,2,0.5
1991-1992,Third round,1991-11-27,Osasuna,Ajax,es,nl,0,1,0.0
1991-1992,Third round,1991-12-10,Sigma Olomouc,Hamburger SV,cz,de,4,1,1.0
1991-1992,Third round,1991-12-11,Dynamo Moscow,Gent,ru,be,0,0,0.5
