Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1995-1996,First round,1995-09-12,Sparta Prague,Silkeborg,cz,dk,0,1,0.0
1995-1996,First round,1995-09-12,Vitória Guimarães,Standard Liège,pt,be,3,1,1.0
1995-1996,First round,1995-09-12,Viking,Auxerre,no,fr,1,1,0.5
1995-1996,First round,1995-09-12,Strasbourg,Újpest,fr,hu,3,0,1.0
1995-1996,First round,1995-09-12,Freiburg,Slavia Prague,de,cz,1,2,0.0
1995-1996,First round,1995-09-12,Lierse,Benfica,be,pt,1,3,0.0
1995-1996,First round,1995-09-12,Hapoel Be'er Sheva FC,Barcelona,il,es,0,7,0.0
1995-1996,First round,1995-09-12,Rotor Volgograd,Manchester Utd,ru,eng,0,0,0.5
1995-1996,First round,1995-09-12,Milan,Zagłębie Lubin,it,pl,4,0,1.0
1995-1996,First round,1995-09-12,Xamax,Roma,ch,it,1,1,0.5
1995-1996,First round,1995-09-12,Spartak-Alania,Liverpool,ru,eng,1,2,0.0
1995-1996,First round,1995-09-12,FC Zimbru Chișinău,RAF Jelgava,md,lv,1,0,1.0
1995-1996,First round,1995-09-12,Austria Wien,Dinamo Minsk,at,by,1,2,0.0
1995-1996,First round,1995-09-12,Malmö,Nott'ham Forest,se,eng,2,1,1.0
1995-1996,First round,1995-09-12,Olympiacos,NK Maribor,gr,si,2,0,1.0
1995-1996,First round,1995-09-12,Monaco,Leeds United,fr,eng,0,3,0.0
1995-1996,First round,1995-09-12,Sevilla,Botev Plovdiv,es,bg,2,0,1.0
1995-1996,First round,1995-09-12,Lugano,Inter,ch,it,1,1,0.5
1995-1996,First round,1995-09-12,Fenerbahçe,Real Betis,tr,es,1,2,0.0
1995-1996,First round,1995-09-12,Levski Sofia,Eendracht Aalst,bg,be,1,2,0.0
1995-1996,First round,1995-09-12,Bayern Munich,Lokomotiv Moscow,de,ru,0,1,0.0
1995-1996,First round,1995-09-12,MYPA,PSV,fi,nl,1,1,0.5
1995-1996,First round,1995-09-12,ŠK Slovan Bratislava,Kaiserslautern,sk,de,2,1,1.0
1995-1996,First round,1995-09-12,Raith Rovers,Íþróttabandalag Akraness,sct,is,3,1,1.0
1995-1996,First round,1995-09-12,Roda JC Kerkrade,NK Olimpija Ljubljana,nl,si,5,0,1.0
1995-1996,First round,1995-09-12,Brøndby,Lillestrøm,dk,no,3,0,1.0
1995-1996,First round,1995-09-12,Lazio,AC Omonia,it,cy,5,0,1.0
1995-1996,First round,1995-09-12,Chornomorets Odesa,Widzew Łódź,ua,pl,1,0,1.0
