Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2008-2009,First round,,2008-09-16,Nordsjælland,Olympiacos,dk,gr,0,2,0.0
2008-2009,First round,,2008-09-16,APOEL FC,Schalke 04,cy,de,1,4,0.0
2008-2009,First round,,2008-09-16,Hertha BSC,St Patrick's,de,ie,2,0,1.0
2008-2009,First round,,2008-09-18,MŠK Žilina,Levski Sofia,sk,bg,1,1,0.5
2008-2009,First round,,2008-09-18,Nancy,Motherwell,fr,sct,1,0,1.0
2008-2009,First round,,2008-09-18,Napoli,Benfica,it,pt,3,2,1.0
2008-2009,First round,,2008-09-18,Racing Sant,FC Honka,es,fi,1,0,1.0
2008-2009,First round,,2008-09-18,Kayserispor,Paris S-G,tr,fr,1,2,0.0
2008-2009,First round,,2008-09-18,AC Omonia,Manchester City,cy,eng,1,2,0.0
2008-2009,First round,,2008-09-18,Politehnica Timișoara,Partizan,ro,rs,1,2,0.0
2008-2009,First round,,2008-09-18,FC Moscow,FC Copenhagen,ru,dk,1,2,0.0
2008-2009,First round,,2008-09-18,Milan,Zürich,it,ch,3,1,1.0
2008-2009,First round,,2008-09-18,Bellinzona,Galatasaray,ch,tr,3,4,0.0
2008-2009,First round,,2008-09-18,Brøndby,Rosenborg,dk,no,1,2,0.0
2008-2009,First round,,2008-09-18,Austria Wien,Lech Poznań,at,pl,2,1,1.0
2008-2009,First round,,2008-09-18,Rennes,Twente,fr,nl,2,1,1.0
2008-2009,First round,,2008-09-18,Cherno More,Stuttgart,bg,de,1,2,0.0
2008-2009,First round,,2008-09-18,Everton,Standard Liège,eng,be,2,2,0.5
2008-2009,First round,,2008-09-18,Litex Lovech,Aston Villa,bg,eng,1,3,0.0
2008-2009,First round,,2008-09-18,Feyenoord,Kalmar,nl,se,0,1,0.0
2008-2009,First round,,2008-09-18,Hamburger SV,Unirea Urziceni,de,ro,0,0,0.5
2008-2009,First round,,2008-09-18,Dortmund,Udinese,de,it,0,2,0.0
2008-2009,First round,,2008-09-18,Tottenham,Wisła Kraków,eng,pl,2,1,1.0
2008-2009,First round,,2008-09-18,Young Boys,Club Brugge,ch,be,2,2,0.5
2008-2009,First round,,2008-09-18,Hapoel Tel Aviv,Saint-Étienne,il,fr,1,2,0.0
2008-2009,First round,,2008-09-18,Baník Ostrava,Spartak Moscow,cz,ru,0,1,0.0
2008-2009,First round,,2008-09-18,Borac Čačak,Ajax,rs,nl,1,4,0.0
2008-2009,First round,,2008-09-18,Brann,La Coruña,no,es,2,0,1.0
2008-2009,First round,,2008-09-18,Portsmouth,Vitória,eng,pt,2,0,1.0
2008-2009,First round,,2008-09-18,Sevilla,RB Salzburg,es,at,2,0,1.0
2008-2009,First round,,2008-09-18,NEC Nijmegen,Dinamo,nl,ro,1,0,1.0
2008-2009,First round,,2008-09-18,Wolfsburg,Rapid București,de,ro,1,0,1.0
2008-2009,First round,,2008-09-18,Slavia Prague,Vaslui,cz,ro,0,0,0.5
2008-2009,First round,,2008-09-18,Vitória Setúbal,Heerenveen,pt,nl,1,1,0.5
2008-2009,First round,,2008-09-18,Marítimo,Valencia,pt,es,0,1,0.0
2008-2009,First round,,2008-09-18,Braga,FC Petržalka,pt,sk,4,0,1.0
2008-2009,First round,,2008-09-18,Dinamo Zagreb,Sparta Prague,hr,cz,0,0,0.5
2008-2009,First round,,2008-09-18,Sampdoria,FBK Kaunas,it,lt,5,0,1.0
2008-2009,First round,,2008-09-18,Slaven Belupo,CSKA Moscow,hr,ru,1,2,0.0
2008-2009,First round,,2008-09-18,Beşiktaş,Metalist Kharkiv,tr,ua,1,0,1.0
2008-2009,First round,,2008-09-30,CSKA Moscow,Slaven Belupo,ru,hr,1,0,1.0
2008-2009,First round,,2008-09-30,St Patrick's,Hertha BSC,ie,de,0,0,0.5
