Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1996-1997,First round,1996-09-10,Aston Villa,Helsingborg,eng,se,1,1,0.5
1996-1997,First round,1996-09-10,Torpedo-Luzhniki,FC Dinamo Tbilisi,ru,ge,0,1,0.0
1996-1997,First round,1996-09-10,Guingamp,Inter,fr,it,0,3,0.0
1996-1997,First round,1996-09-10,Brøndby,Aarau,dk,ch,5,0,1.0
1996-1997,First round,1996-09-10,Schalke 04,Roda JC Kerkrade,de,nl,3,0,1.0
1996-1997,First round,1996-09-10,Bodø/Glimt,Trabzonspor,no,tr,1,2,0.0
1996-1997,First round,1996-09-10,Odense,Boavista,dk,pt,2,3,0.0
1996-1997,First round,1996-09-10,Alania,Anderlecht,ru,be,2,1,1.0
1996-1997,First round,1996-09-10,Newcastle Utd,Halmstad,eng,se,4,0,1.0
1996-1997,First round,1996-09-10,Aberdeen,Barry Town United FC,sct,wls,3,1,1.0
1996-1997,First round,1996-09-10,Lens,Lazio,fr,it,0,1,0.0
1996-1997,First round,1996-09-10,Chornomorets Odesa,Progresul București,ua,ro,0,0,0.5
1996-1997,First round,1996-09-10,Dynamo Kyiv,Xamax,ua,ch,0,0,0.5
1996-1997,First round,1996-09-10,Roma,Dynamo Moscow,it,ru,3,0,1.0
1996-1997,First round,1996-09-10,Ferencváros,Olympiacos,hu,gr,3,1,1.0
1996-1997,First round,1996-09-10,FC Tirol Innsbruck,Metz,at,fr,0,0,0.5
1996-1997,First round,1996-09-10,Celtic,Hamburger SV,sct,de,0,2,0.0
1996-1997,First round,1996-09-10,Arsenal,Gladbach,eng,de,2,3,0.0
1996-1997,First round,1996-09-10,CSKA Moscow,Feyenoord,ru,nl,0,1,0.0
1996-1997,First round,1996-09-10,APOEL FC,Espanyol,cy,es,2,2,0.5
1996-1997,First round,1996-09-10,Brussels,Beşiktaş,be,tr,0,0,0.5
1996-1997,First round,1996-09-10,Club Brugge,Lyngby,be,dk,1,1,0.5
1996-1997,First round,1996-09-10,Montpellier,Sporting CP,fr,pt,1,1,0.5
1996-1997,First round,1996-09-10,Malmö,Slavia Prague,se,cz,1,2,0.0
1996-1997,First round,1996-09-10,Germinal Ekeren,Grazer AK,be,at,3,1,1.0
1996-1997,First round,1996-09-10,Tenerife,Maccabi Tel Aviv FC,es,il,3,2,1.0
1996-1997,First round,1996-09-10,Parma,Vitória Guimarães,it,pt,2,1,1.0
1996-1997,First round,1996-09-10,Valencia,Bayern Munich,es,de,3,0,1.0
1996-1997,First round,1996-09-11,Spartak Moscow,Silkeborg,ru,dk,3,2,1.0
1996-1997,First round,1996-09-11,Panathinaikos,Legia Warsaw,gr,pl,4,2,1.0
1996-1997,First round,1996-09-11,Rapid București,Karlsruher,ro,de,1,0,1.0
1996-1997,First round,1996-09-11,Hutnik Kraków,Monaco,pl,fr,0,1,0.0
1996-1997,First round,1996-09-24,Sporting CP,Montpellier,pt,fr,1,0,1.0
1996-1997,First round,1996-09-24,Helsingborg,Aston Villa,se,eng,0,0,0.5
1996-1997,First round,1996-09-24,Hamburger SV,Celtic,de,sct,2,0,1.0
1996-1997,First round,1996-09-24,Progresul București,Chornomorets Odesa,ro,ua,2,0,1.0
1996-1997,First round,1996-09-24,Trabzonspor,Bodø/Glimt,tr,no,3,1,1.0
1996-1997,First round,1996-09-24,Roda JC Kerkrade,Schalke 04,nl,de,2,2,0.5
1996-1997,First round,1996-09-24,Legia Warsaw,Panathinaikos,pl,gr,2,0,1.0
1996-1997,First round,1996-09-24,Xamax,Dynamo Kyiv,ch,ua,2,1,1.0
1996-1997,First round,1996-09-24,FC Dinamo Tbilisi,Torpedo-Luzhniki,ge,ru,1,1,0.5
1996-1997,First round,1996-09-24,Halmstad,Newcastle Utd,se,eng,2,1,1.0
1996-1997,First round,1996-09-24,Olympiacos,Ferencváros,gr,hu,2,2,0.5
1996-1997,First round,1996-09-24,Metz,FC Tirol Innsbruck,fr,at,1,0,1.0
1996-1997,First round,1996-09-24,Grazer AK,Germinal Ekeren,at,be,2,0,1.0
1996-1997,First round,1996-09-24,Vitória Guimarães,Parma,pt,it,2,0,1.0
1996-1997,First round,1996-09-24,Monaco,Hutnik Kraków,fr,pl,3,1,1.0
1996-1997,First round,1996-09-24,Lyngby,Club Brugge,dk,be,0,2,0.0
1996-1997,First round,1996-09-24,Dynamo Moscow,Roma,ru,it,1,3,0.0
1996-1997,First round,1996-09-24,Anderlecht,Alania,be,ru,4,0,1.0
1996-1997,First round,1996-09-24,Espanyol,APOEL FC,es,cy,1,0,1.0
1996-1997,First round,1996-09-24,Slavia Prague,Malmö,cz,se,3,1,1.0
1996-1997,First round,1996-09-24,Lazio,Lens,it,fr,1,1,0.5
1996-1997,First round,1996-09-24,Boavista,Odense,pt,dk,1,2,0.0
1996-1997,First round,1996-09-24,Aarau,Brøndby,ch,dk,0,2,0.0
1996-1997,First round,1996-09-24,Inter,Guingamp,it,fr,1,1,0.5
1996-1997,First round,1996-09-24,Beşiktaş,Brussels,tr,be,3,0,1.0
1996-1997,First round,1996-09-24,Barry Town United FC,Aberdeen,wls,sct,3,3,0.5
1996-1997,First round,1996-09-24,Feyenoord,CSKA Moscow,nl,ru,1,1,0.5
1996-1997,First round,1996-09-24,Karlsruher,Rapid București,de,ro,4,1,1.0
1996-1997,First round,1996-09-24,Bayern Munich,Valencia,de,es,1,0,1.0
1996-1997,First round,1996-09-24,Silkeborg,Spartak Moscow,dk,ru,1,2,0.0
1996-1997,First round,1996-09-25,Maccabi Tel Aviv FC,Tenerife,il,es,1,1,0.5
1996-1997,First round,1996-09-25,Gladbach,Arsenal,de,eng,3,2,1.0
1996-1997,Second round,1996-10-15,Aberdeen,Brøndby,sct,dk,0,2,0.0
1996-1997,Second round,1996-10-15,Metz,Sporting CP,fr,pt,2,0,1.0
1996-1997,Second round,1996-10-15,Gladbach,Monaco,de,fr,2,4,0.0
