Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2021-2022,Group stage,1,2021-09-15,Spartak Moscow,Legia Warsaw,ru,pl,0.0,1.0,0.0
2021-2022,Group stage,1,2021-09-16,Betis,Celtic,es,sct,4.0,3.0,1.0
2021-2022,Group stage,1,2021-09-16,Rapid Wien,Genk,at,be,0.0,1.0,0.0
2021-2022,Group stage,1,2021-09-16,Red Star,Braga,rs,pt,2.0,1.0,1.0
2021-2022,Group stage,1,2021-09-16,Leverkusen,Ferencváros,de,hu,2.0,1.0,1.0
2021-2022,Group stage,1,2021-09-16,Midtjylland,Ludogorets,dk,bg,1.0,1.0,0.5
2021-2022,Group stage,1,2021-09-16,Dinamo Zagreb,West Ham,hr,eng,0.0,2.0,0.0
2021-2022,Group stage,1,2021-09-16,Loko Moscow,Marseille,ru,fr,1.0,1.0,0.5
2021-2022,Group stage,1,2021-09-16,Galatasaray,Lazio,tr,it,1.0,0.0,1.0
2021-2022,Group stage,1,2021-09-16,Rangers,Lyon,sct,fr,0.0,2.0,0.0
2021-2022,Group stage,1,2021-09-16,Leicester City,Napoli,eng,it,2.0,2.0,0.5
2021-2022,Group stage,1,2021-09-16,PSV Eindhoven,Real Sociedad,nl,es,2.0,2.0,0.5
2021-2022,Group stage,1,2021-09-16,Brøndby,Sparta Prague,dk,cz,0.0,0.0,0.5
2021-2022,Group stage,1,2021-09-16,Eint Frankfurt,Fenerbahçe,de,tr,1.0,1.0,0.5
2021-2022,Group stage,1,2021-09-16,Monaco,Sturm Graz,fr,at,1.0,0.0,1.0
2021-2022,Group stage,1,2021-09-16,Olympiacos,Antwerp,gr,be,2.0,1.0,1.0
2021-2022,Group stage,2,2021-09-30,Lyon,Brøndby,fr,dk,3.0,0.0,1.0
2021-2022,Group stage,2,2021-09-30,Napoli,Spartak Moscow,it,ru,2.0,3.0,0.0
2021-2022,Group stage,2,2021-09-30,Sturm Graz,PSV Eindhoven,at,nl,1.0,4.0,0.0
2021-2022,Group stage,2,2021-09-30,Legia Warsaw,Leicester City,pl,eng,1.0,0.0,1.0
2021-2022,Group stage,2,2021-09-30,Real Sociedad,Monaco,es,fr,1.0,1.0,0.5
2021-2022,Group stage,2,2021-09-30,Sparta Prague,Rangers,cz,sct,1.0,0.0,1.0
2021-2022,Group stage,2,2021-09-30,Antwerp,Eint Frankfurt,be,de,0.0,1.0,0.0
2021-2022,Group stage,2,2021-09-30,Fenerbahçe,Olympiacos,tr,gr,0.0,3.0,0.0
2021-2022,Group stage,2,2021-09-30,Celtic,Leverkusen,sct,de,0.0,4.0,0.0
2021-2022,Group stage,2,2021-09-30,West Ham,Rapid Wien,eng,at,2.0,0.0,1.0
2021-2022,Group stage,2,2021-09-30,Braga,Midtjylland,pt,dk,3.0,1.0,1.0
2021-2022,Group stage,2,2021-09-30,Marseille,Galatasaray,fr,tr,0.0,0.0,0.5
2021-2022,Group stage,2,2021-09-30,Genk,Dinamo Zagreb,be,hr,0.0,3.0,0.0
2021-2022,Group stage,2,2021-09-30,Ferencváros,Betis,hu,es,1.0,3.0,0.0
2021-2022,Group stage,2,2021-09-30,Lazio,Loko Moscow,it,ru,2.0,0.0,1.0
2021-2022,Group stage,2,2021-09-30,Ludogorets,Red Star,bg,rs,0.0,1.0,0.0
2021-2022,Group stage,3,2021-10-19,Celtic,Ferencváros,sct,hu,2.0,0.0,1.0
2021-2022,Group stage,3,2021-10-20,Spartak Moscow,Leicester City,ru,eng,3.0,4.0,0.0
2021-2022,Group stage,3,2021-10-21,Betis,Leverkusen,es,de,1.0,1.0,0.5
2021-2022,Group stage,3,2021-10-21,Midtjylland,Red Star,dk,rs,1.0,1.0,0.5
2021-2022,Group stage,3,2021-10-21,Lazio,Marseille,it,fr,0.0,0.0,0.5
2021-2022,Group stage,3,2021-10-21,Rapid Wien,Dinamo Zagreb,at,hr,2.0,1.0,1.0
2021-2022,Group stage,3,2021-10-21,Fenerbahçe,Antwerp,tr,be,2.0,2.0,0.5
2021-2022,Group stage,3,2021-10-21,Ludogorets,Braga,bg,pt,0.0,1.0,0.0
2021-2022,Group stage,3,2021-10-21,West Ham,Genk,eng,be,3.0,0.0,1.0
2021-2022,Group stage,3,2021-10-21,Rangers,Brøndby,sct,dk,2.0,0.0,1.0
2021-2022,Group stage,3,2021-10-21,Eint Frankfurt,Olympiacos,de,gr,3.0,1.0,1.0
2021-2022,Group stage,3,2021-10-21,Sparta Prague,Lyon,cz,fr,3.0,4.0,0.0
2021-2022,Group stage,3,2021-10-21,Sturm Graz,Real Sociedad,at,es,0.0,1.0,0.0
2021-2022,Group stage,3,2021-10-21,PSV Eindhoven,Monaco,nl,fr,1.0,2.0,0.0
2021-2022,Group stage,3,2021-10-21,Napoli,Legia Warsaw,it,pl,3.0,0.0,1.0
2021-2022,Group stage,3,2021-10-21,Loko Moscow,Galatasaray,ru,tr,0.0,1.0,0.0
2021-2022,Group stage,4,2021-11-04,Real Sociedad,Sturm Graz,es,at,1.0,1.0,0.5
2021-2022,Group stage,4,2021-11-04,Brøndby,Rangers,dk,sct,1.0,1.0,0.5
2021-2022,Group stage,4,2021-11-04,Monaco,PSV Eindhoven,fr,nl,0.0,0.0,0.5
2021-2022,Group stage,4,2021-11-04,Legia Warsaw,Napoli,pl,it,1.0,4.0,0.0
2021-2022,Group stage,4,2021-11-04,Lyon,Sparta Prague,fr,cz,3.0,0.0,1.0
2021-2022,Group stage,4,2021-11-04,Genk,West Ham,be,eng,2.0,2.0,0.5
2021-2022,Group stage,4,2021-11-04,Olympiacos,Eint Frankfurt,gr,de,1.0,2.0,0.0
2021-2022,Group stage,4,2021-11-04,Braga,Ludogorets,pt,bg,4.0,2.0,1.0
2021-2022,Group stage,4,2021-11-04,Leicester City,Spartak Moscow,eng,ru,1.0,1.0,0.5
