Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1994-1995,First round,1994-09-13,Napoli,Skonto FC,it,lv,2,0,1.0
1994-1995,First round,1994-09-13,Rotor Volgograd,Nantes,ru,fr,3,2,1.0
1994-1995,First round,1994-09-13,FC Dinamo Tbilisi,FC Tirol Innsbruck,ge,at,1,0,1.0
1994-1995,First round,1994-09-13,Linfield FC,Odense,nir,dk,1,1,0.5
1994-1995,First round,1994-09-13,AIK Stockholm,Slavia Prague,se,cz,0,0,0.5
1994-1995,First round,1994-09-13,ŠK Slovan Bratislava,FC Copenhagen,sk,dk,1,0,1.0
1994-1995,First round,1994-09-13,Olympiacos,Marseille,gr,fr,1,2,0.0
1994-1995,First round,1994-09-13,Apollon Limassol,Sion,cy,ch,1,3,0.0
1994-1995,First round,1994-09-13,Vitesse,Parma,nl,it,1,0,1.0
1994-1995,First round,1994-09-13,FC Tekstilshchik Kamyshin,Békéscsaba,ru,hu,6,1,1.0
1994-1995,First round,1994-09-13,Aarau,Marítimo,ch,pt,0,0,0.5
1994-1995,First round,1994-09-13,Katowice,Aris,pl,gr,1,0,1.0
1994-1995,First round,1994-09-13,Blackburn,Trelleborg,eng,se,0,1,0.0
1994-1995,First round,1994-09-13,Boavista,MYPA,pt,fi,2,1,1.0
1994-1995,First round,1994-09-13,Cannes,Fenerbahçe,fr,tr,4,0,1.0
1994-1995,First round,1994-09-13,Trabzonspor,Dinamo București,tr,ro,2,1,1.0
1994-1995,First round,1994-09-13,Twente,Honvéd,nl,hu,1,4,0.0
1994-1995,First round,1994-09-13,CSKA Sofia,Juventus,bg,it,0,3,0.0
1994-1995,First round,1994-09-13,R.F.C. Seraing,Dynamo Moscow,be,ru,3,4,0.0
1994-1995,First round,1994-09-13,Admira Wacker Mödling,Górnik Zabrze,at,pl,5,2,1.0
1994-1995,First round,1994-09-13,Dinamo Minsk,Lazio,by,it,0,0,0.5
1994-1995,First round,1994-09-13,Leverkusen,PSV,de,nl,5,4,1.0
1994-1995,First round,1994-09-13,Íþróttabandalag Akraness,Kaiserslautern,is,de,0,4,0.0
1994-1995,First round,1994-09-13,Anorthosis,Athletic Club,cy,es,2,0,1.0
1994-1995,First round,1994-09-13,Rosenborg,Dep La Coruña,no,es,1,0,1.0
1994-1995,First round,1994-09-13,Real Madrid,Sporting CP,es,pt,1,0,1.0
1994-1995,First round,1994-09-13,Antwerp,Newcastle Utd,be,eng,0,5,0.0
1994-1995,First round,1994-09-13,Bordeaux,Lillestrøm,fr,no,3,1,1.0
1994-1995,First round,1994-09-13,Dortmund,Motherwell,de,sct,1,0,1.0
1994-1995,First round,1994-09-13,Rapid București,Charleroi,ro,be,2,0,1.0
1994-1995,First round,1994-09-15,NK Olimpija Ljubljana,Eint Frankfurt,si,de,1,1,0.5
1994-1995,First round,1994-09-15,Inter,Aston Villa,it,eng,1,0,1.0
1994-1995,First round,1994-09-27,Trelleborg,Blackburn,se,eng,2,2,0.5
1994-1995,First round,1994-09-27,Newcastle Utd,Antwerp,eng,be,5,2,1.0
1994-1995,First round,1994-09-27,Parma,Vitesse,it,nl,2,0,1.0
1994-1995,First round,1994-09-27,Dynamo Moscow,R.F.C. Seraing,ru,be,0,1,0.0
1994-1995,First round,1994-09-27,Lillestrøm,Bordeaux,no,fr,0,2,0.0
1994-1995,First round,1994-09-27,Dep La Coruña,Rosenborg,es,no,4,1,1.0
