Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2004-2005,First round,,2004-09-16,Schalke 04,FK Liepājas Metalurgs,de,lv,5,1,1.0
2004-2005,First round,,2004-09-16,Marítimo,Rangers,pt,sct,1,0,1.0
2004-2005,First round,,2004-09-16,Middlesbrough,Baník Ostrava,eng,cz,3,0,1.0
2004-2005,First round,,2004-09-16,Sochaux,Stabæk,fr,no,4,0,1.0
2004-2005,First round,,2004-09-16,Austria Wien,Legia Warsaw,at,pl,1,0,1.0
2004-2005,First round,,2004-09-16,Partizan,Dinamo București,rs,ro,3,1,1.0
2004-2005,First round,,2004-09-16,Aalborg,Auxerre,dk,fr,1,1,0.5
2004-2005,First round,,2004-09-16,Wisła Kraków,Dinamo Tbilisi,pl,ge,4,3,1.0
2004-2005,First round,,2004-09-16,Egaleo,Gençlerbirliği,gr,tr,1,0,1.0
2004-2005,First round,,2004-09-16,Terek Grozny,Basel,ru,ch,1,1,0.5
2004-2005,First round,,2004-09-16,Parma,NK Maribor,it,si,3,2,1.0
2004-2005,First round,,2004-09-16,Shelbourne FC,Lille,ie,fr,2,2,0.5
2004-2005,First round,,2004-09-16,Steaua,CSKA Sofia,ro,bg,2,1,1.0
2004-2005,First round,,2004-09-16,ND Gorica,AEK Athens,si,gr,1,1,0.5
2004-2005,First round,,2004-09-16,Hearts,Braga,sct,pt,3,1,1.0
2004-2005,First round,,2004-09-16,Odd,Feyenoord,no,nl,0,1,0.0
2004-2005,First round,,2004-09-16,Újpest,Stuttgart,hu,de,1,3,0.0
2004-2005,First round,,2004-09-16,Trabzonspor,Athletic Club,tr,es,3,2,1.0
2004-2005,First round,,2004-09-16,FK Dukla Banská Bystrica,Benfica,sk,pt,0,3,0.0
2004-2005,First round,,2004-09-16,Bodø/Glimt,Beşiktaş,no,tr,1,1,0.5
2004-2005,First round,,2004-09-16,FK Ventspils,Amica Wronki,lv,pl,1,1,0.5
2004-2005,First round,,2004-09-16,Met Donetsk,Lazio,ua,it,0,3,0.0
2004-2005,First round,,2004-09-16,Utrecht,Djurgården,nl,se,4,0,1.0
2004-2005,First round,,2004-09-16,Hammarby,Villarreal,se,es,1,2,0.0
2004-2005,First round,,2004-09-16,Zaragoza,Sigma Olomouc,es,cz,1,0,1.0
2004-2005,First round,,2004-09-16,Sevilla,Nacional,es,pt,2,0,1.0
2004-2005,First round,,2004-09-16,PAOK,AZ Alkmaar,gr,nl,2,3,0.0
2004-2005,First round,,2004-09-16,Sporting CP,Rapid Wien,pt,at,2,0,1.0
2004-2005,First round,,2004-09-16,Grazer AK,Litex Lovech,at,bg,5,0,1.0
2004-2005,First round,,2004-09-16,Club Brugge,Châteauroux,be,fr,3,0,1.0
2004-2005,First round,,2004-09-16,Newcastle Utd,Bnei Sakhnin FC,eng,il,2,0,1.0
2004-2005,First round,,2004-09-16,Millwall,Ferencváros,eng,hu,1,1,0.5
