Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2020-2021,Group stage,1,2020-10-22,Dundalk,Molde,ie,no,1,2,0.0
2020-2021,Group stage,1,2020-10-22,Leverkusen,Nice,de,fr,6,2,1.0
2020-2021,Group stage,1,2020-10-22,Napoli,AZ Alkmaar,it,nl,0,1,0.0
2020-2021,Group stage,1,2020-10-22,PSV Eindhoven,Granada,nl,es,1,2,0.0
2020-2021,Group stage,1,2020-10-22,Young Boys,Roma,ch,it,1,2,0.0
2020-2021,Group stage,1,2020-10-22,Rijeka,Real Sociedad,hr,es,0,1,0.0
2020-2021,Group stage,1,2020-10-22,Standard Liège,Rangers,be,sct,0,2,0.0
2020-2021,Group stage,1,2020-10-22,Lech Poznań,Benfica,pl,pt,2,4,0.0
2020-2021,Group stage,1,2020-10-22,Rapid Wien,Arsenal,at,eng,1,2,0.0
2020-2021,Group stage,1,2020-10-22,CSKA Sofia,CFR Cluj,bg,ro,0,2,0.0
2020-2021,Group stage,1,2020-10-22,Be'er Sheva,Slavia Prague,il,cz,3,1,1.0
2020-2021,Group stage,1,2020-10-22,PAOK,AC Omonia,gr,cy,1,1,0.5
2020-2021,Group stage,1,2020-10-22,Celtic,Milan,sct,it,1,3,0.0
2020-2021,Group stage,1,2020-10-22,Leicester City,Zorya Luhansk,eng,ua,3,0,1.0
2020-2021,Group stage,1,2020-10-22,Tottenham,LASK,eng,at,3,0,1.0
2020-2021,Group stage,1,2020-10-22,Braga,AEK Athens,pt,gr,3,0,1.0
2020-2021,Group stage,1,2020-10-22,Slovan Liberec,Gent,cz,be,1,0,1.0
2020-2021,Group stage,1,2020-10-22,Wolfsberger AC,CSKA Moscow,at,ru,1,1,0.5
2020-2021,Group stage,1,2020-10-22,Dinamo Zagreb,Feyenoord,hr,nl,0,0,0.5
2020-2021,Group stage,1,2020-10-22,Sparta Prague,Lille,cz,fr,1,4,0.0
2020-2021,Group stage,1,2020-10-22,Villarreal,Sivasspor,es,tr,5,3,1.0
2020-2021,Group stage,1,2020-10-22,Hoffenheim,Red Star,de,rs,2,0,1.0
2020-2021,Group stage,1,2020-10-22,Ludogorets,Antwerp,bg,be,1,2,0.0
2020-2021,Group stage,1,2020-10-22,Maccabi Tel Aviv,Qarabağ,il,az,1,0,1.0
2020-2021,Group stage,2,2020-10-29,Lille,Celtic,fr,sct,2,2,0.5
2020-2021,Group stage,2,2020-10-29,Antwerp,Tottenham,be,eng,1,0,1.0
2020-2021,Group stage,2,2020-10-29,Red Star,Slovan Liberec,rs,cz,5,1,1.0
2020-2021,Group stage,2,2020-10-29,Feyenoord,Wolfsberger AC,nl,at,1,4,0.0
2020-2021,Group stage,2,2020-10-29,Gent,Hoffenheim,be,de,1,4,0.0
2020-2021,Group stage,2,2020-10-29,LASK,Ludogorets,at,bg,4,3,1.0
2020-2021,Group stage,2,2020-10-29,Milan,Sparta Prague,it,cz,3,0,1.0
2020-2021,Group stage,2,2020-10-29,Zorya Luhansk,Braga,ua,pt,1,2,0.0
2020-2021,Group stage,2,2020-10-29,AEK Athens,Leicester City,gr,eng,1,2,0.0
2020-2021,Group stage,2,2020-10-29,Rangers,Lech Poznań,sct,pl,1,0,1.0
2020-2021,Group stage,2,2020-10-29,Benfica,Standard Liège,pt,be,3,0,1.0
2020-2021,Group stage,2,2020-10-29,Arsenal,Dundalk,eng,ie,3,0,1.0
2020-2021,Group stage,2,2020-10-29,Sivasspor,Maccabi Tel Aviv,tr,il,1,2,0.0
2020-2021,Group stage,2,2020-10-29,CSKA Moscow,Dinamo Zagreb,ru,hr,0,0,0.5
2020-2021,Group stage,2,2020-10-29,Slavia Prague,Leverkusen,cz,de,1,0,1.0
2020-2021,Group stage,2,2020-10-29,Roma,CSKA Sofia,it,bg,0,0,0.5
2020-2021,Group stage,2,2020-10-29,Granada,PAOK,es,gr,0,0,0.5
2020-2021,Group stage,2,2020-10-29,Nice,Be'er Sheva,fr,il,1,0,1.0
2020-2021,Group stage,2,2020-10-29,Real Sociedad,Napoli,es,it,0,1,0.0
2020-2021,Group stage,2,2020-10-29,Molde,Rapid Wien,no,at,1,0,1.0
