Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1993-1994,First round,1993-09-14,Vác,Apollon Limassol,hu,cy,2,0,1.0
1993-1994,First round,1993-09-14,Dynamo Moscow,Eint Frankfurt,ru,de,0,6,0.0
1993-1994,First round,1993-09-14,Austria Salzburg,FC DAC 1904 Dunajská Streda,at,sk,2,0,1.0
1993-1994,First round,1993-09-14,FC Dnipro,Admira Wacker Mödling,ua,at,1,0,1.0
1993-1994,First round,1993-09-14,Aalborg,Dep La Coruña,dk,es,1,0,1.0
1993-1994,First round,1993-09-14,Bohemian FC,Bordeaux,ie,fr,0,1,0.0
1993-1994,First round,1993-09-14,Young Boys,Celtic,ch,sct,0,0,0.5
1993-1994,First round,1993-09-14,Lahti,KSV Waregem,fi,be,4,0,1.0
1993-1994,First round,1993-09-14,Antwerp,Marítimo,be,pt,2,0,1.0
1993-1994,First round,1993-09-14,Karlsruher,PSV,de,nl,2,1,1.0
1993-1994,First round,1993-09-14,Union Luxembourg,Boavista,lu,pt,0,1,0.0
1993-1994,First round,1993-09-14,Hearts,Atlético Madrid,sct,es,2,1,1.0
1993-1994,First round,1993-09-14,Crusaders FC,Servette,nir,ch,0,0,0.5
1993-1994,First round,1993-09-15,Twente,Bayern Munich,nl,de,3,4,0.0
1993-1994,First round,1993-09-15,Lazio,Lokomotiv Plovdiv,it,bg,2,0,1.0
1993-1994,First round,1993-09-15,Gloria Bistrița,NK Maribor,ro,si,0,0,0.5
1993-1994,First round,1993-09-15,Norwich City,Vitesse,eng,nl,3,0,1.0
1993-1994,First round,1993-09-15,Botev Plovdiv,Olympiacos,bg,gr,2,3,0.0
1993-1994,First round,1993-09-15,Norrköping,Mechelen,se,be,0,1,0.0
1993-1994,First round,1993-09-15,Trabzonspor,Valletta FC,tr,mt,3,1,1.0
1993-1994,First round,1993-09-15,Tenerife,Auxerre,es,fr,2,2,0.5
1993-1994,First round,1993-09-15,Juventus,Lokomotiv Moscow,it,ru,3,0,1.0
1993-1994,First round,1993-09-15,Öster,Kongsvinger,se,no,1,3,0.0
1993-1994,First round,1993-09-15,Slavia Prague,OFI Crete,cz,gr,1,1,0.5
1993-1994,First round,1993-09-15,Inter,Rapid București,it,ro,3,1,1.0
1993-1994,First round,1993-09-15,Brøndby,Dundee United,dk,sct,2,0,1.0
1993-1994,First round,1993-09-15,Kocaelispor,Sporting CP,tr,pt,0,0,0.5
1993-1994,First round,1993-09-15,ŠK Slovan Bratislava,Aston Villa,sk,eng,0,0,0.5
1993-1994,First round,1993-09-15,Dortmund,Spartak Vladikavkaz,de,ru,0,0,0.5
1993-1994,First round,1993-09-16,Dinamo București,Cagliari,ro,it,3,2,1.0
1993-1994,First round,1993-09-16,Nantes,Valencia,fr,es,1,1,0.5
1993-1994,First round,1993-09-16,KR,MTK Budapest,is,hu,1,2,0.0
1993-1994,First round,1993-09-28,Dundee United,Brøndby,sct,dk,3,1,1.0
1993-1994,First round,1993-09-28,FC DAC 1904 Dunajská Streda,Austria Salzburg,sk,at,0,2,0.0
1993-1994,First round,1993-09-28,PSV,Karlsruher,nl,de,0,0,0.5
1993-1994,First round,1993-09-28,Servette,Crusaders FC,ch,nir,4,0,1.0
1993-1994,First round,1993-09-28,Lokomotiv Moscow,Juventus,ru,it,0,1,0.0
1993-1994,First round,1993-09-28,Admira Wacker Mödling,FC Dnipro,at,ua,2,3,0.0
1993-1994,First round,1993-09-28,Eint Frankfurt,Dynamo Moscow,de,ru,1,2,0.0
1993-1994,First round,1993-09-28,Marítimo,Antwerp,pt,be,2,2,0.5
1993-1994,First round,1993-09-28,Dep La Coruña,Aalborg,es,dk,5,0,1.0
1993-1994,First round,1993-09-28,Valletta FC,Trabzonspor,mt,tr,1,3,0.0
1993-1994,First round,1993-09-28,Mechelen,Norrköping,be,se,1,1,0.5
1993-1994,First round,1993-09-28,Spartak Vladikavkaz,Dortmund,ru,de,0,1,0.0
1993-1994,First round,1993-09-28,Atlético Madrid,Hearts,es,sct,3,0,1.0
1993-1994,First round,1993-09-28,Bordeaux,Bohemian FC,fr,ie,5,0,1.0
1993-1994,First round,1993-09-28,Boavista,Union Luxembourg,pt,lu,4,0,1.0
1993-1994,First round,1993-09-29,Rapid București,Inter,ro,it,0,2,0.0
1993-1994,First round,1993-09-29,Aston Villa,ŠK Slovan Bratislava,eng,sk,2,1,1.0
1993-1994,First round,1993-09-29,Olympiacos,Botev Plovdiv,gr,bg,5,1,1.0
1993-1994,First round,1993-09-29,NK Maribor,Gloria Bistrița,si,ro,2,0,1.0
1993-1994,First round,1993-09-29,Celtic,Young Boys,sct,ch,1,0,1.0
1993-1994,First round,1993-09-29,Cagliari,Dinamo București,it,ro,2,0,1.0
1993-1994,First round,1993-09-29,Bayern Munich,Twente,de,nl,3,0,1.0
1993-1994,First round,1993-09-29,Apollon Limassol,Vác,cy,hu,4,0,1.0
1993-1994,First round,1993-09-29,Auxerre,Tenerife,fr,es,0,1,0.0
1993-1994,First round,1993-09-29,KSV Waregem,Lahti,be,fi,1,2,0.0
