Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2006-2007,First round,,2006-09-14,Atromitos,Sevilla,gr,es,1,2,0.0
2006-2007,First round,,2006-09-14,Chornomorets,Hapoel Tel Aviv,ua,il,0,1,0.0
2006-2007,First round,,2006-09-14,Ethnikos Achna FC,Lens,cy,fr,0,0,0.5
2006-2007,First round,,2006-09-14,Trabzonspor,Osasuna,tr,es,2,2,0.5
2006-2007,First round,,2006-09-14,Rubin Kazan,Parma,ru,it,0,1,0.0
2006-2007,First round,,2006-09-14,RB Salzburg,Blackburn,at,eng,2,2,0.5
2006-2007,First round,,2006-09-14,Levadia Tallinn,Newcastle Utd,ee,eng,0,1,0.0
2006-2007,First round,,2006-09-14,FC Petržalka,Espanyol,sk,es,2,2,0.5
2006-2007,First round,,2006-09-14,Ružomberok,Club Brugge,sk,be,0,1,0.0
2006-2007,First round,,2006-09-14,Standard Liège,Celta Vigo,be,es,0,1,0.0
2006-2007,First round,,2006-09-14,Hearts,Sparta Prague,sct,cz,0,2,0.0
2006-2007,First round,,2006-09-14,Skoda Xanthi,Dinamo,gr,ro,3,4,0.0
2006-2007,First round,,2006-09-14,Molde,Rangers,no,sct,0,0,0.5
2006-2007,First round,,2006-09-14,Livorno,ASKÖ Pasching,it,at,2,0,1.0
2006-2007,First round,,2006-09-14,Basel,FK Rabotnički,ch,mk,6,2,1.0
2006-2007,First round,,2006-09-14,Schalke 04,Nancy,de,fr,1,0,1.0
2006-2007,First round,,2006-09-14,Beşiktaş,CSKA Sofia,tr,bg,2,0,1.0
2006-2007,First round,,2006-09-14,Maccabi Haifa,Litex Lovech,il,bg,1,1,0.5
2006-2007,First round,,2006-09-14,Loko Moscow,Zulte Waregem,ru,be,2,1,1.0
2006-2007,First round,,2006-09-14,Dinamo Zagreb,Auxerre,hr,fr,1,2,0.0
2006-2007,First round,,2006-09-14,Marseille,Mladá Boleslav,fr,cz,1,0,1.0
2006-2007,First round,,2006-09-14,Derry City FC,Paris S-G,ie,fr,0,0,0.5
2006-2007,First round,,2006-09-14,Partizan,Groningen,rs,nl,4,2,1.0
2006-2007,First round,,2006-09-14,Eint Frankfurt,Brøndby,de,dk,4,0,1.0
2006-2007,First round,,2006-09-14,Slovan Liberec,Red Star,cz,rs,2,0,1.0
2006-2007,First round,,2006-09-14,Legia Warsaw,Austria Wien,pl,at,1,1,0.5
2006-2007,First round,,2006-09-14,Åtvidaberg,Grasshopper,se,ch,0,3,0.0
2006-2007,First round,,2006-09-14,Braga,Chievo,pt,it,2,0,1.0
2006-2007,First round,,2006-09-14,Lokomotiv Sofia,Feyenoord,bg,nl,2,2,0.5
2006-2007,First round,,2006-09-14,Rapid București,Nacional,ro,pt,1,0,1.0
2006-2007,First round,,2006-09-14,Start,Ajax,no,nl,2,5,0.0
