Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1992-1993,First round,1992-09-15,Hibernian,Anderlecht,sct,be,2,2,0.5
1992-1993,First round,1992-09-15,Xamax,BK Frem,ch,dk,2,2,0.5
1992-1993,First round,1992-09-15,Floriana FC,Dortmund,mt,de,0,1,0.0
1992-1993,First round,1992-09-15,Caen,Zaragoza,fr,es,3,2,1.0
1992-1993,First round,1992-09-15,Köln,Celtic,de,sct,2,0,1.0
1992-1993,First round,1992-09-15,Knattspyrnufélagið Fram,Kaiserslautern,is,de,0,3,0.0
1992-1993,First round,1992-09-16,FC Tirol Innsbruck,Roma,at,it,1,4,0.0
1992-1993,First round,1992-09-16,Dynamo Kyiv,Rapid Wien,ua,at,1,0,1.0
1992-1993,First round,1992-09-16,Standard Liège,Portadown FC,be,nir,5,0,1.0
1992-1993,First round,1992-09-16,Lokomotiv Plovdiv,Auxerre,bg,fr,2,2,0.5
1992-1993,First round,1992-09-16,Dynamo Moscow,Rosenborg,ru,no,5,1,1.0
1992-1993,First round,1992-09-16,FC Caracal,Panathinaikos,ro,gr,0,6,0.0
1992-1993,First round,1992-09-16,Katowice,Galatasaray,pl,tr,0,0,0.5
1992-1993,First round,1992-09-16,Benfica,MNK Izola,pt,si,3,0,1.0
1992-1993,First round,1992-09-16,Grasshopper,Sporting CP,ch,pt,1,2,0.0
1992-1993,First round,1992-09-16,Slavia Prague,Hearts,cz,sct,1,0,1.0
1992-1993,First round,1992-09-16,Sigma Olomouc,FC U Craiova,cz,ro,1,0,1.0
1992-1993,First round,1992-09-16,Vitesse,Derry City FC,nl,ie,3,0,1.0
1992-1993,First round,1992-09-16,FC Copenhagen,Mikkelin Palloilijat,dk,fi,5,0,1.0
1992-1993,First round,1992-09-16,Manchester Utd,Torpedo Moscow,eng,ru,0,0,0.5
1992-1993,First round,1992-09-16,Austria Salzburg,Ajax,at,nl,0,3,0.0
1992-1993,First round,1992-09-16,Mechelen,Örebro,be,se,2,1,1.0
1992-1993,First round,1992-09-16,Widzew Łódź,Eint Frankfurt,pl,de,2,2,0.5
1992-1993,First round,1992-09-16,Norrköping,Torino,se,it,1,0,1.0
1992-1993,First round,1992-09-16,Sheffield Weds,CA Spora Luxembourg,eng,lu,8,1,1.0
1992-1993,First round,1992-09-16,Vác,Groningen,hu,nl,1,0,1.0
1992-1993,First round,1992-09-16,Fenerbahçe,Botev Plovdiv,tr,bg,3,1,1.0
1992-1993,First round,1992-09-16,Politehnica Timișoara,Real Madrid,ro,es,1,1,0.5
1992-1993,First round,1992-09-16,Juventus,Anorthosis,it,cy,6,1,1.0
1992-1993,First round,1992-09-16,Paris S-G,PAOK,fr,gr,2,0,1.0
1992-1993,First round,1992-09-16,Valencia,Napoli,es,it,1,5,0.0
1992-1993,First round,1992-09-17,Vitória Guimarães,Real Sociedad,pt,es,3,0,1.0
1992-1993,First round,1992-09-29,Galatasaray,Katowice,tr,pl,2,1,1.0
1992-1993,First round,1992-09-29,Derry City FC,Vitesse,ie,nl,1,2,0.0
1992-1993,First round,1992-09-29,Dortmund,Floriana FC,de,mt,7,2,1.0
1992-1993,First round,1992-09-29,Anorthosis,Juventus,cy,it,0,4,0.0
1992-1993,First round,1992-09-29,Torpedo Moscow,Manchester Utd,ru,eng,0,0,0.5
1992-1993,First round,1992-09-29,Real Madrid,Politehnica Timișoara,es,ro,4,0,1.0
1992-1993,First round,1992-09-29,Portadown FC,Standard Liège,nir,be,0,0,0.5
1992-1993,First round,1992-09-29,Kaiserslautern,Knattspyrnufélagið Fram,de,is,4,0,1.0
1992-1993,First round,1992-09-29,Anderlecht,Hibernian,be,sct,1,1,0.5
1992-1993,First round,1992-09-29,BK Frem,Xamax,dk,ch,4,1,1.0
1992-1993,First round,1992-09-29,Auxerre,Lokomotiv Plovdiv,fr,bg,7,1,1.0
1992-1993,First round,1992-09-30,Panathinaikos,FC Caracal,gr,ro,4,0,1.0
1992-1993,First round,1992-09-30,Real Sociedad,Vitória Guimarães,es,pt,2,0,1.0
1992-1993,First round,1992-09-30,Celtic,Köln,sct,de,3,0,1.0
1992-1993,First round,1992-09-30,Örebro,Mechelen,se,be,0,0,0.5
1992-1993,First round,1992-09-30,Rosenborg,Dynamo Moscow,no,ru,2,0,1.0
1992-1993,First round,1992-09-30,MNK Izola,Benfica,si,pt,0,5,0.0
1992-1993,First round,1992-09-30,Sporting CP,Grasshopper,pt,ch,1,3,0.0
1992-1993,First round,1992-09-30,Eint Frankfurt,Widzew Łódź,de,pl,9,0,1.0
1992-1993,First round,1992-09-30,Napoli,Valencia,it,es,1,0,1.0
1992-1993,First round,1992-09-30,Hearts,Slavia Prague,sct,cz,4,2,1.0
1992-1993,First round,1992-09-30,Roma,FC Tirol Innsbruck,it,at,1,0,1.0
1992-1993,First round,1992-09-30,FC U Craiova,Sigma Olomouc,ro,cz,1,2,0.0
1992-1993,First round,1992-09-30,Rapid Wien,Dynamo Kyiv,at,ua,3,2,1.0
1992-1993,First round,1992-09-30,Groningen,Vác,nl,hu,1,1,0.5
1992-1993,First round,1992-09-30,Ajax,Austria Salzburg,nl,at,3,1,1.0
1992-1993,First round,1992-09-30,Botev Plovdiv,Fenerbahçe,bg,tr,2,2,0.5
1992-1993,First round,1992-09-30,Mikkelin Palloilijat,FC Copenhagen,fi,dk,1,5,0.0
1992-1993,First round,1992-10-01,PAOK,Paris S-G,gr,fr,0,2,0.0
1992-1993,First round,1992-10-01,Torino,Norrköping,it,se,3,0,1.0
1992-1993,First round,1992-10-01,Zaragoza,Caen,es,fr,2,0,1.0
1992-1993,First round,1992-10-01,CA Spora Luxembourg,Sheffield Weds,lu,eng,1,2,0.0
1992-1993,Second round,1992-10-20,Dortmund,Celtic,de,sct,1,0,1.0
1992-1993,Second round,1992-10-20,Panathinaikos,Juventus,gr,it,0,1,0.0
1992-1993,Second round,1992-10-20,Kaiserslautern,Sheffield Weds,de,eng,3,1,1.0
1992-1993,Second round,1992-10-21,Auxerre,FC Copenhagen,fr,dk,5,0,1.0
1992-1993,Second round,1992-10-21,Fenerbahçe,Sigma Olomouc,tr,cz,1,0,1.0
1992-1993,Second round,1992-10-21,Vitória Guimarães,Ajax,pt,nl,0,3,0.0
1992-1993,Second round,1992-10-21,Roma,Grasshopper,it,ch,3,0,1.0
1992-1993,Second round,1992-10-21,Vitesse,Mechelen,nl,be,1,0,1.0
