,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,1991-09-17,Kaiserslautern,Etar,de,bg,2.0,0.0,0.0
1,1991-09-17,Red Star,Portadown FC,rs,nir,4.0,0.0,0.0
2,1991-09-18,Union Luxembourg,Marseille,lu,fr,0.0,5.0,1.0
3,1991-09-18,Brøndby,Zagłębie Lubin,dk,pl,3.0,0.0,0.0
4,1991-09-18,Barcelona,Hansa Rostock,es,de,3.0,0.0,0.0
5,1991-09-18,Anderlecht,Grasshopper,be,ch,1.0,1.0,0.5
6,1991-09-18,Ħamrun Spartans FC,Benfica,mt,pt,0.0,6.0,1.0
7,1991-09-18,HJK Helsinki,Dynamo Kyiv,fi,ua,0.0,1.0,1.0
8,1991-09-18,Knattspyrnufélagið Fram,Panathinaikos,is,gr,2.0,2.0,0.5
9,1991-09-18,Sparta Prague,Rangers,cz,sct,1.0,0.0,0.0
10,1991-09-18,Göteborg,Flamurtari Vlorë,se,al,0.0,0.0,0.5
11,1991-09-18,Arsenal,Austria Wien,eng,at,6.0,1.0,0.0
12,1991-09-18,Honvéd,Dundalk FC,hu,ie,1.0,1.0,0.5
13,1991-09-18,FC U Craiova,Apollon Limassol,ro,cy,2.0,0.0,0.0
14,1991-09-18,Sampdoria,Rosenborg,it,no,5.0,0.0,0.0
15,1991-09-18,Beşiktaş,PSV,tr,nl,1.0,1.0,0.5
16,1991-10-02,Dundalk FC,Honvéd,ie,hu,0.0,2.0,1.0
17,1991-10-02,Zagłębie Lubin,Brøndby,pl,dk,2.0,1.0,0.0
18,1991-10-02,Grasshopper,Anderlecht,ch,be,0.0,3.0,1.0
19,1991-10-02,Portadown FC,Red Star,nir,rs,0.0,4.0,1.0
20,1991-10-02,Hansa Rostock,Barcelona,de,es,1.0,0.0,0.0
21,1991-10-02,Flamurtari Vlorë,Göteborg,al,se,1.0,1.0,0.5
22,1991-10-02,Rosenborg,Sampdoria,no,it,1.0,2.0,1.0
23,1991-10-02,Marseille,Union Luxembourg,fr,lu,5.0,0.0,0.0
24,1991-10-02,PSV,Beşiktaş,nl,tr,2.0,1.0,0.0
25,1991-10-02,Austria Wien,Arsenal,at,eng,1.0,0.0,0.0
26,1991-10-02,Benfica,Ħamrun Spartans FC,pt,mt,4.0,0.0,0.0
27,1991-10-02,Dynamo Kyiv,HJK Helsinki,ua,fi,3.0,0.0,0.0
28,1991-10-02,Apollon Limassol,FC U Craiova,cy,ro,3.0,0.0,0.0
29,1991-10-02,Etar,Kaiserslautern,bg,de,1.0,1.0,0.5
30,1991-10-02,Panathinaikos,Knattspyrnufélagið Fram,gr,is,0.0,0.0,0.5
31,1991-10-02,Rangers,Sparta Prague,sct,cz,2.0,1.0,0.0
32,1991-10-23,Barcelona,Kaiserslautern,es,de,2.0,0.0,0.0
33,1991-10-23,Dynamo Kyiv,Brøndby,ua,dk,1.0,1.0,0.5
34,1991-10-23,Red Star,Apollon Limassol,rs,cy,3.0,1.0,0.0
35,1991-10-23,Marseille,Sparta Prague,fr,cz,3.0,2.0,0.0
36,1991-10-23,Honvéd,Sampdoria,hu,it,2.0,1.0,0.0
37,1991-10-23,Panathinaikos,Göteborg,gr,se,2.0,0.0,0.0
38,1991-10-23,PSV,Anderlecht,nl,be,0.0,0.0,0.5
39,1991-10-23,Benfica,Arsenal,pt,eng,1.0,1.0,0.5
40,1991-11-06,Apollon Limassol,Red Star,cy,rs,0.0,2.0,1.0
41,1991-11-06,Kaiserslautern,Barcelona,de,es,3.0,1.0,0.0
42,1991-11-06,Arsenal,Benfica,eng,pt,1.0,3.0,1.0
43,1991-11-06,Sampdoria,Honvéd,it,hu,3.0,1.0,0.0
44,1991-11-06,Sparta Prague,Marseille,cz,fr,2.0,1.0,0.0
45,1991-11-06,Anderlecht,PSV,be,nl,2.0,0.0,0.0
46,1991-11-06,Brøndby,Dynamo Kyiv,dk,ua,0.0,1.0,1.0
47,1991-11-06,Göteborg,Panathinaikos,se,gr,2.0,2.0,0.5
48,1991-11-27,Dynamo Kyiv,Benfica,ua,pt,1.0,0.0,0.0
49,1991-11-27,Sampdoria,Red Star,it,rs,2.0,0.0,0.0
50,1991-11-27,Barcelona,Sparta Prague,es,cz,3.0,2.0,0.0
51,1991-11-27,Anderlecht,Panathinaikos,be,gr,0.0,0.0,0.5
53,1991-12-11,Benfica,Barcelona,pt,es,0.0,0.0,0.5
54,1991-12-11,Panathinaikos,Sampdoria,gr,it,0.0,0.0,0.5
55,1991-12-11,Sparta Prague,Dynamo Kyiv,cz,ua,2.0,1.0,0.0
56,1991-12-12,Red Star,Anderlecht,rs,be,3.0,2.0,0.0
58,1992-03-04,Dynamo Kyiv,Barcelona,ua,es,0.0,2.0,1.0
59,1992-03-04,Benfica,Sparta Prague,pt,cz,1.0,1.0,0.5
60,1992-03-04,Anderlecht,Sampdoria,be,it,3.0,2.0,0.0
61,1992-03-04,Panathinaikos,Red Star,gr,rs,0.0,2.0,1.0
63,1992-03-18,Red Star,Panathinaikos,rs,gr,1.0,0.0,0.0
64,1992-03-18,Sampdoria,Anderlecht,it,be,2.0,0.0,0.0
65,1992-03-18,Sparta Prague,Benfica,cz,pt,1.0,1.0,0.5
66,1992-03-18,Barcelona,Dynamo Kyiv,es,ua,3.0,0.0,0.0
68,1992-04-01,Red Star,Sampdoria,rs,it,1.0,3.0,1.0
69,1992-04-01,Panathinaikos,Anderlecht,gr,be,0.0,0.0,0.5
70,1992-04-01,Sparta Prague,Barcelona,cz,es,1.0,0.0,0.0
71,1992-04-01,Benfica,Dynamo Kyiv,pt,ua,5.0,0.0,0.0
73,1992-04-15,Anderlecht,Red Star,be,rs,3.0,2.0,0.0
74,1992-04-15,Barcelona,Benfica,es,pt,2.0,1.0,0.0
75,1992-04-15,Sampdoria,Panathinaikos,it,gr,1.0,1.0,0.5
76,1992-04-15,Dynamo Kyiv,Sparta Prague,ua,cz,1.0,0.0,0.0
78,1992-05-20,Sampdoria,Barcelona,it,es,0.0,1.0,1.0
