Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024-2025,1,2024-07-19,Sparta Prague,FK Pardubice,2.0,1.0,1.0
2024-2025,1,2024-07-20,Jablonec,Mladá Boleslav,2.0,0.0,1.0
2024-2025,1,2024-07-20,Bohemians 1905,Baník Ostrava,2.0,1.0,1.0
2024-2025,1,2024-07-20,České Budĕjov.,Sigma Olomouc,0.0,2.0,0.0
2024-2025,1,2024-07-20,Dukla Prague,Viktoria Plzeň,1.0,3.0,0.0
2024-2025,1,2024-07-21,Karviná,Slovan Liberec,1.0,3.0,0.0
2024-2025,1,2024-07-21,Slovácko,Slavia Prague,0.0,0.0,0.5
2024-2025,1,2024-07-21,Hradec Králové,Teplice,1.0,0.0,1.0
2024-2025,2,2024-07-27,Dukla Prague,Bohemians 1905,1.0,0.0,1.0
2024-2025,2,2024-07-27,FK Pardubice,Karviná,0.0,1.0,0.0
2024-2025,2,2024-07-27,Teplice,Sparta Prague,1.0,4.0,0.0
2024-2025,2,2024-07-27,Slavia Prague,České Budĕjov.,4.0,0.0,1.0
2024-2025,2,2024-07-28,Slovan Liberec,Sigma Olomouc,1.0,1.0,0.5
2024-2025,2,2024-07-28,Baník Ostrava,Jablonec,1.0,0.0,1.0
2024-2025,2,2024-07-28,Mladá Boleslav,Slovácko,3.0,0.0,1.0
2024-2025,2,2024-07-28,Viktoria Plzeň,Hradec Králové,1.0,0.0,1.0
2024-2025,3,2024-08-02,Slovan Liberec,Slavia Prague,0.0,1.0,0.0
2024-2025,3,2024-08-02,Sparta Prague,Dukla Prague,2.0,0.0,1.0
2024-2025,3,2024-08-03,Slovácko,Bohemians 1905,0.0,0.0,0.5
2024-2025,3,2024-08-03,Jablonec,Viktoria Plzeň,0.0,0.0,0.5
2024-2025,3,2024-08-03,Sigma Olomouc,Teplice,2.0,1.0,1.0
2024-2025,3,2024-08-04,České Budĕjov.,FK Pardubice,1.0,3.0,0.0
2024-2025,3,2024-08-04,Hradec Králové,Mladá Boleslav,2.0,1.0,1.0
2024-2025,4,2024-08-10,Dukla Prague,Jablonec,0.0,2.0,0.0
2024-2025,4,2024-08-10,Teplice,Slovan Liberec,2.0,1.0,1.0
2024-2025,4,2024-08-10,Bohemians 1905,Sparta Prague,1.0,2.0,0.0
2024-2025,4,2024-08-10,Slavia Prague,Sigma Olomouc,2.0,0.0,1.0
2024-2025,4,2024-08-11,FK Pardubice,Slovácko,0.0,1.0,0.0
2024-2025,4,2024-08-11,Baník Ostrava,Hradec Králové,1.0,0.0,1.0
2024-2025,4,2024-08-11,Mladá Boleslav,České Budĕjov.,4.0,0.0,1.0
2024-2025,4,2024-08-11,Viktoria Plzeň,Karviná,5.0,0.0,1.0
2024-2025,5,2024-08-17,Hradec Králové,Dukla Prague,1.0,0.0,1.0
2024-2025,5,2024-08-17,Slavia Prague,Teplice,2.0,1.0,1.0
