Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,10,2018-09-28,Viktoria Plzeň,Sparta Prague,1,0,1.0
2018-2019,Regular season,10,2018-09-29,Dukla Prague,Fastav Zlín,1,1,0.5
2018-2019,Regular season,10,2018-09-29,Slovácko,Opava,0,2,0.0
2018-2019,Regular season,10,2018-09-29,Příbram,Mladá Boleslav,3,0,1.0
2018-2019,Regular season,10,2018-09-29,Slovan Liberec,Sigma Olomouc,3,0,1.0
2018-2019,Regular season,10,2018-09-30,Baník Ostrava,Slavia Prague,2,1,1.0
2018-2019,Regular season,10,2018-09-30,Teplice,Jablonec,1,2,0.0
2018-2019,Regular season,11,2018-10-05,Fastav Zlín,Slovan Liberec,0,1,0.0
2018-2019,Regular season,11,2018-10-06,Mladá Boleslav,Baník Ostrava,2,2,0.5
2018-2019,Regular season,11,2018-10-06,Sigma Olomouc,Sparta Prague,1,0,1.0
2018-2019,Regular season,11,2018-10-07,Karviná,Dukla Prague,0,2,0.0
2018-2019,Regular season,11,2018-10-07,Opava,Bohemians 1905,0,1,0.0
2018-2019,Regular season,11,2018-10-07,Viktoria Plzeň,Teplice,1,0,1.0
2018-2019,Regular season,11,2018-10-07,Jablonec,Slovácko,2,0,1.0
2018-2019,Regular season,11,2018-10-07,Slavia Prague,Příbram,4,1,1.0
2018-2019,Regular season,12,2018-10-19,Bohemians 1905,Viktoria Plzeň,2,2,0.5
2018-2019,Regular season,12,2018-10-20,Sigma Olomouc,Fastav Zlín,1,1,0.5
2018-2019,Regular season,12,2018-10-20,Slovácko,Teplice,0,2,0.0
2018-2019,Regular season,12,2018-10-20,Baník Ostrava,Karviná,1,1,0.5
2018-2019,Regular season,12,2018-10-20,Příbram,Jablonec,0,6,0.0
2018-2019,Regular season,12,2018-10-21,Dukla Prague,Opava,1,0,1.0
2018-2019,Regular season,12,2018-10-21,Slovan Liberec,Slavia Prague,0,1,0.0
2018-2019,Regular season,12,2018-10-22,Sparta Prague,Mladá Boleslav,4,1,1.0
2018-2019,Regular season,13,2018-10-26,Teplice,Baník Ostrava,0,1,0.0
2018-2019,Regular season,13,2018-10-27,Mladá Boleslav,Bohemians 1905,3,0,1.0
2018-2019,Regular season,13,2018-10-27,Opava,Příbram,5,0,1.0
2018-2019,Regular season,13,2018-10-27,Karviná,Sigma Olomouc,2,3,0.0
2018-2019,Regular season,13,2018-10-27,Fastav Zlín,Sparta Prague,1,0,1.0
2018-2019,Regular season,13,2018-10-28,Viktoria Plzeň,Slovácko,2,1,1.0
