Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,1,2015-07-24,Viktoria Plzeň,Slavia Prague,2,1,1.0
2015-2016,1,2015-07-24,Vysočina Jihlava,Sparta Prague,0,0,0.5
2015-2016,1,2015-07-25,Zbrojovka Brno,Baník Ostrava,2,1,1.0
2015-2016,1,2015-07-25,Slovácko,Dukla Prague,4,3,1.0
2015-2016,1,2015-07-25,Příbram,Jablonec,2,3,0.0
2015-2016,1,2015-07-25,Teplice,Sigma Olomouc,2,2,0.5
2015-2016,1,2015-07-26,Bohemians 1905,Fastav Zlín,0,1,0.0
2015-2016,1,2015-07-26,Slovan Liberec,Mladá Boleslav,4,2,1.0
2015-2016,2,2015-08-01,Sparta Prague,Baník Ostrava,3,1,1.0
2015-2016,2,2015-08-01,Fastav Zlín,Vysočina Jihlava,1,0,1.0
2015-2016,2,2015-08-01,Teplice,Slovácko,2,0,1.0
2015-2016,2,2015-08-01,Sigma Olomouc,Příbram,1,3,0.0
2015-2016,2,2015-08-01,Dukla Prague,Viktoria Plzeň,1,0,1.0
2015-2016,2,2015-08-02,Mladá Boleslav,Zbrojovka Brno,2,0,1.0
2015-2016,2,2015-08-02,Slavia Prague,Slovan Liberec,2,2,0.5
2015-2016,2,2015-08-02,Jablonec,Bohemians 1905,2,2,0.5
2015-2016,3,2015-08-07,Zbrojovka Brno,Slavia Prague,1,0,1.0
2015-2016,3,2015-08-08,Bohemians 1905,Sigma Olomouc,1,1,0.5
2015-2016,3,2015-08-08,Příbram,Teplice,3,2,1.0
2015-2016,3,2015-08-08,Baník Ostrava,Mladá Boleslav,2,2,0.5
2015-2016,3,2015-08-09,Viktoria Plzeň,Slovácko,2,2,0.5
2015-2016,3,2015-08-09,Sparta Prague,Fastav Zlín,3,0,1.0
2015-2016,3,2015-08-10,Slovan Liberec,Dukla Prague,1,1,0.5
2015-2016,3,2015-08-10,Vysočina Jihlava,Jablonec,1,0,1.0
2015-2016,4,2015-08-14,Teplice,Viktoria Plzeň,2,2,0.5
2015-2016,4,2015-08-14,Mladá Boleslav,Sparta Prague,2,4,0.0
2015-2016,4,2015-08-15,Sigma Olomouc,Zbrojovka Brno,1,1,0.5
2015-2016,4,2015-08-15,Fastav Zlín,Baník Ostrava,2,0,1.0
2015-2016,4,2015-08-15,Dukla Prague,Bohemians 1905,2,2,0.5
2015-2016,4,2015-08-16,Slavia Prague,Vysočina Jihlava,4,0,1.0
2015-2016,4,2015-08-16,Slovácko,Příbram,2,1,1.0
2015-2016,4,2015-08-16,Jablonec,Slovan Liberec,1,1,0.5
2015-2016,5,2015-08-21,Mladá Boleslav,Fastav Zlín,5,2,1.0
2015-2016,5,2015-08-22,Vysočina Jihlava,Slovácko,1,2,0.0
2015-2016,5,2015-08-22,Bohemians 1905,Příbram,1,1,0.5
2015-2016,5,2015-08-22,Baník Ostrava,Slavia Prague,1,3,0.0
2015-2016,5,2015-08-23,Slovan Liberec,Teplice,2,0,1.0
2015-2016,5,2015-08-23,Zbrojovka Brno,Jablonec,0,3,0.0
2015-2016,5,2015-08-23,Viktoria Plzeň,Sigma Olomouc,2,0,1.0
2015-2016,5,2015-08-23,Sparta Prague,Dukla Prague,2,0,1.0
2015-2016,6,2015-09-12,Sigma Olomouc,Vysočina Jihlava,2,1,1.0
2015-2016,6,2015-09-12,Slovácko,Slovan Liberec,1,2,0.0
2015-2016,6,2015-09-12,Teplice,Bohemians 1905,2,1,1.0
2015-2016,6,2015-09-12,Fastav Zlín,Zbrojovka Brno,2,1,1.0
2015-2016,6,2015-09-12,Slavia Prague,Mladá Boleslav,1,1,0.5
2015-2016,6,2015-09-13,Jablonec,Sparta Prague,1,1,0.5
2015-2016,6,2015-09-13,Příbram,Viktoria Plzeň,0,4,0.0
2015-2016,6,2015-09-14,Dukla Prague,Baník Ostrava,4,1,1.0
2015-2016,7,2015-09-18,Vysočina Jihlava,Dukla Prague,2,2,0.5
2015-2016,7,2015-09-19,Zbrojovka Brno,Slovácko,2,0,1.0
2015-2016,7,2015-09-19,Fastav Zlín,Slavia Prague,0,2,0.0
2015-2016,7,2015-09-19,Baník Ostrava,Jablonec,1,2,0.0
2015-2016,7,2015-09-19,Mladá Boleslav,Teplice,4,3,1.0
2015-2016,7,2015-09-20,Bohemians 1905,Viktoria Plzeň,0,1,0.0
2015-2016,7,2015-09-20,Sparta Prague,Sigma Olomouc,4,0,1.0
2015-2016,7,2015-09-20,Slovan Liberec,Příbram,3,0,1.0
