Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2021-2022,Regular season,1,2021-07-24,FK Pardubice,Karviná,2,2,0.5
2021-2022,Regular season,1,2021-07-24,Jablonec,Baník Ostrava,1,0,1.0
2021-2022,Regular season,1,2021-07-24,Hradec Králové,Bohemians 1905,1,1,0.5
2021-2022,Regular season,1,2021-07-24,Sparta Prague,Sigma Olomouc,3,2,1.0
2021-2022,Regular season,1,2021-07-25,Viktoria Plzeň,Mladá Boleslav,2,1,1.0
2021-2022,Regular season,1,2021-07-25,České Budĕjov.,Teplice,1,0,1.0
2021-2022,Regular season,1,2021-07-25,Slovan Liberec,Slovácko,0,1,0.0
2021-2022,Regular season,1,2021-07-25,Fastav Zlín,Slavia Prague,0,1,0.0
2021-2022,Regular season,2,2021-07-30,Teplice,Slavia Prague,1,3,0.0
2021-2022,Regular season,2,2021-07-31,Mladá Boleslav,Jablonec,3,0,1.0
2021-2022,Regular season,2,2021-07-31,Sigma Olomouc,FK Pardubice,3,2,1.0
2021-2022,Regular season,2,2021-07-31,Karviná,Hradec Králové,1,1,0.5
2021-2022,Regular season,2,2021-07-31,Slovan Liberec,Sparta Prague,0,5,0.0
2021-2022,Regular season,2,2021-08-01,Slovácko,České Budĕjov.,1,0,1.0
2021-2022,Regular season,2,2021-08-01,Baník Ostrava,Fastav Zlín,5,1,1.0
2021-2022,Regular season,2,2021-08-01,Bohemians 1905,Viktoria Plzeň,1,2,0.0
2021-2022,Regular season,3,2021-08-07,Fastav Zlín,Teplice,3,0,1.0
2021-2022,Regular season,3,2021-08-07,Hradec Králové,Slovan Liberec,1,1,0.5
2021-2022,Regular season,3,2021-08-07,Sparta Prague,Karviná,2,0,1.0
2021-2022,Regular season,3,2021-08-07,České Budĕjov.,Baník Ostrava,1,3,0.0
2021-2022,Regular season,3,2021-08-08,Jablonec,Bohemians 1905,2,2,0.5
2021-2022,Regular season,3,2021-08-08,FK Pardubice,Mladá Boleslav,1,1,0.5
2021-2022,Regular season,3,2021-08-08,Viktoria Plzeň,Slovácko,2,1,1.0
2021-2022,Regular season,4,2021-08-14,Sigma Olomouc,České Budĕjov.,3,3,0.5
2021-2022,Regular season,4,2021-08-14,Karviná,Fastav Zlín,2,3,0.0
2021-2022,Regular season,4,2021-08-14,Mladá Boleslav,Slavia Prague,0,2,0.0
2021-2022,Regular season,4,2021-08-14,Bohemians 1905,Sparta Prague,1,1,0.5
2021-2022,Regular season,4,2021-08-15,Teplice,Jablonec,1,0,1.0
2021-2022,Regular season,4,2021-08-15,Slovácko,Hradec Králové,1,0,1.0
2021-2022,Regular season,4,2021-08-15,Baník Ostrava,FK Pardubice,3,1,1.0
2021-2022,Regular season,4,2021-08-15,Slovan Liberec,Viktoria Plzeň,0,1,0.0
2021-2022,Regular season,5,2021-08-21,Mladá Boleslav,Teplice,3,1,1.0
2021-2022,Regular season,5,2021-08-21,FK Pardubice,Bohemians 1905,3,0,1.0
2021-2022,Regular season,5,2021-08-21,Fastav Zlín,Sigma Olomouc,1,4,0.0
2021-2022,Regular season,5,2021-08-21,Sparta Prague,Hradec Králové,4,0,1.0
2021-2022,Regular season,5,2021-08-22,Viktoria Plzeň,Karviná,2,0,1.0
