Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2023-2024,Regular season,1,2023-07-14,Pirin Blagoevgrad,Beroe,1,2,0.0
2023-2024,Regular season,1,2023-07-14,FK Levski 2005,Ludogorets,3,1,1.0
2023-2024,Regular season,1,2023-07-15,Levski Sofia,CSKA 1948,1,2,0.0
2023-2024,Regular season,1,2023-07-15,Arda,Cherno More,3,3,0.5
2023-2024,Regular season,1,2023-07-16,Loko Plovdiv,Botev Plovdiv,1,1,0.5
2023-2024,Regular season,1,2023-07-16,PFC Hebar Pazardzhik,CSKA Sofia,0,0,0.5
2023-2024,Regular season,1,2023-07-17,Lokomotiv Sofia,Botev Vratsa,1,0,1.0
2023-2024,Regular season,1,2023-07-17,Etar,Slavia Sofia,0,1,0.0
2023-2024,Regular season,2,2023-07-21,CSKA 1948,Pirin Blagoevgrad,3,0,1.0
2023-2024,Regular season,2,2023-07-21,CSKA Sofia,FK Levski 2005,1,0,1.0
2023-2024,Regular season,2,2023-07-22,Botev Plovdiv,Levski Sofia,1,3,0.0
2023-2024,Regular season,2,2023-07-22,Ludogorets,Etar,5,0,1.0
2023-2024,Regular season,2,2023-07-23,Cherno More,PFC Hebar Pazardzhik,1,0,1.0
2023-2024,Regular season,2,2023-07-23,Lokomotiv Sofia,Loko Plovdiv,2,4,0.0
2023-2024,Regular season,2,2023-07-24,Botev Vratsa,Slavia Sofia,2,0,1.0
2023-2024,Regular season,2,2023-07-24,Beroe,Arda,1,0,1.0
2023-2024,Regular season,3,2023-07-28,FK Levski 2005,Cherno More,1,3,0.0
2023-2024,Regular season,3,2023-07-29,PFC Hebar Pazardzhik,Beroe,1,0,1.0
2023-2024,Regular season,3,2023-07-29,Pirin Blagoevgrad,Botev Plovdiv,0,0,0.5
2023-2024,Regular season,3,2023-07-30,Levski Sofia,Lokomotiv Sofia,6,0,1.0
2023-2024,Regular season,3,2023-07-31,Loko Plovdiv,Botev Vratsa,4,0,1.0
2023-2024,Regular season,4,2023-08-04,Cherno More,Etar,2,1,1.0
2023-2024,Regular season,4,2023-08-04,Botev Plovdiv,Arda,0,2,0.0
2023-2024,Regular season,4,2023-08-05,Botev Vratsa,Ludogorets,0,5,0.0
2023-2024,Regular season,4,2023-08-05,Lokomotiv Sofia,Pirin Blagoevgrad,2,0,1.0
2023-2024,Regular season,4,2023-08-06,CSKA Sofia,Slavia Sofia,1,1,0.5
2023-2024,Regular season,4,2023-08-06,Loko Plovdiv,Levski Sofia,2,1,1.0
2023-2024,Regular season,4,2023-08-07,CSKA 1948,PFC Hebar Pazardzhik,1,1,0.5
2023-2024,Regular season,4,2023-08-07,Beroe,FK Levski 2005,2,0,1.0
2023-2024,Regular season,5,2023-08-11,Arda,Lokomotiv Sofia,1,0,1.0
2023-2024,Regular season,5,2023-08-11,Pirin Blagoevgrad,Loko Plovdiv,0,1,0.0
2023-2024,Regular season,5,2023-08-12,PFC Hebar Pazardzhik,Botev Plovdiv,1,0,1.0
2023-2024,Regular season,5,2023-08-12,Slavia Sofia,Cherno More,1,5,0.0
2023-2024,Regular season,5,2023-08-13,Levski Sofia,Botev Vratsa,1,0,1.0
2023-2024,Regular season,5,2023-08-13,Ludogorets,CSKA Sofia,3,0,1.0
2023-2024,Regular season,5,2023-08-14,Etar,Beroe,2,2,0.5
2023-2024,Regular season,5,2023-08-14,FK Levski 2005,CSKA 1948,1,0,1.0
2023-2024,Regular season,6,2023-08-18,Lokomotiv Sofia,PFC Hebar Pazardzhik,0,1,0.0
2023-2024,Regular season,6,2023-08-18,Loko Plovdiv,Arda,1,0,1.0
2023-2024,Regular season,6,2023-08-19,Beroe,Slavia Sofia,3,0,1.0
2023-2024,Regular season,6,2023-08-19,Botev Vratsa,CSKA Sofia,0,2,0.0
