Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Regular season,11,2019-09-29,Dunav Ruse,Ludogorets,0,1,0.0
2019-2020,Regular season,11,2019-09-29,Beroe,CSKA Sofia,2,1,1.0
2019-2020,Regular season,11,2019-09-30,Arda,Etar,2,1,1.0
2019-2020,Regular season,11,2019-09-30,Vitosha,Loko Plovdiv,2,3,0.0
2019-2020,Regular season,12,2019-10-04,Slavia Sofia,Tsarsko Selo,1,0,1.0
2019-2020,Regular season,12,2019-10-04,Cherno More,Beroe,2,0,1.0
2019-2020,Regular season,12,2019-10-05,Botev Vratsa,Botev Plovdiv,3,0,1.0
2019-2020,Regular season,12,2019-10-05,Etar,Loko Plovdiv,0,5,0.0
2019-2020,Regular season,12,2019-10-05,CSKA Sofia,Vitosha,4,0,1.0
2019-2020,Regular season,12,2019-10-06,Arda,Dunav Ruse,0,2,0.0
2019-2020,Regular season,12,2019-10-06,Ludogorets,Levski Sofia,2,0,1.0
2019-2020,Regular season,13,2019-10-18,Vitosha,Cherno More,0,2,0.0
2019-2020,Regular season,13,2019-10-18,Dunav Ruse,Etar,0,2,0.0
2019-2020,Regular season,13,2019-10-19,Botev Plovdiv,Ludogorets,0,1,0.0
2019-2020,Regular season,13,2019-10-19,Levski Sofia,Arda,2,1,1.0
2019-2020,Regular season,13,2019-10-20,Loko Plovdiv,CSKA Sofia,1,0,1.0
2019-2020,Regular season,13,2019-10-21,Tsarsko Selo,Botev Vratsa,3,0,1.0
2019-2020,Regular season,13,2019-10-21,Beroe,Slavia Sofia,1,2,0.0
2019-2020,Regular season,14,2019-10-29,Beroe,Botev Vratsa,4,0,1.0
2019-2020,Regular season,14,2019-10-29,Loko Plovdiv,Cherno More,1,0,1.0
2019-2020,Regular season,14,2019-10-29,Tsarsko Selo,Ludogorets,0,2,0.0
2019-2020,Regular season,14,2019-10-30,Botev Plovdiv,Arda,1,1,0.5
2019-2020,Regular season,14,2019-10-30,Etar,CSKA Sofia,0,4,0.0
2019-2020,Regular season,14,2019-10-31,Vitosha,Slavia Sofia,0,1,0.0
2019-2020,Regular season,14,2019-10-31,Levski Sofia,Dunav Ruse,2,0,1.0
2019-2020,Regular season,15,2019-11-02,Ludogorets,Beroe,3,1,1.0
2019-2020,Regular season,15,2019-11-05,Botev Vratsa,Vitosha,1,1,0.5
2019-2020,Regular season,15,2019-11-05,Slavia Sofia,Loko Plovdiv,1,1,0.5
2019-2020,Regular season,15,2019-11-05,Cherno More,CSKA Sofia,0,2,0.0
2019-2020,Regular season,15,2019-11-06,Dunav Ruse,Botev Plovdiv,1,2,0.0
2019-2020,Regular season,15,2019-11-06,Levski Sofia,Etar,3,0,1.0
2019-2020,Regular season,15,2019-11-07,Arda,Tsarsko Selo,0,2,0.0
2019-2020,Regular season,16,2019-11-08,Loko Plovdiv,Botev Vratsa,2,0,1.0
2019-2020,Regular season,16,2019-11-09,Etar,Cherno More,1,0,1.0
2019-2020,Regular season,16,2019-11-09,CSKA Sofia,Slavia Sofia,1,0,1.0
2019-2020,Regular season,16,2019-11-10,Beroe,Arda,0,1,0.0
2019-2020,Regular season,16,2019-11-10,Botev Plovdiv,Levski Sofia,1,0,1.0
2019-2020,Regular season,16,2019-11-10,Vitosha,Ludogorets,0,1,0.0
2019-2020,Regular season,16,2019-11-11,Tsarsko Selo,Dunav Ruse,1,2,0.0
2019-2020,Regular season,17,2019-11-22,Arda,Vitosha,2,0,1.0
2019-2020,Regular season,17,2019-11-23,Slavia Sofia,Cherno More,0,1,0.0
2019-2020,Regular season,17,2019-11-23,Botev Vratsa,CSKA Sofia,0,3,0.0
2019-2020,Regular season,17,2019-11-23,Ludogorets,Loko Plovdiv,2,1,1.0
2019-2020,Regular season,17,2019-11-24,Dunav Ruse,Beroe,0,3,0.0
2019-2020,Regular season,17,2019-11-24,Levski Sofia,Tsarsko Selo,2,0,1.0
2019-2020,Regular season,17,2019-11-25,Botev Plovdiv,Etar,2,0,1.0
2019-2020,Regular season,18,2019-11-29,Etar,Slavia Sofia,0,2,0.0
2019-2020,Regular season,18,2019-11-30,Cherno More,Botev Vratsa,4,1,1.0
2019-2020,Regular season,18,2019-11-30,Tsarsko Selo,Botev Plovdiv,0,3,0.0
2019-2020,Regular season,18,2019-11-30,Beroe,Levski Sofia,1,1,0.5
2019-2020,Regular season,18,2019-12-01,Loko Plovdiv,Arda,0,0,0.5
2019-2020,Regular season,18,2019-12-01,Vitosha,Dunav Ruse,1,1,0.5
2019-2020,Regular season,18,2019-12-01,CSKA Sofia,Ludogorets,0,0,0.5
2019-2020,Regular season,19,2019-12-06,Tsarsko Selo,Etar,2,2,0.5
2019-2020,Regular season,19,2019-12-07,Botev Plovdiv,Beroe,3,1,1.0
2019-2020,Regular season,19,2019-12-07,Ludogorets,Cherno More,1,1,0.5
2019-2020,Regular season,19,2019-12-08,Botev Vratsa,Slavia Sofia,0,2,0.0
2019-2020,Regular season,19,2019-12-08,Arda,CSKA Sofia,0,0,0.5
2019-2020,Regular season,19,2019-12-08,Levski Sofia,Vitosha,2,0,1.0
2019-2020,Regular season,19,2019-12-09,Dunav Ruse,Loko Plovdiv,0,3,0.0
2019-2020,Regular season,20,2019-12-13,Etar,Botev Vratsa,1,1,0.5
2019-2020,Regular season,20,2019-12-14,Beroe,Tsarsko Selo,2,0,1.0
2019-2020,Regular season,20,2019-12-14,Cherno More,Arda,1,1,0.5
2019-2020,Regular season,20,2019-12-14,CSKA Sofia,Dunav Ruse,4,0,1.0
2019-2020,Regular season,20,2019-12-15,Vitosha,Botev Plovdiv,0,2,0.0
2019-2020,Regular season,20,2019-12-15,Loko Plovdiv,Levski Sofia,0,0,0.5
2019-2020,Regular season,20,2019-12-15,Slavia Sofia,Ludogorets,1,1,0.5
2019-2020,Regular season,21,2020-02-14,Tsarsko Selo,Vitosha,1,0,1.0
2019-2020,Regular season,21,2020-02-15,Levski Sofia,CSKA Sofia,0,0,0.5
2019-2020,Regular season,21,2020-02-15,Ludogorets,Botev Vratsa,6,0,1.0
2019-2020,Regular season,21,2020-02-16,Beroe,Etar,2,0,1.0
2019-2020,Regular season,21,2020-02-16,Botev Plovdiv,Loko Plovdiv,0,0,0.5
2019-2020,Regular season,21,2020-02-16,Dunav Ruse,Cherno More,0,2,0.0
2019-2020,Regular season,21,2020-02-17,Arda,Slavia Sofia,0,1,0.0
2019-2020,Regular season,22,2020-02-22,Botev Vratsa,Arda,3,1,1.0
2019-2020,Regular season,22,2020-02-22,Cherno More,Levski Sofia,2,2,0.5
2019-2020,Regular season,22,2020-02-22,CSKA Sofia,Botev Plovdiv,1,0,1.0
2019-2020,Regular season,22,2020-02-23,Vitosha,Beroe,1,2,0.0
2019-2020,Regular season,22,2020-02-23,Loko Plovdiv,Tsarsko Selo,4,0,1.0
2019-2020,Regular season,22,2020-02-23,Etar,Ludogorets,1,1,0.5
2019-2020,Regular season,22,2020-02-24,Slavia Sofia,Dunav Ruse,3,1,1.0
2019-2020,Regular season,23,2020-02-28,Beroe,Loko Plovdiv,2,0,1.0
2019-2020,Regular season,23,2020-02-29,Dunav Ruse,Botev Vratsa,0,0,0.5
2019-2020,Regular season,23,2020-02-29,Botev Plovdiv,Cherno More,1,1,0.5
2019-2020,Regular season,23,2020-02-29,Tsarsko Selo,CSKA Sofia,2,1,1.0
2019-2020,Regular season,23,2020-03-01,Levski Sofia,Slavia Sofia,1,2,0.0
2019-2020,Regular season,23,2020-03-02,Vitosha,Etar,2,6,0.0
2019-2020,Regular season,24,2020-03-06,Cherno More,Tsarsko Selo,1,0,1.0
2019-2020,Regular season,24,2020-03-07,Etar,Arda,1,1,0.5
2019-2020,Regular season,24,2020-03-07,Loko Plovdiv,Vitosha,1,1,0.5
2019-2020,Regular season,24,2020-03-07,CSKA Sofia,Beroe,2,0,1.0
2019-2020,Regular season,24,2020-03-08,Slavia Sofia,Botev Plovdiv,2,1,1.0
2019-2020,Regular season,24,2020-03-08,Botev Vratsa,Levski Sofia,0,0,0.5
2019-2020,Regular season,24,2020-03-08,Ludogorets,Dunav Ruse,5,1,1.0
2019-2020,Regular season,25,2020-06-05,Loko Plovdiv,Etar,2,0,1.0
2019-2020,Regular season,25,2020-06-05,Levski Sofia,Ludogorets,0,1,0.0
2019-2020,Regular season,25,2020-06-06,Dunav Ruse,Arda,0,0,0.5
2019-2020,Regular season,25,2020-06-06,Botev Plovdiv,Botev Vratsa,0,1,0.0
2019-2020,Regular season,25,2020-06-06,Vitosha,CSKA Sofia,0,1,0.0
2019-2020,Regular season,25,2020-06-07,Beroe,Cherno More,3,0,1.0
2019-2020,Regular season,25,2020-06-08,Tsarsko Selo,Slavia Sofia,1,3,0.0
2019-2020,Regular season,23,2020-06-10,Arda,Ludogorets,1,1,0.5
