Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,12,2017-09-22,CS U Craiova,Voluntari,1,1,0.5
2017-2018,Regular season,12,2017-09-23,Concordia,Sepsi,2,1,1.0
2017-2018,Regular season,12,2017-09-24,Juventus,Gaz Metan,1,1,0.5
2017-2018,Regular season,12,2017-09-24,Poli Iași,Poli Timișoara,1,1,0.5
2017-2018,Regular season,12,2017-09-24,FCSB,Dinamo,1,0,1.0
2017-2018,Regular season,12,2017-09-25,Botoșani,Viitorul,1,0,1.0
2017-2018,Regular season,12,2017-09-25,Astra Giurgiu,CFR Cluj,2,3,0.0
2017-2018,Regular season,11,2017-09-27,Dinamo,Concordia,2,3,0.0
2017-2018,Regular season,13,2017-09-29,Gaz Metan,Botoșani,1,0,1.0
2017-2018,Regular season,13,2017-09-29,Poli Timișoara,CS U Craiova,0,2,0.0
2017-2018,Regular season,13,2017-09-30,Viitorul,Poli Iași,5,2,1.0
2017-2018,Regular season,13,2017-09-30,Dinamo,Astra Giurgiu,1,1,0.5
2017-2018,Regular season,13,2017-10-01,CFR Cluj,Juventus,2,0,1.0
2017-2018,Regular season,13,2017-10-01,Sepsi,FCSB,0,4,0.0
2017-2018,Regular season,13,2017-10-02,Voluntari,Concordia,0,1,0.0
2017-2018,Regular season,14,2017-10-13,Voluntari,FCSB,0,0,0.5
2017-2018,Regular season,14,2017-10-14,Gaz Metan,Viitorul,0,1,0.0
2017-2018,Regular season,14,2017-10-14,Poli Iași,CS U Craiova,1,2,0.0
2017-2018,Regular season,14,2017-10-15,Sepsi,Astra Giurgiu,0,0,0.5
2017-2018,Regular season,14,2017-10-15,CFR Cluj,Botoșani,0,0,0.5
2017-2018,Regular season,14,2017-10-16,Poli Timișoara,Concordia,0,3,0.0
2017-2018,Regular season,14,2017-10-16,Dinamo,Juventus,3,0,1.0
2017-2018,Regular season,15,2017-10-20,Gaz Metan,Poli Iași,0,2,0.0
2017-2018,Regular season,15,2017-10-20,Concordia,CS U Craiova,1,2,0.0
2017-2018,Regular season,15,2017-10-21,Juventus,Sepsi,2,1,1.0
2017-2018,Regular season,15,2017-10-21,Viitorul,CFR Cluj,1,0,1.0
2017-2018,Regular season,15,2017-10-22,Astra Giurgiu,Voluntari,2,3,0.0
2017-2018,Regular season,15,2017-10-22,FCSB,Poli Timișoara,7,0,1.0
2017-2018,Regular season,15,2017-10-23,Botoșani,Dinamo,0,0,0.5
2017-2018,Regular season,16,2017-10-27,Poli Iași,Concordia,3,1,1.0
2017-2018,Regular season,16,2017-10-28,Voluntari,Juventus,0,0,0.5
2017-2018,Regular season,16,2017-10-28,Poli Timișoara,Astra Giurgiu,2,1,1.0
2017-2018,Regular season,16,2017-10-29,CFR Cluj,Gaz Metan,0,0,0.5
2017-2018,Regular season,16,2017-10-29,CS U Craiova,FCSB,2,5,0.0
2017-2018,Regular season,16,2017-10-30,Sepsi,Botoșani,0,2,0.0
2017-2018,Regular season,16,2017-10-30,Dinamo,Viitorul,0,4,0.0
2017-2018,Regular season,17,2017-11-03,Botoșani,Voluntari,1,0,1.0
2017-2018,Regular season,17,2017-11-03,Astra Giurgiu,CS U Craiova,2,2,0.5
2017-2018,Regular season,17,2017-11-04,Viitorul,Sepsi,3,0,1.0
2017-2018,Regular season,17,2017-11-04,Gaz Metan,Dinamo,0,3,0.0
2017-2018,Regular season,17,2017-11-05,CFR Cluj,Poli Iași,1,0,1.0
2017-2018,Regular season,17,2017-11-05,FCSB,Concordia,2,1,1.0
2017-2018,Regular season,17,2017-11-06,Juventus,Poli Timișoara,1,1,0.5
2017-2018,Regular season,18,2017-11-17,Poli Timișoara,Botoșani,1,1,0.5
2017-2018,Regular season,18,2017-11-17,Poli Iași,FCSB,1,0,1.0
2017-2018,Regular season,18,2017-11-18,Sepsi,Gaz Metan,0,0,0.5
2017-2018,Regular season,18,2017-11-18,CS U Craiova,Juventus,3,1,1.0
2017-2018,Regular season,18,2017-11-19,Concordia,Astra Giurgiu,1,2,0.0
2017-2018,Regular season,18,2017-11-19,Dinamo,CFR Cluj,0,2,0.0
2017-2018,Regular season,18,2017-11-20,Voluntari,Viitorul,0,0,0.5
2017-2018,Regular season,19,2017-11-24,Juventus,Concordia,0,5,0.0
2017-2018,Regular season,19,2017-11-24,Botoșani,CS U Craiova,1,0,1.0
2017-2018,Regular season,19,2017-11-25,Viitorul,Poli Timișoara,1,1,0.5
2017-2018,Regular season,19,2017-11-25,Dinamo,Poli Iași,2,1,1.0
2017-2018,Regular season,19,2017-11-26,Gaz Metan,Voluntari,1,1,0.5
2017-2018,Regular season,19,2017-11-26,Astra Giurgiu,FCSB,2,0,1.0
2017-2018,Regular season,19,2017-11-27,CFR Cluj,Sepsi,2,0,1.0
2017-2018,Regular season,20,2017-12-01,Voluntari,CFR Cluj,0,3,0.0
2017-2018,Regular season,20,2017-12-02,Concordia,Botoșani,3,0,1.0
2017-2018,Regular season,20,2017-12-02,CS U Craiova,Viitorul,3,1,1.0
2017-2018,Regular season,20,2017-12-03,Poli Iași,Astra Giurgiu,1,0,1.0
2017-2018,Regular season,20,2017-12-03,FCSB,Juventus,4,0,1.0
2017-2018,Regular season,20,2017-12-04,Poli Timișoara,Gaz Metan,1,1,0.5
2017-2018,Regular season,20,2017-12-04,Sepsi,Dinamo,0,3,0.0
2017-2018,Regular season,21,2017-12-08,Juventus,Astra Giurgiu,0,1,0.0
2017-2018,Regular season,21,2017-12-09,Viitorul,Concordia,3,0,1.0
2017-2018,Regular season,21,2017-12-09,CFR Cluj,Poli Timișoara,1,0,1.0
2017-2018,Regular season,21,2017-12-10,Gaz Metan,CS U Craiova,0,0,0.5
2017-2018,Regular season,21,2017-12-10,Botoșani,FCSB,0,3,0.0
2017-2018,Regular season,21,2017-12-11,Sepsi,Poli Iași,2,1,1.0
2017-2018,Regular season,21,2017-12-11,Dinamo,Voluntari,2,0,1.0
2017-2018,Regular season,22,2017-12-15,Astra Giurgiu,Botoșani,2,1,1.0
2017-2018,Regular season,22,2017-12-16,Concordia,Gaz Metan,1,1,0.5
2017-2018,Regular season,22,2017-12-16,CS U Craiova,CFR Cluj,2,1,1.0
2017-2018,Regular season,22,2017-12-17,Poli Iași,Juventus,3,1,1.0
2017-2018,Regular season,22,2017-12-17,FCSB,Viitorul,2,0,1.0
2017-2018,Regular season,22,2017-12-18,Voluntari,Sepsi,3,0,1.0
2017-2018,Regular season,22,2017-12-18,Poli Timișoara,Dinamo,0,0,0.5
2017-2018,Regular season,23,2018-02-02,Sepsi,Poli Timișoara,1,0,1.0
2017-2018,Regular season,23,2018-02-02,Viitorul,Astra Giurgiu,1,1,0.5
2017-2018,Regular season,23,2018-02-03,Voluntari,Poli Iași,0,4,0.0
2017-2018,Regular season,23,2018-02-03,Gaz Metan,FCSB,1,2,0.0
2017-2018,Regular season,23,2018-02-04,Botoșani,Juventus,0,0,0.5
2017-2018,Regular season,23,2018-02-04,Dinamo,CS U Craiova,2,2,0.5
2017-2018,Regular season,23,2018-02-05,CFR Cluj,Concordia,2,0,1.0
2017-2018,Regular season,24,2018-02-09,Poli Timișoara,Voluntari,2,3,0.0
2017-2018,Regular season,24,2018-02-09,Astra Giurgiu,Gaz Metan,4,3,1.0
2017-2018,Regular season,24,2018-02-10,Juventus,Viitorul,0,1,0.0
2017-2018,Regular season,24,2018-02-10,FCSB,CFR Cluj,1,1,0.5
2017-2018,Regular season,24,2018-02-11,CS U Craiova,Sepsi,1,0,1.0
2017-2018,Regular season,24,2018-02-12,Poli Iași,Botoșani,1,0,1.0
2017-2018,Regular season,24,2018-02-12,Concordia,Dinamo,3,4,0.0
2017-2018,Regular season,25,2018-02-16,Gaz Metan,Juventus,0,0,0.5
2017-2018,Regular season,25,2018-02-16,Voluntari,CS U Craiova,0,1,0.0
2017-2018,Regular season,25,2018-02-17,Sepsi,Concordia,1,1,0.5
2017-2018,Regular season,25,2018-02-17,CFR Cluj,Astra Giurgiu,2,0,1.0
2017-2018,Regular season,25,2018-02-18,Poli Timișoara,Poli Iași,1,2,0.0
2017-2018,Regular season,25,2018-02-18,Dinamo,FCSB,2,2,0.5
2017-2018,Regular season,25,2018-02-19,Viitorul,Botoșani,2,1,1.0
2017-2018,Regular season,26,2018-02-23,CS U Craiova,Poli Timișoara,1,1,0.5
2017-2018,Regular season,26,2018-02-24,Botoșani,Gaz Metan,1,0,1.0
2017-2018,Regular season,26,2018-02-24,Astra Giurgiu,Dinamo,2,0,1.0
2017-2018,Regular season,26,2018-02-24,Poli Iași,Viitorul,0,1,0.0
