Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2023,Regular season,1,2023-04-05,KTP,AC Oulu,0,2,0.0
2023,Regular season,1,2023-04-05,KuPS,Inter Turku,1,2,0.0
2023,Regular season,1,2023-04-05,VPS,Lahti,0,0,0.5
2023,Regular season,1,2023-04-05,SJK,Haka,2,1,1.0
2023,Regular season,1,2023-04-05,IFK Mariehamn,Ilves,1,1,0.5
2023,Regular season,1,2023-04-05,HJK,FC Honka,2,0,1.0
2023,Regular season,2,2023-04-14,KTP,KuPS,0,0,0.5
2023,Regular season,2,2023-04-14,Haka,AC Oulu,2,2,0.5
2023,Regular season,2,2023-04-15,Ilves,Inter Turku,2,1,1.0
2023,Regular season,2,2023-04-15,FC Honka,SJK,0,0,0.5
2023,Regular season,2,2023-04-15,VPS,HJK,0,1,0.0
2023,Regular season,2,2023-04-16,IFK Mariehamn,Lahti,2,3,0.0
2023,Regular season,16,2023-04-19,KuPS,FC Honka,0,1,0.0
2023,Regular season,19,2023-04-19,HJK,VPS,4,0,1.0
2023,Regular season,3,2023-04-22,SJK,Lahti,0,0,0.5
2023,Regular season,3,2023-04-22,KTP,IFK Mariehamn,2,1,1.0
2023,Regular season,3,2023-04-23,KuPS,Ilves,1,0,1.0
2023,Regular season,3,2023-04-23,HJK,AC Oulu,1,1,0.5
2023,Regular season,3,2023-04-24,Haka,FC Honka,1,1,0.5
2023,Regular season,4,2023-04-29,HJK,Haka,2,0,1.0
2023,Regular season,4,2023-04-29,AC Oulu,SJK,0,3,0.0
2023,Regular season,4,2023-04-29,VPS,FC Honka,0,0,0.5
2023,Regular season,4,2023-04-29,Ilves,KTP,1,0,1.0
2023,Regular season,4,2023-04-30,IFK Mariehamn,KuPS,0,2,0.0
2023,Regular season,5,2023-05-05,Haka,KTP,4,2,1.0
2023,Regular season,5,2023-05-05,SJK,Inter Turku,2,1,1.0
2023,Regular season,5,2023-05-05,FC Honka,Lahti,3,0,1.0
2023,Regular season,5,2023-05-05,Ilves,AC Oulu,1,2,0.0
2023,Regular season,5,2023-05-05,VPS,IFK Mariehamn,2,1,1.0
2023,Regular season,5,2023-05-05,KuPS,HJK,2,1,1.0
2023,Regular season,15,2023-05-09,FC Honka,Haka,0,2,0.0
2023,Regular season,15,2023-05-09,KTP,HJK,3,3,0.5
2023,Regular season,18,2023-05-09,AC Oulu,KuPS,0,2,0.0
2023,Regular season,6,2023-05-13,Lahti,KTP,0,0,0.5
2023,Regular season,6,2023-05-13,FC Honka,KuPS,0,1,0.0
2023,Regular season,6,2023-05-13,HJK,Inter Turku,4,1,1.0
2023,Regular season,6,2023-05-13,AC Oulu,VPS,2,1,1.0
2023,Regular season,6,2023-05-13,SJK,Ilves,1,0,1.0
2023,Regular season,6,2023-05-13,IFK Mariehamn,Haka,2,1,1.0
2023,Regular season,7,2023-05-20,KuPS,Lahti,2,0,1.0
2023,Regular season,7,2023-05-21,Ilves,HJK,1,1,0.5
2023,Regular season,7,2023-05-22,AC Oulu,FC Honka,1,3,0.0
2023,Regular season,7,2023-05-22,Haka,VPS,2,2,0.5
