Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,1,2015-08-21,Málaga,Sevilla,0,0,0.5
2015-2016,1,2015-08-22,La Coruña,Real Sociedad,0,0,0.5
2015-2016,1,2015-08-22,Espanyol,Getafe,1,0,0.0
2015-2016,1,2015-08-22,Atlético Madrid,Las Palmas,1,0,0.0
2015-2016,1,2015-08-22,Rayo Vallecano,Valencia,0,0,0.5
2015-2016,1,2015-08-23,Athletic Club,Barcelona,0,1,1.0
2015-2016,1,2015-08-23,Sporting Gijón,Real Madrid,0,0,0.5
2015-2016,1,2015-08-23,Levante,Celta Vigo,1,2,1.0
2015-2016,1,2015-08-23,Betis,Villarreal,1,1,0.5
2015-2016,1,2015-08-24,Granada,Eibar,1,3,1.0
2015-2016,2,2015-08-28,Villarreal,Espanyol,3,1,0.0
2015-2016,2,2015-08-29,Real Sociedad,Sporting Gijón,0,0,0.5
2015-2016,2,2015-08-29,Barcelona,Málaga,1,0,0.0
2015-2016,2,2015-08-29,Celta Vigo,Rayo Vallecano,3,0,0.0
2015-2016,2,2015-08-29,Real Madrid,Betis,5,0,0.0
2015-2016,2,2015-08-30,Eibar,Athletic Club,2,0,0.0
2015-2016,2,2015-08-30,Valencia,La Coruña,1,1,0.5
2015-2016,2,2015-08-30,Sevilla,Atlético Madrid,0,3,1.0
2015-2016,2,2015-08-30,Las Palmas,Levante,0,0,0.5
2015-2016,2,2015-08-30,Getafe,Granada,1,2,1.0
2015-2016,3,2015-09-11,Levante,Sevilla,1,1,0.5
2015-2016,3,2015-09-12,Espanyol,Real Madrid,0,6,1.0
2015-2016,3,2015-09-12,Sporting Gijón,Valencia,0,1,1.0
2015-2016,3,2015-09-12,Atlético Madrid,Barcelona,1,2,1.0
2015-2016,3,2015-09-12,Betis,Real Sociedad,1,0,0.0
2015-2016,3,2015-09-13,Granada,Villarreal,1,3,1.0
2015-2016,3,2015-09-13,Athletic Club,Getafe,3,1,0.0
2015-2016,3,2015-09-13,Celta Vigo,Las Palmas,3,3,0.5
2015-2016,3,2015-09-13,Málaga,Eibar,0,0,0.5
2015-2016,3,2015-09-14,Rayo Vallecano,La Coruña,1,3,1.0
2015-2016,4,2015-09-18,Getafe,Málaga,1,0,0.0
2015-2016,4,2015-09-19,Real Madrid,Granada,1,0,0.0
2015-2016,4,2015-09-19,Valencia,Betis,0,0,0.5
2015-2016,4,2015-09-19,Eibar,Atlético Madrid,0,2,1.0
2015-2016,4,2015-09-19,Real Sociedad,Espanyol,2,3,1.0
2015-2016,4,2015-09-20,Sevilla,Celta Vigo,1,2,1.0
2015-2016,4,2015-09-20,La Coruña,Sporting Gijón,2,3,1.0
2015-2016,4,2015-09-20,Villarreal,Athletic Club,3,1,0.0
2015-2016,4,2015-09-20,Las Palmas,Rayo Vallecano,0,1,1.0
2015-2016,4,2015-09-20,Barcelona,Levante,4,1,0.0
2015-2016,5,2015-09-22,Espanyol,Valencia,1,0,0.0
2015-2016,5,2015-09-22,Atlético Madrid,Getafe,2,0,0.0
2015-2016,5,2015-09-22,Granada,Real Sociedad,0,3,1.0
2015-2016,5,2015-09-23,Levante,Eibar,2,2,0.5
2015-2016,5,2015-09-23,Rayo Vallecano,Sporting Gijón,2,1,0.0
2015-2016,5,2015-09-23,Celta Vigo,Barcelona,4,1,0.0
2015-2016,5,2015-09-23,Las Palmas,Sevilla,2,0,0.0
2015-2016,5,2015-09-23,Athletic Club,Real Madrid,1,2,1.0
2015-2016,5,2015-09-23,Málaga,Villarreal,0,1,1.0
2015-2016,5,2015-09-24,Betis,La Coruña,1,2,1.0
2015-2016,6,2015-09-25,Valencia,Granada,1,0,0.0
2015-2016,6,2015-09-26,Barcelona,Las Palmas,2,1,0.0
2015-2016,6,2015-09-26,Real Madrid,Málaga,0,0,0.5
2015-2016,6,2015-09-26,Villarreal,Atlético Madrid,1,0,0.0
2015-2016,6,2015-09-26,Sevilla,Rayo Vallecano,3,2,0.0
2015-2016,6,2015-09-26,Eibar,Celta Vigo,1,1,0.5
2015-2016,6,2015-09-27,Sporting Gijón,Betis,1,2,1.0
2015-2016,6,2015-09-27,La Coruña,Espanyol,3,0,0.0
2015-2016,6,2015-09-27,Getafe,Levante,3,0,0.0
2015-2016,6,2015-09-27,Real Sociedad,Athletic Club,0,0,0.5
2015-2016,7,2015-10-02,Celta Vigo,Getafe,0,0,0.5
2015-2016,7,2015-10-03,Sevilla,Barcelona,2,1,0.0
2015-2016,7,2015-10-03,Granada,La Coruña,1,1,0.5
2015-2016,7,2015-10-03,Espanyol,Sporting Gijón,1,2,1.0
2015-2016,7,2015-10-03,Las Palmas,Eibar,0,2,1.0
2015-2016,7,2015-10-03,Málaga,Real Sociedad,3,1,0.0
2015-2016,7,2015-10-04,Rayo Vallecano,Betis,0,2,1.0
