Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2005-2006,1,2005-08-27,Alavés,Barcelona,0,0,0.5
2005-2006,1,2005-08-27,Valencia,Betis,1,0,0.0
2005-2006,1,2005-08-27,Athletic Club,Real Sociedad,3,0,0.0
2005-2006,1,2005-08-28,Atlético Madrid,Zaragoza,0,0,0.5
2005-2006,1,2005-08-28,Espanyol,Getafe,0,2,1.0
2005-2006,1,2005-08-28,Celta Vigo,Málaga,2,0,0.0
2005-2006,1,2005-08-28,Osasuna,Villarreal,2,1,0.0
2005-2006,1,2005-08-28,Mallorca,La Coruña,0,1,1.0
2005-2006,1,2005-08-28,Sevilla,Racing Sant,1,0,0.0
2005-2006,1,2005-08-28,Cádiz,Real Madrid,1,2,1.0
2005-2006,2,2005-09-10,Real Madrid,Celta Vigo,2,3,1.0
2005-2006,2,2005-09-10,Betis,Osasuna,1,0,0.0
2005-2006,2,2005-09-10,La Coruña,Atlético Madrid,1,0,0.0
2005-2006,2,2005-09-11,Racing Sant,Cádiz,0,1,1.0
2005-2006,2,2005-09-11,Real Sociedad,Alavés,2,1,0.0
2005-2006,2,2005-09-11,Barcelona,Mallorca,2,0,0.0
2005-2006,2,2005-09-11,Getafe,Athletic Club,1,1,0.5
2005-2006,2,2005-09-11,Villarreal,Sevilla,1,1,0.5
2005-2006,2,2005-09-11,Zaragoza,Valencia,2,2,0.5
2005-2006,2,2005-09-11,Málaga,Espanyol,1,2,1.0
2005-2006,3,2005-09-17,Valencia,La Coruña,2,2,0.5
2005-2006,3,2005-09-17,Mallorca,Real Sociedad,5,2,0.0
2005-2006,3,2005-09-18,Osasuna,Sevilla,1,0,0.0
2005-2006,3,2005-09-18,Athletic Club,Málaga,1,2,1.0
2005-2006,3,2005-09-18,Espanyol,Real Madrid,1,0,0.0
2005-2006,3,2005-09-18,Atlético Madrid,Barcelona,2,1,0.0
2005-2006,3,2005-09-18,Betis,Zaragoza,0,0,0.5
2005-2006,3,2005-09-18,Celta Vigo,Racing Sant,0,1,1.0
2005-2006,3,2005-09-18,Cádiz,Villarreal,1,1,0.5
2005-2006,3,2005-09-18,Alavés,Getafe,3,4,1.0
2005-2006,4,2005-09-21,Sevilla,Cádiz,0,0,0.5
2005-2006,4,2005-09-21,La Coruña,Betis,1,1,0.5
2005-2006,4,2005-09-21,Barcelona,Valencia,2,2,0.5
2005-2006,4,2005-09-21,Zaragoza,Osasuna,3,1,0.0
2005-2006,4,2005-09-21,Real Sociedad,Atlético Madrid,3,2,0.0
2005-2006,4,2005-09-21,Málaga,Alavés,0,0,0.5
2005-2006,4,2005-09-21,Getafe,Mallorca,1,1,0.5
2005-2006,4,2005-09-21,Villarreal,Celta Vigo,1,2,1.0
2005-2006,4,2005-09-21,Racing Sant,Espanyol,1,0,0.0
2005-2006,4,2005-09-22,Real Madrid,Athletic Club,3,1,0.0
2005-2006,5,2005-09-24,Atlético Madrid,Getafe,0,1,1.0
2005-2006,5,2005-09-24,Zaragoza,La Coruña,1,1,0.5
2005-2006,5,2005-09-24,Valencia,Real Sociedad,2,1,0.0
2005-2006,5,2005-09-24,Espanyol,Villarreal,1,2,1.0
2005-2006,5,2005-09-24,Betis,Barcelona,1,4,1.0
2005-2006,5,2005-09-25,Celta Vigo,Sevilla,2,1,0.0
2005-2006,5,2005-09-25,Athletic Club,Racing Sant,0,0,0.5
2005-2006,5,2005-09-25,Mallorca,Málaga,1,4,1.0
2005-2006,5,2005-09-25,Osasuna,Cádiz,2,0,0.0
2005-2006,5,2005-09-25,Alavés,Real Madrid,0,3,1.0
2005-2006,6,2005-10-01,Getafe,Valencia,2,1,0.0
2005-2006,6,2005-10-01,Barcelona,Zaragoza,2,2,0.5
2005-2006,6,2005-10-02,Real Madrid,Mallorca,4,0,0.0
2005-2006,6,2005-10-02,Sevilla,Espanyol,1,1,0.5
2005-2006,6,2005-10-02,La Coruña,Osasuna,0,1,1.0
2005-2006,6,2005-10-02,Real Sociedad,Betis,1,1,0.5
2005-2006,6,2005-10-02,Málaga,Atlético Madrid,0,2,1.0
2005-2006,6,2005-10-02,Cádiz,Celta Vigo,1,1,0.5
2005-2006,6,2005-10-02,Villarreal,Athletic Club,3,1,0.0
2005-2006,6,2005-10-02,Racing Sant,Alavés,1,2,1.0
2005-2006,7,2005-10-15,Atlético Madrid,Real Madrid,0,3,1.0
2005-2006,7,2005-10-15,Alavés,Villarreal,1,1,0.5
2005-2006,7,2005-10-15,La Coruña,Barcelona,3,3,0.5
2005-2006,7,2005-10-16,Zaragoza,Real Sociedad,0,1,1.0
2005-2006,7,2005-10-16,Mallorca,Racing Sant,0,0,0.5
2005-2006,7,2005-10-16,Valencia,Málaga,2,1,0.0
2005-2006,7,2005-10-16,Osasuna,Celta Vigo,2,0,0.0
2005-2006,7,2005-10-16,Betis,Getafe,1,0,0.0
2005-2006,7,2005-10-16,Athletic Club,Sevilla,0,1,1.0
2005-2006,7,2005-10-16,Espanyol,Cádiz,0,2,1.0
2005-2006,8,2005-10-22,Sevilla,Alavés,2,0,0.0
2005-2006,8,2005-10-22,Barcelona,Osasuna,3,0,0.0
2005-2006,8,2005-10-23,Real Madrid,Valencia,1,2,1.0
2005-2006,8,2005-10-23,Villarreal,Mallorca,3,0,0.0
2005-2006,8,2005-10-23,Cádiz,Athletic Club,1,0,0.0
2005-2006,8,2005-10-23,Málaga,Betis,5,0,0.0
2005-2006,8,2005-10-23,Real Sociedad,La Coruña,2,0,0.0
2005-2006,8,2005-10-23,Getafe,Zaragoza,5,2,0.0
2005-2006,8,2005-10-23,Racing Sant,Atlético Madrid,0,1,1.0
2005-2006,8,2005-10-23,Celta Vigo,Espanyol,1,0,0.0
2005-2006,11,2005-10-26,La Coruña,Real Madrid,3,1,0.0
2005-2006,11,2005-10-26,Barcelona,Málaga,2,0,0.0
2005-2006,11,2005-10-26,Betis,Villarreal,2,3,1.0
2005-2006,11,2005-10-26,Mallorca,Celta Vigo,1,0,0.0
2005-2006,11,2005-10-26,Osasuna,Athletic Club,3,2,0.0
2005-2006,11,2005-10-27,Valencia,Sevilla,0,2,1.0
2005-2006,11,2005-10-27,Alavés,Espanyol,1,1,0.5
2005-2006,11,2005-10-27,Zaragoza,Racing Sant,1,1,0.5
2005-2006,11,2005-10-27,Atlético Madrid,Cádiz,3,0,0.0
2005-2006,11,2005-10-27,Real Sociedad,Getafe,3,0,0.0
2005-2006,9,2005-10-29,Betis,Real Madrid,0,2,1.0
2005-2006,9,2005-10-29,Athletic Club,Celta Vigo,1,1,0.5
2005-2006,9,2005-10-30,La Coruña,Getafe,1,0,0.0
2005-2006,9,2005-10-30,Atlético Madrid,Villarreal,1,1,0.5
2005-2006,9,2005-10-30,Zaragoza,Málaga,1,1,0.5
2005-2006,9,2005-10-30,Barcelona,Real Sociedad,5,0,0.0
2005-2006,9,2005-10-30,Alavés,Cádiz,0,0,0.5
2005-2006,9,2005-10-30,Valencia,Racing Sant,1,1,0.5
2005-2006,9,2005-10-30,Mallorca,Sevilla,1,1,0.5
2005-2006,9,2005-10-30,Osasuna,Espanyol,2,0,0.0
2005-2006,10,2005-11-05,Real Sociedad,Osasuna,1,2,1.0
2005-2006,10,2005-11-05,Espanyol,Athletic Club,1,1,0.5
2005-2006,10,2005-11-05,Villarreal,Valencia,1,0,0.0
2005-2006,10,2005-11-06,Sevilla,Atlético Madrid,0,0,0.5
2005-2006,10,2005-11-06,Racing Sant,Betis,1,1,0.5
2005-2006,10,2005-11-06,Cádiz,Mallorca,1,2,1.0
2005-2006,10,2005-11-06,Real Madrid,Zaragoza,1,0,0.0
2005-2006,10,2005-11-06,Celta Vigo,Alavés,2,1,0.0
2005-2006,10,2005-11-06,Málaga,La Coruña,1,1,0.5
2005-2006,10,2005-11-06,Getafe,Barcelona,1,3,1.0
2005-2006,12,2005-11-19,Real Madrid,Barcelona,0,3,1.0
2005-2006,12,2005-11-19,Sevilla,Betis,1,0,0.0
2005-2006,12,2005-11-19,Villarreal,Zaragoza,0,0,0.5
2005-2006,12,2005-11-19,Getafe,Osasuna,0,0,0.5
2005-2006,12,2005-11-20,Málaga,Real Sociedad,3,1,0.0
2005-2006,12,2005-11-20,Celta Vigo,Atlético Madrid,2,1,0.0
2005-2006,12,2005-11-20,Athletic Club,Alavés,0,2,1.0
2005-2006,12,2005-11-20,Racing Sant,La Coruña,0,3,1.0
2005-2006,12,2005-11-20,Espanyol,Mallorca,2,0,0.0
2005-2006,12,2005-11-20,Cádiz,Valencia,0,1,1.0
2005-2006,13,2005-11-26,Valencia,Celta Vigo,2,0,0.0
2005-2006,13,2005-11-26,Mallorca,Athletic Club,0,1,1.0
2005-2006,13,2005-11-27,Atlético Madrid,Espanyol,1,1,0.5
2005-2006,13,2005-11-27,Real Sociedad,Real Madrid,2,2,0.5
2005-2006,13,2005-11-27,La Coruña,Villarreal,0,2,1.0
2005-2006,13,2005-11-27,Zaragoza,Sevilla,0,2,1.0
2005-2006,13,2005-11-27,Osasuna,Alavés,3,2,0.0
2005-2006,13,2005-11-27,Barcelona,Racing Sant,4,1,0.0
2005-2006,13,2005-11-27,Betis,Cádiz,1,1,0.5
2005-2006,13,2005-11-27,Getafe,Málaga,3,2,0.0
2005-2006,14,2005-12-03,Real Madrid,Getafe,1,0,0.0
2005-2006,14,2005-12-03,Celta Vigo,Betis,2,1,0.0
2005-2006,14,2005-12-03,Athletic Club,Atlético Madrid,1,1,0.5
2005-2006,14,2005-12-04,Alavés,Mallorca,0,3,1.0
2005-2006,14,2005-12-04,Cádiz,Zaragoza,1,2,1.0
2005-2006,14,2005-12-04,Villarreal,Barcelona,0,2,1.0
2005-2006,14,2005-12-04,Espanyol,Valencia,1,3,1.0
2005-2006,14,2005-12-04,Racing Sant,Real Sociedad,2,2,0.5
2005-2006,14,2005-12-04,Sevilla,La Coruña,0,2,1.0
2005-2006,14,2005-12-04,Málaga,Osasuna,1,2,1.0
2005-2006,15,2005-12-10,Valencia,Athletic Club,1,1,0.5
2005-2006,15,2005-12-10,Real Sociedad,Villarreal,1,3,1.0
2005-2006,15,2005-12-11,Betis,Espanyol,0,0,0.5
2005-2006,15,2005-12-11,Barcelona,Sevilla,2,1,0.0
2005-2006,15,2005-12-11,Osasuna,Mallorca,1,0,0.0
2005-2006,15,2005-12-11,Getafe,Racing Sant,1,2,1.0
