Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,12,2017-10-14,Nordsjælland,Randers,3,2,1.0
2017-2018,Regular season,12,2017-10-15,Horsens,Hobro,2,2,0.5
2017-2018,Regular season,12,2017-10-15,Aalborg,Helsingør,1,0,1.0
2017-2018,Regular season,12,2017-10-15,Brøndby,Silkeborg,4,1,1.0
2017-2018,Regular season,12,2017-10-15,Odense,FC Copenhagen,1,0,1.0
2017-2018,Regular season,12,2017-10-16,AGF,Lyngby,0,2,0.0
2017-2018,Regular season,13,2017-10-20,Midtjylland,Horsens,4,2,1.0
2017-2018,Regular season,13,2017-10-21,Silkeborg,SønderjyskE,1,0,1.0
2017-2018,Regular season,13,2017-10-22,Hobro,Nordsjælland,4,0,1.0
2017-2018,Regular season,13,2017-10-22,Lyngby,Odense,1,1,0.5
2017-2018,Regular season,13,2017-10-22,Helsingør,Brøndby,0,1,0.0
2017-2018,Regular season,13,2017-10-22,FC Copenhagen,AGF,4,0,1.0
2017-2018,Regular season,13,2017-10-23,Randers,Aalborg,1,1,0.5
2017-2018,Regular season,14,2017-10-27,AGF,Nordsjælland,1,4,0.0
2017-2018,Regular season,14,2017-10-28,Helsingør,Silkeborg,2,0,1.0
2017-2018,Regular season,14,2017-10-29,SønderjyskE,Hobro,1,1,0.5
2017-2018,Regular season,14,2017-10-29,Lyngby,Midtjylland,2,2,0.5
2017-2018,Regular season,14,2017-10-29,Horsens,FC Copenhagen,1,1,0.5
2017-2018,Regular season,14,2017-10-29,Aalborg,Odense,0,2,0.0
2017-2018,Regular season,14,2017-10-30,Brøndby,Randers,3,1,1.0
2017-2018,Regular season,15,2017-11-03,Midtjylland,Helsingør,2,1,1.0
2017-2018,Regular season,15,2017-11-03,Silkeborg,Horsens,2,2,0.5
2017-2018,Regular season,15,2017-11-04,Nordsjælland,Lyngby,2,2,0.5
2017-2018,Regular season,15,2017-11-05,FC Copenhagen,Brøndby,0,1,0.0
2017-2018,Regular season,15,2017-11-05,Odense,SønderjyskE,0,3,0.0
2017-2018,Regular season,15,2017-11-05,Randers,AGF,1,0,1.0
2017-2018,Regular season,15,2017-11-05,Hobro,Aalborg,0,1,0.0
2017-2018,Regular season,16,2017-11-17,Helsingør,Hobro,0,1,0.0
2017-2018,Regular season,16,2017-11-18,AGF,Silkeborg,3,1,1.0
2017-2018,Regular season,16,2017-11-19,Lyngby,Randers,1,3,0.0
2017-2018,Regular season,16,2017-11-19,Horsens,Odense,0,0,0.5
2017-2018,Regular season,16,2017-11-19,SønderjyskE,FC Copenhagen,3,0,1.0
2017-2018,Regular season,16,2017-11-19,Brøndby,Nordsjælland,4,2,1.0
2017-2018,Regular season,16,2017-11-20,Aalborg,Midtjylland,0,1,0.0
2017-2018,Regular season,17,2017-11-24,Randers,SønderjyskE,0,2,0.0
2017-2018,Regular season,17,2017-11-25,Helsingør,Aalborg,0,1,0.0
2017-2018,Regular season,17,2017-11-26,Nordsjælland,Horsens,6,0,1.0
2017-2018,Regular season,17,2017-11-26,Odense,Hobro,3,0,1.0
2017-2018,Regular season,17,2017-11-26,FC Copenhagen,Lyngby,5,1,1.0
2017-2018,Regular season,17,2017-11-26,Silkeborg,Brøndby,1,3,0.0
2017-2018,Regular season,17,2017-11-27,Midtjylland,AGF,4,0,1.0
2017-2018,Regular season,18,2017-12-01,AGF,Helsingør,0,0,0.5
2017-2018,Regular season,18,2017-12-02,Lyngby,Aalborg,1,2,0.0
2017-2018,Regular season,18,2017-12-03,Hobro,Horsens,1,1,0.5
2017-2018,Regular season,18,2017-12-03,Silkeborg,Randers,3,2,1.0
