Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2008-2009,1,2008-08-09,Auxerre,Nantes,2,1,1.0
2008-2009,1,2008-08-09,Valenciennes,Saint-Étienne,1,0,1.0
2008-2009,1,2008-08-09,Bordeaux,Caen,2,1,1.0
2008-2009,1,2008-08-09,Rennes,Marseille,4,4,0.5
2008-2009,1,2008-08-09,Le Havre,Nice,1,0,1.0
2008-2009,1,2008-08-09,Le Mans,Lorient,0,1,0.0
2008-2009,1,2008-08-09,Sochaux,Grenoble,1,2,0.0
2008-2009,1,2008-08-09,Nancy,Lille,0,0,0.5
2008-2009,1,2008-08-09,Monaco,Paris S-G,1,0,1.0
2008-2009,1,2008-08-10,Lyon,Toulouse,3,0,1.0
2008-2009,2,2008-08-16,Toulouse,Le Havre,2,1,1.0
2008-2009,2,2008-08-16,Saint-Étienne,Sochaux,2,1,1.0
2008-2009,2,2008-08-16,Nantes,Monaco,1,1,0.5
2008-2009,2,2008-08-16,Lille,Le Mans,1,3,0.0
2008-2009,2,2008-08-16,Paris S-G,Bordeaux,1,0,1.0
2008-2009,2,2008-08-16,Nice,Nancy,2,1,1.0
2008-2009,2,2008-08-16,Caen,Valenciennes,3,1,1.0
2008-2009,2,2008-08-17,Grenoble,Rennes,1,0,1.0
2008-2009,2,2008-08-17,Marseille,Auxerre,4,0,1.0
2008-2009,2,2008-08-17,Lorient,Lyon,0,0,0.5
2008-2009,3,2008-08-23,Sochaux,Paris S-G,1,1,0.5
2008-2009,3,2008-08-23,Monaco,Caen,1,1,0.5
2008-2009,3,2008-08-23,Valenciennes,Lorient,3,1,1.0
2008-2009,3,2008-08-23,Nancy,Toulouse,0,0,0.5
2008-2009,3,2008-08-23,Lyon,Grenoble,2,0,1.0
2008-2009,3,2008-08-23,Le Havre,Marseille,0,1,0.0
2008-2009,3,2008-08-23,Le Mans,Saint-Étienne,1,0,1.0
2008-2009,3,2008-08-24,Auxerre,Nice,0,1,0.0
2008-2009,3,2008-08-24,Rennes,Lille,2,1,1.0
2008-2009,3,2008-08-24,Bordeaux,Nantes,2,0,1.0
2008-2009,4,2008-08-30,Marseille,Sochaux,2,1,1.0
2008-2009,4,2008-08-30,Grenoble,Monaco,1,0,1.0
2008-2009,4,2008-08-30,Lorient,Auxerre,0,2,0.0
2008-2009,4,2008-08-30,Nantes,Le Mans,1,4,0.0
2008-2009,4,2008-08-30,Caen,Paris S-G,0,1,0.0
2008-2009,4,2008-08-30,Nancy,Le Havre,2,1,1.0
2008-2009,4,2008-08-30,Nice,Valenciennes,2,0,1.0
2008-2009,4,2008-08-31,Lille,Bordeaux,2,1,1.0
2008-2009,4,2008-08-31,Saint-Étienne,Lyon,0,1,0.0
2008-2009,4,2008-08-31,Toulouse,Rennes,0,0,0.5
2008-2009,5,2008-09-13,Rennes,Le Havre,1,1,0.5
2008-2009,5,2008-09-13,Auxerre,Nancy,1,1,0.5
2008-2009,5,2008-09-13,Valenciennes,Grenoble,1,1,0.5
2008-2009,5,2008-09-13,Bordeaux,Marseille,1,1,0.5
2008-2009,5,2008-09-13,Le Mans,Toulouse,1,2,0.0
2008-2009,5,2008-09-13,Lyon,Nice,3,2,1.0
2008-2009,5,2008-09-13,Monaco,Lorient,2,0,1.0
2008-2009,5,2008-09-14,Caen,Saint-Étienne,2,0,1.0
2008-2009,5,2008-09-14,Paris S-G,Nantes,1,0,1.0
2008-2009,5,2008-09-14,Sochaux,Lille,1,1,0.5
2008-2009,6,2008-09-20,Nice,Le Mans,2,2,0.5
2008-2009,6,2008-09-20,Lille,Auxerre,3,2,1.0
2008-2009,6,2008-09-20,Toulouse,Sochaux,2,1,1.0
2008-2009,6,2008-09-20,Grenoble,Bordeaux,0,1,0.0
2008-2009,6,2008-09-20,Lorient,Caen,1,1,0.5
2008-2009,6,2008-09-20,Le Havre,Lyon,0,1,0.0
2008-2009,6,2008-09-20,Nantes,Valenciennes,2,0,1.0
2008-2009,6,2008-09-21,Nancy,Rennes,0,0,0.5
2008-2009,6,2008-09-21,Marseille,Monaco,0,0,0.5
2008-2009,6,2008-09-21,Saint-Étienne,Paris S-G,1,0,1.0
2008-2009,7,2008-09-27,Caen,Nantes,3,0,1.0
2008-2009,7,2008-09-27,Paris S-G,Grenoble,0,1,0.0
2008-2009,7,2008-09-27,Lyon,Nancy,2,1,1.0
2008-2009,7,2008-09-27,Le Mans,Marseille,1,1,0.5
2008-2009,7,2008-09-27,Rennes,Nice,1,0,1.0
2008-2009,7,2008-09-27,Auxerre,Le Havre,3,0,1.0
2008-2009,7,2008-09-27,Sochaux,Lorient,1,1,0.5
2008-2009,7,2008-09-28,Bordeaux,Saint-Étienne,1,1,0.5
2008-2009,7,2008-09-28,Valenciennes,Toulouse,0,1,0.0
2008-2009,7,2008-09-28,Monaco,Lille,0,2,0.0
2008-2009,8,2008-10-04,Lille,Valenciennes,1,0,1.0
2008-2009,8,2008-10-04,Nice,Sochaux,1,1,0.5
2008-2009,8,2008-10-04,Lorient,Bordeaux,1,2,0.0
2008-2009,8,2008-10-04,Le Havre,Le Mans,1,2,0.0
2008-2009,8,2008-10-04,Toulouse,Auxerre,1,0,1.0
2008-2009,8,2008-10-04,Grenoble,Nantes,0,1,0.0
2008-2009,8,2008-10-04,Marseille,Caen,2,1,1.0
2008-2009,8,2008-10-05,Saint-Étienne,Monaco,2,0,1.0
2008-2009,8,2008-10-05,Nancy,Paris S-G,1,1,0.5
2008-2009,8,2008-10-05,Rennes,Lyon,3,0,1.0
2008-2009,9,2008-10-18,Paris S-G,Lorient,3,2,1.0
2008-2009,9,2008-10-18,Lyon,Lille,2,2,0.5
2008-2009,9,2008-10-18,Bordeaux,Toulouse,2,1,1.0
2008-2009,9,2008-10-18,Nantes,Saint-Étienne,1,0,1.0
2008-2009,9,2008-10-18,Sochaux,Le Havre,1,1,0.5
2008-2009,9,2008-10-18,Monaco,Nice,1,2,0.0
2008-2009,9,2008-10-18,Caen,Grenoble,2,2,0.5
2008-2009,9,2008-10-19,Le Mans,Nancy,2,0,1.0
2008-2009,9,2008-10-19,Auxerre,Rennes,0,0,0.5
2008-2009,9,2008-10-19,Valenciennes,Marseille,1,3,0.0
2008-2009,10,2008-10-25,Toulouse,Monaco,0,0,0.5
2008-2009,10,2008-10-25,Lorient,Nantes,3,0,1.0
2008-2009,10,2008-10-25,Le Havre,Valenciennes,2,1,1.0
2008-2009,10,2008-10-25,Rennes,Le Mans,2,2,0.5
2008-2009,10,2008-10-25,Auxerre,Lyon,0,0,0.5
2008-2009,10,2008-10-25,Nice,Bordeaux,2,2,0.5
2008-2009,10,2008-10-25,Lille,Caen,2,2,0.5
2008-2009,10,2008-10-26,Marseille,Paris S-G,2,4,0.0
2008-2009,10,2008-10-26,Saint-Étienne,Grenoble,0,2,0.0
2008-2009,10,2008-10-26,Nancy,Sochaux,1,1,0.5
2008-2009,11,2008-10-28,Bordeaux,Le Havre,4,0,1.0
2008-2009,11,2008-10-29,Valenciennes,Rennes,0,0,0.5
2008-2009,11,2008-10-29,Saint-Étienne,Lorient,1,4,0.0
2008-2009,11,2008-10-29,Caen,Nice,1,1,0.5
2008-2009,11,2008-10-29,Nantes,Marseille,1,1,0.5
2008-2009,11,2008-10-29,Le Mans,Auxerre,0,2,0.0
2008-2009,11,2008-10-29,Sochaux,Lyon,0,2,0.0
2008-2009,11,2008-10-29,Paris S-G,Toulouse,0,1,0.0
2008-2009,11,2008-10-29,Grenoble,Lille,0,0,0.5
2008-2009,11,2008-10-29,Monaco,Nancy,3,1,1.0
2008-2009,12,2008-11-01,Toulouse,Caen,0,1,0.0
2008-2009,12,2008-11-01,Auxerre,Valenciennes,0,0,0.5
2008-2009,12,2008-11-01,Nice,Paris S-G,1,0,1.0
2008-2009,12,2008-11-01,Lille,Nantes,2,0,1.0
2008-2009,12,2008-11-01,Marseille,Saint-Étienne,3,1,1.0
2008-2009,12,2008-11-01,Nancy,Bordeaux,1,0,1.0
2008-2009,12,2008-11-01,Lorient,Grenoble,1,1,0.5
2008-2009,12,2008-11-02,Lyon,Le Mans,2,0,1.0
2008-2009,12,2008-11-02,Rennes,Sochaux,1,0,1.0
2008-2009,12,2008-11-02,Le Havre,Monaco,2,3,0.0
2008-2009,13,2008-11-08,Bordeaux,Auxerre,2,0,1.0
2008-2009,13,2008-11-08,Lorient,Nice,0,1,0.0
2008-2009,13,2008-11-08,Grenoble,Marseille,0,3,0.0
2008-2009,13,2008-11-08,Nantes,Toulouse,1,1,0.5
2008-2009,13,2008-11-08,Caen,Le Havre,0,1,0.0
2008-2009,13,2008-11-08,Monaco,Lyon,0,1,0.0
2008-2009,13,2008-11-08,Sochaux,Le Mans,2,1,1.0
2008-2009,13,2008-11-09,Paris S-G,Lille,1,0,1.0
2008-2009,13,2008-11-09,Saint-Étienne,Rennes,0,3,0.0
2008-2009,13,2008-11-09,Valenciennes,Nancy,0,1,0.0
2008-2009,14,2008-11-15,Lille,Saint-Étienne,3,0,1.0
2008-2009,14,2008-11-15,Toulouse,Grenoble,2,0,1.0
2008-2009,14,2008-11-15,Nancy,Caen,1,1,0.5
2008-2009,14,2008-11-15,Le Havre,Paris S-G,1,3,0.0
2008-2009,14,2008-11-15,Le Mans,Valenciennes,1,0,1.0
2008-2009,14,2008-11-15,Marseille,Lorient,2,3,0.0
2008-2009,14,2008-11-15,Auxerre,Sochaux,1,0,1.0
2008-2009,14,2008-11-16,Lyon,Bordeaux,2,1,1.0
2008-2009,14,2008-11-16,Rennes,Monaco,2,1,1.0
2008-2009,14,2008-11-16,Nice,Nantes,2,1,1.0
2008-2009,15,2008-11-22,Saint-Étienne,Nice,0,1,0.0
2008-2009,15,2008-11-22,Caen,Auxerre,1,0,1.0
2008-2009,15,2008-11-22,Valenciennes,Sochaux,2,2,0.5
2008-2009,15,2008-11-22,Paris S-G,Lyon,1,0,1.0
2008-2009,15,2008-11-22,Grenoble,Le Havre,0,0,0.5
2008-2009,15,2008-11-22,Lorient,Toulouse,1,0,1.0
2008-2009,15,2008-11-22,Bordeaux,Rennes,1,1,0.5
2008-2009,15,2008-11-23,Marseille,Lille,2,2,0.5
2008-2009,15,2008-11-23,Nantes,Nancy,0,1,0.0
2008-2009,15,2008-11-23,Monaco,Le Mans,3,0,1.0
2008-2009,16,2008-11-29,Lille,Lorient,1,1,0.5
2008-2009,16,2008-11-29,Le Havre,Nantes,0,2,0.0
2008-2009,16,2008-11-29,Sochaux,Bordeaux,0,0,0.5
2008-2009,16,2008-11-29,Le Mans,Caen,2,0,1.0
2008-2009,16,2008-11-29,Auxerre,Monaco,0,1,0.0
2008-2009,16,2008-11-29,Lyon,Valenciennes,0,0,0.5
2008-2009,16,2008-11-30,Rennes,Paris S-G,1,0,1.0
2008-2009,16,2008-11-30,Toulouse,Marseille,0,0,0.5
2008-2009,16,2008-11-30,Nancy,Saint-Étienne,1,2,0.0
2008-2009,17,2008-12-05,Bordeaux,Valenciennes,2,1,1.0
2008-2009,17,2008-12-06,Caen,Rennes,1,1,0.5
2008-2009,17,2008-12-06,Nantes,Lyon,2,1,1.0
2008-2009,17,2008-12-06,Marseille,Nice,2,1,1.0
2008-2009,17,2008-12-06,Saint-Étienne,Le Havre,2,0,1.0
2008-2009,17,2008-12-06,Lille,Toulouse,1,1,0.5
2008-2009,17,2008-12-07,Monaco,Sochaux,1,1,0.5
2008-2009,17,2008-12-07,Lorient,Nancy,1,0,1.0
