Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2016-2017,Group stage,1,2016-09-13,Benfica,Beşiktaş,pt,tr,1,1,0.5
2016-2017,Group stage,1,2016-09-13,Bayern Munich,Rostov,de,ru,5,0,1.0
2016-2017,Group stage,1,2016-09-13,Paris S-G,Arsenal,fr,eng,1,1,0.5
2016-2017,Group stage,1,2016-09-13,Barcelona,Celtic,es,sct,7,0,1.0
2016-2017,Group stage,1,2016-09-13,PSV Eindhoven,Atlético Madrid,nl,es,0,1,0.0
2016-2017,Group stage,1,2016-09-13,Basel,Ludogorets,ch,bg,1,1,0.5
2016-2017,Group stage,1,2016-09-13,Dynamo Kyiv,Napoli,ua,it,1,2,0.0
2016-2017,Group stage,1,2016-09-14,Porto,FC Copenhagen,pt,dk,1,1,0.5
2016-2017,Group stage,1,2016-09-14,Tottenham,Monaco,eng,fr,1,2,0.0
2016-2017,Group stage,1,2016-09-14,Manchester City,Gladbach,eng,de,4,0,1.0
2016-2017,Group stage,1,2016-09-14,Club Brugge,Leicester City,be,eng,0,3,0.0
2016-2017,Group stage,1,2016-09-14,Real Madrid,Sporting CP,es,pt,2,1,1.0
2016-2017,Group stage,1,2016-09-14,Legia Warsaw,Dortmund,pl,de,0,6,0.0
2016-2017,Group stage,1,2016-09-14,Leverkusen,CSKA Moscow,de,ru,2,2,0.5
2016-2017,Group stage,1,2016-09-14,Lyon,Dinamo Zagreb,fr,hr,3,0,1.0
2016-2017,Group stage,1,2016-09-14,Juventus,Sevilla,it,es,0,0,0.5
2016-2017,Group stage,2,2016-09-27,Sporting CP,Legia Warsaw,pt,pl,2,0,1.0
2016-2017,Group stage,2,2016-09-27,Leicester City,Porto,eng,pt,1,0,1.0
2016-2017,Group stage,2,2016-09-27,Sevilla,Lyon,es,fr,1,0,1.0
2016-2017,Group stage,2,2016-09-27,Monaco,Leverkusen,fr,de,1,1,0.5
2016-2017,Group stage,2,2016-09-27,FC Copenhagen,Club Brugge,dk,be,4,0,1.0
2016-2017,Group stage,2,2016-09-27,Dortmund,Real Madrid,de,es,2,2,0.5
2016-2017,Group stage,2,2016-09-27,Dinamo Zagreb,Juventus,hr,it,0,4,0.0
2016-2017,Group stage,2,2016-09-27,CSKA Moscow,Tottenham,ru,eng,0,1,0.0
2016-2017,Group stage,2,2016-09-28,Celtic,Manchester City,sct,eng,3,3,0.5
2016-2017,Group stage,2,2016-09-28,Arsenal,Basel,eng,ch,2,0,1.0
2016-2017,Group stage,2,2016-09-28,Gladbach,Barcelona,de,es,1,2,0.0
2016-2017,Group stage,2,2016-09-28,Napoli,Benfica,it,pt,4,2,1.0
2016-2017,Group stage,2,2016-09-28,Atlético Madrid,Bayern Munich,es,de,1,0,1.0
2016-2017,Group stage,2,2016-09-28,Beşiktaş,Dynamo Kyiv,tr,ua,1,1,0.5
2016-2017,Group stage,2,2016-09-28,Rostov,PSV Eindhoven,ru,nl,2,2,0.5
2016-2017,Group stage,2,2016-09-28,Ludogorets,Paris S-G,bg,fr,1,3,0.0
2016-2017,Group stage,3,2016-10-18,Sporting CP,Dortmund,pt,de,1,2,0.0
2016-2017,Group stage,3,2016-10-18,Leicester City,FC Copenhagen,eng,dk,1,0,1.0
2016-2017,Group stage,3,2016-10-18,Lyon,Juventus,fr,it,0,1,0.0
2016-2017,Group stage,3,2016-10-18,Leverkusen,Tottenham,de,eng,0,0,0.5
2016-2017,Group stage,3,2016-10-18,Club Brugge,Porto,be,pt,1,2,0.0
2016-2017,Group stage,3,2016-10-18,Real Madrid,Legia Warsaw,es,pl,5,1,1.0
2016-2017,Group stage,3,2016-10-18,Dinamo Zagreb,Sevilla,hr,es,0,1,0.0
2016-2017,Group stage,3,2016-10-18,CSKA Moscow,Monaco,ru,fr,1,1,0.5
2016-2017,Group stage,3,2016-10-19,Celtic,Gladbach,sct,de,0,2,0.0
2016-2017,Group stage,3,2016-10-19,Arsenal,Ludogorets,eng,bg,6,0,1.0
2016-2017,Group stage,3,2016-10-19,Paris S-G,Basel,fr,ch,3,0,1.0
2016-2017,Group stage,3,2016-10-19,Barcelona,Manchester City,es,eng,4,0,1.0
2016-2017,Group stage,3,2016-10-19,Bayern Munich,PSV Eindhoven,de,nl,4,1,1.0
2016-2017,Group stage,3,2016-10-19,Napoli,Beşiktaş,it,tr,2,3,0.0
2016-2017,Group stage,3,2016-10-19,Dynamo Kyiv,Benfica,ua,pt,0,2,0.0
