Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2012-2013,Group stage,1,2012-09-18,Málaga,Zenit,es,ru,3,0,1.0
2012-2013,Group stage,1,2012-09-18,Dinamo Zagreb,Porto,hr,pt,0,2,0.0
2012-2013,Group stage,1,2012-09-18,Montpellier,Arsenal,fr,eng,1,2,0.0
2012-2013,Group stage,1,2012-09-18,Olympiacos,Schalke 04,gr,de,1,2,0.0
2012-2013,Group stage,1,2012-09-18,Real Madrid,Manchester City,es,eng,3,2,1.0
2012-2013,Group stage,1,2012-09-18,Paris S-G,Dynamo Kyiv,fr,ua,4,1,1.0
2012-2013,Group stage,1,2012-09-18,Dortmund,Ajax,de,nl,1,0,1.0
2012-2013,Group stage,1,2012-09-18,Milan,Anderlecht,it,be,0,0,0.5
2012-2013,Group stage,1,2012-09-19,Bayern Munich,Valencia,de,es,2,1,1.0
2012-2013,Group stage,1,2012-09-19,Shakhtar,Nordsjælland,ua,dk,2,0,1.0
2012-2013,Group stage,1,2012-09-19,Barcelona,Spartak Moscow,es,ru,3,2,1.0
2012-2013,Group stage,1,2012-09-19,Celtic,Benfica,sct,pt,0,0,0.5
2012-2013,Group stage,1,2012-09-19,Chelsea,Juventus,eng,it,2,2,0.5
2012-2013,Group stage,1,2012-09-19,Manchester Utd,Galatasaray,eng,tr,1,0,1.0
2012-2013,Group stage,1,2012-09-19,Lille,BATE Borisov,fr,by,1,3,0.0
2012-2013,Group stage,1,2012-09-19,Braga,CFR Cluj,pt,ro,0,2,0.0
2012-2013,Group stage,2,2012-10-02,BATE Borisov,Bayern Munich,by,de,3,1,1.0
2012-2013,Group stage,2,2012-10-02,Galatasaray,Braga,tr,pt,0,2,0.0
2012-2013,Group stage,2,2012-10-02,Nordsjælland,Chelsea,dk,eng,0,4,0.0
2012-2013,Group stage,2,2012-10-02,Spartak Moscow,Celtic,ru,sct,2,3,0.0
2012-2013,Group stage,2,2012-10-02,Juventus,Shakhtar,it,ua,1,1,0.5
2012-2013,Group stage,2,2012-10-02,Valencia,Lille,es,fr,2,0,1.0
2012-2013,Group stage,2,2012-10-02,Benfica,Barcelona,pt,es,0,2,0.0
2012-2013,Group stage,2,2012-10-02,CFR Cluj,Manchester Utd,ro,eng,1,2,0.0
2012-2013,Group stage,2,2012-10-03,Ajax,Real Madrid,nl,es,1,4,0.0
2012-2013,Group stage,2,2012-10-03,Anderlecht,Málaga,be,es,0,3,0.0
2012-2013,Group stage,2,2012-10-03,Dynamo Kyiv,Dinamo Zagreb,ua,hr,2,0,1.0
2012-2013,Group stage,2,2012-10-03,Porto,Paris S-G,pt,fr,1,0,1.0
2012-2013,Group stage,2,2012-10-03,Schalke 04,Montpellier,de,fr,2,2,0.5
2012-2013,Group stage,2,2012-10-03,Manchester City,Dortmund,eng,de,1,1,0.5
2012-2013,Group stage,2,2012-10-03,Arsenal,Olympiacos,eng,gr,3,1,1.0
2012-2013,Group stage,2,2012-10-03,Zenit,Milan,ru,it,2,3,0.0
2012-2013,Group stage,3,2012-10-23,Nordsjælland,Juventus,dk,it,1,1,0.5
2012-2013,Group stage,3,2012-10-23,Shakhtar,Chelsea,ua,eng,2,1,1.0
2012-2013,Group stage,3,2012-10-23,Barcelona,Celtic,es,sct,2,1,1.0
2012-2013,Group stage,3,2012-10-23,BATE Borisov,Valencia,by,es,0,3,0.0
2012-2013,Group stage,3,2012-10-23,Galatasaray,CFR Cluj,tr,ro,1,1,0.5
2012-2013,Group stage,3,2012-10-23,Manchester Utd,Braga,eng,pt,3,2,1.0
2012-2013,Group stage,3,2012-10-23,Spartak Moscow,Benfica,ru,pt,2,1,1.0
2012-2013,Group stage,3,2012-10-23,Lille,Bayern Munich,fr,de,0,1,0.0
2012-2013,Group stage,3,2012-10-24,Málaga,Milan,es,it,1,0,1.0
2012-2013,Group stage,3,2012-10-24,Arsenal,Schalke 04,eng,de,0,2,0.0
2012-2013,Group stage,3,2012-10-24,Porto,Dynamo Kyiv,pt,ua,3,2,1.0
2012-2013,Group stage,3,2012-10-24,Zenit,Anderlecht,ru,be,1,0,1.0
2012-2013,Group stage,3,2012-10-24,Dortmund,Real Madrid,de,es,2,1,1.0
2012-2013,Group stage,3,2012-10-24,Montpellier,Olympiacos,fr,gr,1,2,0.0
2012-2013,Group stage,3,2012-10-24,Dinamo Zagreb,Paris S-G,hr,fr,0,2,0.0
2012-2013,Group stage,3,2012-10-24,Ajax,Manchester City,nl,eng,3,1,1.0
2012-2013,Group stage,4,2012-11-06,Manchester City,Ajax,eng,nl,2,2,0.5
2012-2013,Group stage,4,2012-11-06,Schalke 04,Arsenal,de,eng,2,2,0.5
2012-2013,Group stage,4,2012-11-06,Olympiacos,Montpellier,gr,fr,3,1,1.0
2012-2013,Group stage,4,2012-11-06,Dynamo Kyiv,Porto,ua,pt,0,0,0.5
2012-2013,Group stage,4,2012-11-06,Real Madrid,Dortmund,es,de,2,2,0.5
2012-2013,Group stage,4,2012-11-06,Paris S-G,Dinamo Zagreb,fr,hr,4,0,1.0
2012-2013,Group stage,4,2012-11-06,Milan,Málaga,it,es,1,1,0.5
2012-2013,Group stage,4,2012-11-06,Anderlecht,Zenit,be,ru,1,0,1.0
2012-2013,Group stage,4,2012-11-07,Benfica,Spartak Moscow,pt,ru,2,0,1.0
2012-2013,Group stage,4,2012-11-07,Bayern Munich,Lille,de,fr,6,1,1.0
2012-2013,Group stage,4,2012-11-07,Celtic,Barcelona,sct,es,2,1,1.0
2012-2013,Group stage,4,2012-11-07,Juventus,Nordsjælland,it,dk,4,0,1.0
2012-2013,Group stage,4,2012-11-07,Chelsea,Shakhtar,eng,ua,3,2,1.0
2012-2013,Group stage,4,2012-11-07,CFR Cluj,Galatasaray,ro,tr,1,3,0.0
2012-2013,Group stage,4,2012-11-07,Valencia,BATE Borisov,es,by,4,2,1.0
2012-2013,Group stage,4,2012-11-07,Braga,Manchester Utd,pt,eng,1,3,0.0
2012-2013,Group stage,5,2012-11-20,Juventus,Chelsea,it,eng,3,0,1.0
2012-2013,Group stage,5,2012-11-20,Spartak Moscow,Barcelona,ru,es,0,3,0.0
2012-2013,Group stage,5,2012-11-20,CFR Cluj,Braga,ro,pt,3,1,1.0
