Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2014-2015,Group stage,1,2014-09-16,Benfica,Zenit,pt,ru,0.0,2.0,0.0
2014-2015,Group stage,1,2014-09-16,Liverpool,Ludogorets,eng,bg,2.0,1.0,1.0
2014-2015,Group stage,1,2014-09-16,Dortmund,Arsenal,de,eng,2.0,0.0,1.0
2014-2015,Group stage,1,2014-09-16,Monaco,Leverkusen,fr,de,1.0,0.0,1.0
2014-2015,Group stage,1,2014-09-16,Real Madrid,Basel,es,ch,5.0,1.0,1.0
2014-2015,Group stage,1,2014-09-16,Juventus,Malmö,it,se,2.0,0.0,1.0
2014-2015,Group stage,1,2014-09-16,Galatasaray,Anderlecht,tr,be,1.0,1.0,0.5
2014-2015,Group stage,1,2014-09-16,Olympiacos,Atlético Madrid,gr,es,3.0,2.0,1.0
2014-2015,Group stage,1,2014-09-17,Chelsea,Schalke 04,eng,de,1.0,1.0,0.5
2014-2015,Group stage,1,2014-09-17,Porto,BATE Borisov,pt,by,6.0,0.0,1.0
2014-2015,Group stage,1,2014-09-17,Roma,CSKA Moscow,it,ru,5.0,1.0,1.0
2014-2015,Group stage,1,2014-09-17,Barcelona,APOEL FC,es,cy,1.0,0.0,1.0
2014-2015,Group stage,1,2014-09-17,Ajax,Paris S-G,nl,fr,1.0,1.0,0.5
2014-2015,Group stage,1,2014-09-17,NK Maribor,Sporting CP,si,pt,1.0,1.0,0.5
2014-2015,Group stage,1,2014-09-17,Athletic Club,Shakhtar,es,ua,0.0,0.0,0.5
2014-2015,Group stage,1,2014-09-17,Bayern Munich,Manchester City,de,eng,1.0,0.0,1.0
2014-2015,Group stage,2,2014-09-30,Sporting CP,Chelsea,pt,eng,0.0,1.0,0.0
2014-2015,Group stage,2,2014-09-30,Manchester City,Roma,eng,it,1.0,1.0,0.5
2014-2015,Group stage,2,2014-09-30,CSKA Moscow,Bayern Munich,ru,de,0.0,1.0,0.0
2014-2015,Group stage,2,2014-09-30,Schalke 04,NK Maribor,de,si,1.0,1.0,0.5
2014-2015,Group stage,2,2014-09-30,Paris S-G,Barcelona,fr,es,3.0,2.0,1.0
2014-2015,Group stage,2,2014-09-30,Shakhtar,Porto,ua,pt,2.0,2.0,0.5
2014-2015,Group stage,2,2014-09-30,APOEL FC,Ajax,cy,nl,1.0,1.0,0.5
2014-2015,Group stage,2,2014-09-30,BATE Borisov,Athletic Club,by,es,2.0,1.0,1.0
2014-2015,Group stage,2,2014-10-01,Arsenal,Galatasaray,eng,tr,4.0,1.0,1.0
2014-2015,Group stage,2,2014-10-01,Zenit,Monaco,ru,fr,0.0,0.0,0.5
2014-2015,Group stage,2,2014-10-01,Leverkusen,Benfica,de,pt,3.0,1.0,1.0
2014-2015,Group stage,2,2014-10-01,Malmö,Olympiacos,se,gr,2.0,0.0,1.0
2014-2015,Group stage,2,2014-10-01,Atlético Madrid,Juventus,es,it,1.0,0.0,1.0
2014-2015,Group stage,2,2014-10-01,Basel,Liverpool,ch,eng,1.0,0.0,1.0
2014-2015,Group stage,2,2014-10-01,Anderlecht,Dortmund,be,de,0.0,3.0,0.0
2014-2015,Group stage,2,2014-10-01,Ludogorets,Real Madrid,bg,es,1.0,2.0,0.0
2014-2015,Group stage,3,2014-10-21,Chelsea,NK Maribor,eng,si,6.0,0.0,1.0
2014-2015,Group stage,3,2014-10-21,Porto,Athletic Club,pt,es,2.0,1.0,1.0
2014-2015,Group stage,3,2014-10-21,CSKA Moscow,Manchester City,ru,eng,2.0,2.0,0.5
2014-2015,Group stage,3,2014-10-21,Roma,Bayern Munich,it,de,1.0,7.0,0.0
2014-2015,Group stage,3,2014-10-21,Schalke 04,Sporting CP,de,pt,4.0,3.0,1.0
2014-2015,Group stage,3,2014-10-21,Barcelona,Ajax,es,nl,3.0,1.0,1.0
2014-2015,Group stage,3,2014-10-21,APOEL FC,Paris S-G,cy,fr,0.0,1.0,0.0
2014-2015,Group stage,3,2014-10-21,BATE Borisov,Shakhtar,by,ua,0.0,7.0,0.0
2014-2015,Group stage,3,2014-10-22,Liverpool,Real Madrid,eng,es,0.0,3.0,0.0
2014-2015,Group stage,3,2014-10-22,Monaco,Benfica,fr,pt,0.0,0.0,0.5
2014-2015,Group stage,3,2014-10-22,Atlético Madrid,Malmö,es,se,5.0,0.0,1.0
2014-2015,Group stage,3,2014-10-22,Leverkusen,Zenit,de,ru,2.0,0.0,1.0
2014-2015,Group stage,3,2014-10-22,Anderlecht,Arsenal,be,eng,1.0,2.0,0.0
