Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2008-2009,Group stage,1,2008-09-16,Roma,CFR Cluj,it,ro,1,2,0.0
2008-2009,Group stage,1,2008-09-16,Chelsea,Bordeaux,eng,fr,4,0,1.0
2008-2009,Group stage,1,2008-09-16,Werder Bremen,Anorthosis,de,cy,0,0,0.5
2008-2009,Group stage,1,2008-09-16,Marseille,Liverpool,fr,eng,1,2,0.0
2008-2009,Group stage,1,2008-09-16,Barcelona,Sporting CP,es,pt,3,1,1.0
2008-2009,Group stage,1,2008-09-16,Basel,Shakhtar,ch,ua,1,2,0.0
2008-2009,Group stage,1,2008-09-16,Panathinaikos,Inter,gr,it,0,2,0.0
2008-2009,Group stage,1,2008-09-16,PSV Eindhoven,Atlético Madrid,nl,es,0,3,0.0
2008-2009,Group stage,1,2008-09-17,Manchester Utd,Villarreal,eng,es,0,0,0.5
2008-2009,Group stage,1,2008-09-17,Porto,Fenerbahçe,pt,tr,3,1,1.0
2008-2009,Group stage,1,2008-09-17,Juventus,Zenit,it,ru,1,0,1.0
2008-2009,Group stage,1,2008-09-17,Lyon,Fiorentina,fr,it,2,2,0.5
2008-2009,Group stage,1,2008-09-17,Real Madrid,BATE Borisov,es,by,2,0,1.0
2008-2009,Group stage,1,2008-09-17,Celtic,Aalborg,sct,dk,0,0,0.5
2008-2009,Group stage,1,2008-09-17,Dynamo Kyiv,Arsenal,ua,eng,1,1,0.5
2008-2009,Group stage,1,2008-09-17,Steaua,Bayern Munich,ro,de,0,1,0.0
2008-2009,Group stage,2,2008-09-30,Bayern Munich,Lyon,de,fr,1,1,0.5
2008-2009,Group stage,2,2008-09-30,Arsenal,Porto,eng,pt,4,0,1.0
2008-2009,Group stage,2,2008-09-30,Villarreal,Celtic,es,sct,1,0,1.0
2008-2009,Group stage,2,2008-09-30,BATE Borisov,Juventus,by,it,2,2,0.5
2008-2009,Group stage,2,2008-09-30,Zenit,Real Madrid,ru,es,1,2,0.0
2008-2009,Group stage,2,2008-09-30,Fenerbahçe,Dynamo Kyiv,tr,ua,0,0,0.5
2008-2009,Group stage,2,2008-09-30,Aalborg,Manchester Utd,dk,eng,0,3,0.0
2008-2009,Group stage,2,2008-09-30,Fiorentina,Steaua,it,ro,0,0,0.5
2008-2009,Group stage,2,2008-10-01,CFR Cluj,Chelsea,ro,eng,0,0,0.5
2008-2009,Group stage,2,2008-10-01,Inter,Werder Bremen,it,de,1,1,0.5
2008-2009,Group stage,2,2008-10-01,Bordeaux,Roma,fr,it,1,3,0.0
2008-2009,Group stage,2,2008-10-01,Anorthosis,Panathinaikos,cy,gr,3,1,1.0
2008-2009,Group stage,2,2008-10-01,Sporting CP,Basel,pt,ch,2,0,1.0
2008-2009,Group stage,2,2008-10-01,Atlético Madrid,Marseille,es,fr,2,1,1.0
2008-2009,Group stage,2,2008-10-01,Liverpool,PSV Eindhoven,eng,nl,3,1,1.0
2008-2009,Group stage,2,2008-10-01,Shakhtar,Barcelona,ua,es,1,2,0.0
2008-2009,Group stage,3,2008-10-21,Porto,Dynamo Kyiv,pt,ua,0,1,0.0
2008-2009,Group stage,3,2008-10-21,Juventus,Real Madrid,it,es,2,1,1.0
2008-2009,Group stage,3,2008-10-21,Fenerbahçe,Arsenal,tr,eng,2,5,0.0
2008-2009,Group stage,3,2008-10-21,Zenit,BATE Borisov,ru,by,1,1,0.5
2008-2009,Group stage,3,2008-10-21,Manchester Utd,Celtic,eng,sct,3,0,1.0
2008-2009,Group stage,3,2008-10-21,Bayern Munich,Fiorentina,de,it,3,0,1.0
2008-2009,Group stage,3,2008-10-21,Villarreal,Aalborg,es,dk,6,3,1.0
2008-2009,Group stage,3,2008-10-21,Steaua,Lyon,ro,fr,3,5,0.0
2008-2009,Group stage,3,2008-10-22,Inter,Anorthosis,it,cy,1,0,1.0
2008-2009,Group stage,3,2008-10-22,Atlético Madrid,Liverpool,es,eng,1,1,0.5
2008-2009,Group stage,3,2008-10-22,Shakhtar,Sporting CP,ua,pt,0,1,0.0
2008-2009,Group stage,3,2008-10-22,PSV Eindhoven,Marseille,nl,fr,2,0,1.0
2008-2009,Group stage,3,2008-10-22,Panathinaikos,Werder Bremen,gr,de,2,2,0.5
2008-2009,Group stage,3,2008-10-22,Chelsea,Roma,eng,it,1,0,1.0
2008-2009,Group stage,3,2008-10-22,Basel,Barcelona,ch,es,0,5,0.0
2008-2009,Group stage,3,2008-10-22,Bordeaux,CFR Cluj,fr,ro,1,0,1.0
