Season,Round,Wk,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2001-2002,First group stage,1,2001-09-11,Liverpool,Boavista,eng,pt,1,1,0.5
2001-2002,First group stage,1,2001-09-11,Nantes,PSV Eindhoven,fr,nl,4,1,1.0
2001-2002,First group stage,1,2001-09-11,Galatasaray,Lazio,tr,it,1,0,1.0
2001-2002,First group stage,1,2001-09-11,Roma,Real Madrid,it,es,1,2,0.0
2001-2002,First group stage,1,2001-09-11,Loko Moscow,Anderlecht,ru,be,1,1,0.5
2001-2002,First group stage,1,2001-09-11,Schalke 04,Panathinaikos,de,gr,0,2,0.0
2001-2002,First group stage,1,2001-09-11,Mallorca,Arsenal,es,eng,1,0,1.0
2001-2002,First group stage,1,2001-09-11,Dynamo Kyiv,Dortmund,ua,de,2,2,0.5
2001-2002,First group stage,1,2001-09-18,Fenerbahçe,Barcelona,tr,es,0,3,0.0
2001-2002,First group stage,1,2001-09-18,Manchester Utd,Lille,eng,fr,1,0,1.0
2001-2002,First group stage,1,2001-09-18,Spartak Moscow,Feyenoord,ru,nl,2,2,0.5
2001-2002,First group stage,1,2001-09-18,Bayern Munich,Sparta Prague,de,cz,0,0,0.5
2001-2002,First group stage,1,2001-09-18,Juventus,Celtic,it,sct,3,2,1.0
2001-2002,First group stage,1,2001-09-18,Lyon,Leverkusen,fr,de,0,1,0.0
2001-2002,First group stage,1,2001-09-18,Rosenborg,Porto,no,pt,1,2,0.0
2001-2002,First group stage,1,2001-09-18,La Coruña,Olympiacos,es,gr,2,2,0.5
2001-2002,First group stage,2,2001-09-19,Lazio,Nantes,it,fr,1,3,0.0
2001-2002,First group stage,2,2001-09-19,Real Madrid,Loko Moscow,es,ru,4,0,1.0
2001-2002,First group stage,2,2001-09-19,Anderlecht,Roma,be,it,0,0,0.5
2001-2002,First group stage,2,2001-09-19,Arsenal,Schalke 04,eng,de,3,2,1.0
2001-2002,First group stage,2,2001-09-19,Dortmund,Liverpool,de,eng,0,0,0.5
2001-2002,First group stage,2,2001-09-19,PSV Eindhoven,Galatasaray,nl,tr,3,1,1.0
2001-2002,First group stage,2,2001-09-19,Boavista,Dynamo Kyiv,pt,ua,3,1,1.0
2001-2002,First group stage,2,2001-09-19,Panathinaikos,Mallorca,gr,es,2,0,1.0
2001-2002,First group stage,2,2001-09-25,Fenerbahçe,Lyon,tr,fr,0,1,0.0
2001-2002,First group stage,2,2001-09-25,La Coruña,Manchester Utd,es,eng,2,1,1.0
2001-2002,First group stage,2,2001-09-25,Spartak Moscow,Bayern Munich,ru,de,1,3,0.0
2001-2002,First group stage,2,2001-09-25,Lille,Olympiacos,fr,gr,3,1,1.0
2001-2002,First group stage,2,2001-09-25,Sparta Prague,Feyenoord,cz,nl,4,0,1.0
2001-2002,First group stage,2,2001-09-25,Rosenborg,Juventus,no,it,1,1,0.5
2001-2002,First group stage,2,2001-09-25,Celtic,Porto,sct,pt,1,0,1.0
2001-2002,First group stage,2,2001-09-25,Leverkusen,Barcelona,de,es,2,1,1.0
2001-2002,First group stage,3,2001-09-26,PSV Eindhoven,Lazio,nl,it,1,0,1.0
2001-2002,First group stage,3,2001-09-26,Boavista,Dortmund,pt,de,2,1,1.0
2001-2002,First group stage,3,2001-09-26,Real Madrid,Anderlecht,es,be,4,1,1.0
2001-2002,First group stage,3,2001-09-26,Schalke 04,Mallorca,de,es,0,1,0.0
2001-2002,First group stage,3,2001-09-26,Liverpool,Dynamo Kyiv,eng,ua,1,0,1.0
2001-2002,First group stage,3,2001-09-26,Nantes,Galatasaray,fr,tr,0,1,0.0
2001-2002,First group stage,3,2001-09-26,Roma,Loko Moscow,it,ru,2,1,1.0
2001-2002,First group stage,3,2001-09-26,Panathinaikos,Arsenal,gr,eng,1,0,1.0
2001-2002,First group stage,3,2001-10-10,Celtic,Rosenborg,sct,no,1,0,1.0
2001-2002,First group stage,3,2001-10-10,Lille,La Coruña,fr,es,1,1,0.5
2001-2002,First group stage,3,2001-10-10,Olympiacos,Manchester Utd,gr,eng,0,2,0.0
2001-2002,First group stage,3,2001-10-10,Barcelona,Lyon,es,fr,2,0,1.0
2001-2002,First group stage,3,2001-10-10,Sparta Prague,Spartak Moscow,cz,ru,2,0,1.0
2001-2002,First group stage,3,2001-10-10,Leverkusen,Fenerbahçe,de,tr,2,1,1.0
2001-2002,First group stage,3,2001-10-10,Porto,Juventus,pt,it,0,0,0.5
