,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,2016-09-15,Sassuolo,Athletic Club,it,es,3.0,0.0,0.0
1,2016-09-15,Rapid Wien,Genk,at,be,3.0,2.0,0.0
2,2016-09-15,AZ Alkmaar,Dundalk FC,nl,ie,1.0,1.0,0.5
3,2016-09-15,Mainz 05,Saint-Étienne,de,fr,1.0,1.0,0.5
4,2016-09-15,Feyenoord,Manchester Utd,nl,eng,1.0,0.0,0.0
5,2016-09-15,Viktoria Plzeň,Roma,cz,it,1.0,1.0,0.5
6,2016-09-15,Anderlecht,Qabala,be,az,3.0,1.0,0.0
7,2016-09-15,Young Boys,Olympiacos,ch,gr,0.0,1.0,1.0
8,2016-09-15,Qarabağ,Slovan Liberec,az,cz,2.0,2.0,0.5
9,2016-09-15,Astra Giurgiu,Austria Wien,ro,at,2.0,3.0,1.0
10,2016-09-15,Zorya Luhansk,Fenerbahçe,ua,tr,1.0,1.0,0.5
11,2016-09-15,Maccabi Tel Aviv,Zenit,il,ru,3.0,4.0,1.0
12,2016-09-15,APOEL FC,FC Astana,cy,kz,2.0,1.0,0.0
13,2016-09-15,Southampton,Sparta Prague,eng,cz,3.0,0.0,0.0
14,2016-09-15,Braga,Gent,pt,be,1.0,1.0,0.5
15,2016-09-15,Villarreal,Zürich,es,ch,2.0,1.0,0.0
16,2016-09-15,RB Salzburg,Krasnodar,at,ru,0.0,1.0,1.0
17,2016-09-15,Inter,Be'er Sheva,it,il,0.0,2.0,1.0
18,2016-09-15,Nice,Schalke 04,fr,de,0.0,1.0,1.0
19,2016-09-15,Standard Liège,Celta Vigo,be,es,1.0,1.0,0.5
20,2016-09-15,Osmanlıspor,Steaua,tr,ro,2.0,0.0,0.0
21,2016-09-15,Panathinaikos,Ajax,gr,nl,1.0,2.0,1.0
22,2016-09-15,Konyaspor,Shakhtar,tr,ua,0.0,1.0,1.0
23,2016-09-15,PAOK,Fiorentina,gr,it,0.0,0.0,0.5
25,2016-09-29,Sparta Prague,Inter,cz,it,3.0,1.0,0.0
26,2016-09-29,Qabala,Mainz 05,az,de,2.0,3.0,1.0
27,2016-09-29,Ajax,Standard Liège,nl,be,1.0,0.0,0.0
28,2016-09-29,Slovan Liberec,PAOK,cz,gr,1.0,2.0,1.0
29,2016-09-29,Gent,Konyaspor,be,tr,2.0,0.0,0.0
30,2016-09-29,Fiorentina,Qarabağ,it,az,5.0,1.0,0.0
31,2016-09-29,Schalke 04,RB Salzburg,de,at,3.0,1.0,0.0
32,2016-09-29,Zürich,Osmanlıspor,ch,tr,2.0,1.0,0.0
33,2016-09-29,Celta Vigo,Panathinaikos,es,gr,2.0,0.0,0.0
34,2016-09-29,Krasnodar,Nice,ru,fr,5.0,2.0,0.0
35,2016-09-29,Be'er Sheva,Southampton,il,eng,0.0,0.0,0.5
36,2016-09-29,Shakhtar,Braga,ua,pt,2.0,0.0,0.0
37,2016-09-29,Steaua,Villarreal,ro,es,1.0,1.0,0.5
38,2016-09-29,Dundalk FC,Maccabi Tel Aviv,ie,il,1.0,0.0,0.0
39,2016-09-29,Manchester Utd,Zorya Luhansk,eng,ua,1.0,0.0,0.0
40,2016-09-29,FC Astana,Young Boys,kz,ch,0.0,0.0,0.5
41,2016-09-29,Saint-Étienne,Anderlecht,fr,be,1.0,1.0,0.5
42,2016-09-29,Roma,Astra Giurgiu,it,ro,4.0,0.0,0.0
43,2016-09-29,Austria Wien,Viktoria Plzeň,at,cz,0.0,0.0,0.5
44,2016-09-29,Athletic Club,Rapid Wien,es,at,1.0,0.0,0.0
45,2016-09-29,Genk,Sassuolo,be,it,3.0,1.0,0.0
46,2016-09-29,Fenerbahçe,Feyenoord,tr,nl,1.0,0.0,0.0
47,2016-09-29,Olympiacos,APOEL FC,gr,cy,0.0,1.0,1.0
48,2016-09-29,Zenit,AZ Alkmaar,ru,nl,5.0,0.0,0.0
50,2016-10-20,Celta Vigo,Ajax,es,nl,2.0,2.0,0.5
51,2016-10-20,Slovan Liberec,Fiorentina,cz,it,1.0,3.0,1.0
52,2016-10-20,RB Salzburg,Nice,at,fr,0.0,1.0,1.0
53,2016-10-20,Standard Liège,Panathinaikos,be,gr,2.0,2.0,0.5
54,2016-10-20,Inter,Southampton,it,eng,1.0,0.0,0.0
55,2016-10-20,Osmanlıspor,Villarreal,tr,es,2.0,2.0,0.5
56,2016-10-20,Shakhtar,Gent,ua,be,5.0,0.0,0.0
57,2016-10-20,Be'er Sheva,Sparta Prague,il,cz,0.0,1.0,1.0
58,2016-10-20,Krasnodar,Schalke 04,ru,de,0.0,1.0,1.0
59,2016-10-20,Konyaspor,Braga,tr,pt,1.0,1.0,0.5
60,2016-10-20,Steaua,Zürich,ro,ch,1.0,1.0,0.5
61,2016-10-20,Dundalk FC,Zenit,ie,ru,1.0,2.0,1.0
62,2016-10-20,Manchester Utd,Fenerbahçe,eng,tr,4.0,1.0,0.0
63,2016-10-20,Qarabağ,PAOK,az,gr,2.0,0.0,0.0
64,2016-10-20,Saint-Étienne,Qabala,fr,az,1.0,0.0,0.0
65,2016-10-20,Roma,Austria Wien,it,at,3.0,3.0,0.5
66,2016-10-20,Viktoria Plzeň,Astra Giurgiu,cz,ro,1.0,2.0,1.0
67,2016-10-20,Young Boys,APOEL FC,ch,cy,3.0,1.0,0.0
68,2016-10-20,Rapid Wien,Sassuolo,at,it,1.0,1.0,0.5
69,2016-10-20,Feyenoord,Zorya Luhansk,nl,ua,1.0,0.0,0.0
70,2016-10-20,AZ Alkmaar,Maccabi Tel Aviv,nl,il,1.0,2.0,1.0
71,2016-10-20,Mainz 05,Anderlecht,de,be,1.0,1.0,0.5
72,2016-10-20,Genk,Athletic Club,be,es,2.0,0.0,0.0
73,2016-10-20,Olympiacos,FC Astana,gr,kz,4.0,1.0,0.0
75,2016-11-03,Anderlecht,Mainz 05,be,de,6.0,1.0,0.0
76,2016-11-03,Sassuolo,Rapid Wien,it,at,2.0,2.0,0.5
77,2016-11-03,Athletic Club,Genk,es,be,5.0,3.0,0.0
78,2016-11-03,Austria Wien,Roma,at,it,2.0,4.0,1.0
79,2016-11-03,APOEL FC,Young Boys,cy,ch,1.0,0.0,0.0
80,2016-11-03,Astra Giurgiu,Viktoria Plzeň,ro,cz,1.0,1.0,0.5
81,2016-11-03,Maccabi Tel Aviv,AZ Alkmaar,il,nl,0.0,0.0,0.5
82,2016-11-03,Braga,Konyaspor,pt,tr,3.0,1.0,0.0
83,2016-11-03,Southampton,Inter,eng,it,2.0,1.0,0.0
84,2016-11-03,Zenit,Dundalk FC,ru,ie,2.0,1.0,0.0
85,2016-11-03,Fenerbahçe,Manchester Utd,tr,eng,2.0,1.0,0.0
86,2016-11-03,Zorya Luhansk,Feyenoord,ua,nl,1.0,1.0,0.5
87,2016-11-03,Villarreal,Osmanlıspor,es,tr,1.0,2.0,1.0
88,2016-11-03,Zürich,Steaua,ch,ro,0.0,0.0,0.5
89,2016-11-03,Ajax,Celta Vigo,nl,es,3.0,2.0,0.0
90,2016-11-03,Gent,Shakhtar,be,ua,3.0,5.0,1.0
91,2016-11-03,Sparta Prague,Be'er Sheva,cz,il,2.0,0.0,0.0
92,2016-11-03,Nice,RB Salzburg,fr,at,0.0,2.0,1.0
93,2016-11-03,Schalke 04,Krasnodar,de,ru,2.0,0.0,0.0
94,2016-11-03,Fiorentina,Slovan Liberec,it,cz,3.0,0.0,0.0
95,2016-11-03,Qabala,Saint-Étienne,az,fr,1.0,2.0,1.0
96,2016-11-03,FC Astana,Olympiacos,kz,gr,1.0,1.0,0.5
97,2016-11-03,Panathinaikos,Standard Liège,gr,be,0.0,3.0,1.0
98,2016-11-03,PAOK,Qarabağ,gr,az,0.0,1.0,1.0
100,2016-11-24,Sparta Prague,Southampton,cz,eng,1.0,0.0,0.0
101,2016-11-24,Zürich,Villarreal,ch,es,1.0,1.0,0.5
102,2016-11-24,Celta Vigo,Standard Liège,es,be,1.0,1.0,0.5
103,2016-11-24,Slovan Liberec,Qarabağ,cz,az,3.0,0.0,0.0
104,2016-11-24,Zenit,Maccabi Tel Aviv,ru,il,2.0,0.0,0.0
105,2016-11-24,Gent,Braga,be,pt,2.0,2.0,0.5
106,2016-11-24,Fiorentina,PAOK,it,gr,2.0,3.0,1.0
107,2016-11-24,Ajax,Panathinaikos,nl,gr,2.0,0.0,0.0
108,2016-11-24,Schalke 04,Nice,de,fr,2.0,0.0,0.0
109,2016-11-24,Fenerbahçe,Zorya Luhansk,tr,ua,2.0,0.0,0.0
110,2016-11-24,Shakhtar,Konyaspor,ua,tr,4.0,0.0,0.0
111,2016-11-24,Be'er Sheva,Inter,il,it,3.0,2.0,0.0
112,2016-11-24,Qabala,Anderlecht,az,be,1.0,3.0,1.0
113,2016-11-24,Steaua,Osmanlıspor,ro,tr,2.0,1.0,0.0
114,2016-11-24,Manchester Utd,Feyenoord,eng,nl,4.0,0.0,0.0
115,2016-11-24,Dundalk FC,AZ Alkmaar,ie,nl,0.0,1.0,1.0
116,2016-11-24,Krasnodar,RB Salzburg,ru,at,1.0,1.0,0.5
117,2016-11-24,Genk,Rapid Wien,be,at,1.0,0.0,0.0
118,2016-11-24,Austria Wien,Astra Giurgiu,at,ro,1.0,2.0,1.0
