Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Ukrainian Premier League,10,2019-10-05,Desna Chernihiv,Olimpik Donetsk,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,10,2019-10-05,FC Lviv,Zorya Luhansk,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,10,2019-10-06,SK Dnipro-1,Shakhtar,0.0,2.0,0.0
2019-2020,Ukrainian Premier League,10,2019-10-06,FK Kolos,Dynamo Kyiv,0.0,4.0,0.0
2019-2020,Ukrainian Premier League,10,2019-10-06,FC Oleksandriya,Karpaty Lviv,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,11,2019-10-18,Shakhtar,FK Kolos,6.0,0.0,1.0
2019-2020,Ukrainian Premier League,11,2019-10-19,Karpaty Lviv,FC Lviv,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,11,2019-10-19,Zorya Luhansk,Desna Chernihiv,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,11,2019-10-20,FC Mariupol,SK Dnipro-1,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,11,2019-10-20,Dynamo Kyiv,FC Oleksandriya,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,11,2019-10-20,Olimpik Donetsk,Vorskla Poltava,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,12,2019-10-26,FC Mariupol,FK Kolos,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,12,2019-10-26,Zorya Luhansk,Vorskla Poltava,4.0,0.0,1.0
2019-2020,Ukrainian Premier League,12,2019-10-26,Olimpik Donetsk,SK Dnipro-1,3.0,2.0,1.0
2019-2020,Ukrainian Premier League,12,2019-10-27,FC Lviv,Desna Chernihiv,1.0,4.0,0.0
2019-2020,Ukrainian Premier League,12,2019-10-27,Shakhtar,FC Oleksandriya,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,12,2019-10-27,Dynamo Kyiv,Karpaty Lviv,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,13,2019-11-02,Karpaty Lviv,Shakhtar,0.0,3.0,0.0
2019-2020,Ukrainian Premier League,13,2019-11-02,Vorskla Poltava,Desna Chernihiv,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,13,2019-11-03,SK Dnipro-1,Zorya Luhansk,1.0,4.0,0.0
2019-2020,Ukrainian Premier League,13,2019-11-03,FC Oleksandriya,FC Mariupol,3.0,1.0,1.0
2019-2020,Ukrainian Premier League,13,2019-11-03,Dynamo Kyiv,FC Lviv,4.0,0.0,1.0
2019-2020,Ukrainian Premier League,13,2019-11-03,FK Kolos,Olimpik Donetsk,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,14,2019-11-09,FC Mariupol,Karpaty Lviv,2.0,2.0,0.5
2019-2020,Ukrainian Premier League,14,2019-11-09,Desna Chernihiv,SK Dnipro-1,1.0,1.0,0.5
